FR,RL,longslipFL,longslipFR,FyRL,FyFL,gas,y,az,pitchrate,vy,FxFL,yaw,slip1,FyFR,vx,sideslipRL,pitch,FL,signal,FxRR,rollrate,x,FxRL,sideslipFR,ay,sideslipRR,steeringangel,FxFR,RR,signal,yawrate,longslipRR,longslipRL,sideslipFL,ax,brake,roll,slip,FyRR
1e-05,1e-05,2.808349639999672e-07,2.808349639999672e-07,0.0,0.0,28.61111111111111,-4850.897164652041,1.4877731725295662,-2.3775753347224906e-08,0.0,0.0466599392730696,-0.0342957201195726,0.0,0.0,0.0,0.0,-3.9218157213248485e-05,1e-05,0.0,0.0466828417996954,-0.0001080008855989,4564.018298359632,0.0466828441670549,0.0,-0.1072571782351639,0.0,0.0,0.0466599402084196,1e-05,0.0,-3.1788466794528535e-07,2.808349639999672e-07,2.808349639999672e-07,0.0,-0.3431306652622903,0.0,-1.2512815238127624e-07,0.0,0.0
0.0135077235372194,1.0843085104833043,-0.0006030459982721,-0.0005803651418275,5.691584911514616,19.28668992787782,11.037685901995946,-4850.897164546333,-0.0662153214831475,-0.0071726992989191,0.0002429550595765,-47.79490148057706,-0.0342957798154886,0.0,6.898517053658372,0.0084803266374004,-0.0002269429815789,-7.268271119580988e-05,0.013959558540463,0.0,1547.781042113167,-0.0049169070171574,4564.0183271195,1538.6319089146716,-0.0002758141952947,0.0512574097733815,-0.0007722126776018,0.0,-45.75853934436751,1.0821492862600806,0.3998333541654266,-2.501513631808599e-06,0.0126572463008556,0.0125048836592421,-0.0008659359744629,1.8496504524269235,0.0,-2.8295318894235186e-05,0.0,17.234463926003237
0.0875826896486228,1.6597031312282764,-0.0007883273147062,-0.0008115126330158,22.925147714078676,141.68891405228186,4.550038640783461,-4850.8971641373855,-0.0529532694205198,-0.0177176592202564,0.0013421038778943,-142.67254785076796,-0.0342953813980694,0.0,22.3406198275947,0.029948431608553,-0.0003460450087117,-0.0002007637381622,0.0903487521819541,0.0,2188.904238464928,-0.0084076174639042,4564.018524940726,2160.194660847929,-0.000189873102941,0.226238497566293,-0.0035728718253729,0.0,-143.0097308411693,1.6178782327934649,0.7986673331746252,8.652054617366271e-05,0.0155116229479329,0.0151775112400291,-0.0038202869473151,2.5068722554189065,0.0,-9.870035038110624e-05,0.0,130.04028188356273
0.1902302754082313,2.3213083074582053,-0.0009892976383768,-0.0009771130165446,-66.09192863373893,325.59850928723023,2.149958863850242,-4850.897152129177,-0.0621409015719837,-0.0303478719267782,0.0040595536858499,-135.0452454907042,-0.0342942282855102,0.0,-105.17060895902068,0.0585818407665621,0.0032844182443548,-0.0004456339924699,0.1919924840802111,0.0,2866.258436408024,-0.0094237940251302,4564.018975598172,2852.7343781518143,0.0045398710449359,0.3036920741805654,-0.0060462942861637,0.0,-133.7160448131883,2.22799165023222,1.1955050597887935,9.938846600590508e-05,0.021505028245282,0.0212438014522375,-0.0061654399758784,3.365574223914715,0.0,-0.0001896500698494,0.0,316.0594297066287
0.3312386550137135,2.9138070389199364,-0.000990561343961,-0.0009944288494215,-444.1584232271037,564.7974085227373,1.2488708200979688,-4850.8971250859295,-0.0571598930855985,-0.0450726348741584,0.0061987708933125,-151.66794221286358,-0.0342944842242507,0.0,-515.9087609877957,0.0969583089040398,0.0113929374904914,-0.000828483721826,0.3347454140030965,0.0,3757.2159839564847,-0.0111916400883152,4564.019764776292,3755.628312343691,0.0126884860808265,0.0762114284338026,-0.0102461527971049,0.0,-150.21951475229534,2.81166106631985,1.5893546463604895,-0.0001333848364594,0.0315159869383478,0.0314722210419008,-0.011639642195456,4.45499847458934,0.0,-0.0002914964417351,0.0,531.9159332351235
0.5000687008405579,3.4606692565441173,-0.0012010390708071,-0.0011799821264279,-981.4667956376728,1138.311584409519,0.8982054029291195,-4850.897100993288,-0.0051466643477735,-0.0609570761663828,0.0069950791965576,-163.85721808339295,-0.0342960872757087,0.0,-1028.0339068923834,0.1452858379350361,0.0203322553342891,-0.001366484019769,0.5034964942044569,0.0,4324.51624608081,-0.0136919351189203,4564.02099535637,4392.76054140308,0.021444123885024,0.1315388389204494,-0.0221051854661572,0.0,-163.47614139625531,3.403262325175763,1.9792316740361835,-0.0001428369331682,0.0467153979648707,0.0463015100668931,-0.0241228334971465,5.1771633517541655,0.0,-0.0004189032466366,0.0,1038.903789663617
0.6804206558450336,4.157999471340729,-0.0013537363560331,-0.0014263154803774,-1644.6094583439876,1776.5577337282891,0.7587568027458399,-4850.897085230942,0.0306638697541604,-0.0754330550059561,0.0078726152329555,-159.2302724537182,-0.0342969440599885,0.0,-1745.0991533134593,0.1981961953409183,0.0352646094025115,-0.0020580048460959,0.6863404211666281,0.0,4409.300933537993,-0.0141496341147816,4564.022739513064,4472.418390467437,0.0366530121814729,0.0087432411352877,-0.0345737947603808,0.0,-154.85798433586368,4.256328259453742,2.3641616532907164,-3.821819067969876e-05,0.071203093080832,0.0680500041735552,-0.0337926601336476,5.289456771430332,0.0,-0.0005583769325177,0.0,1628.482825116211
0.8607659466288113,5.072480135250983,-0.0014001916203895,-0.0014236249360763,-2058.2322788694346,2152.8667666835445,0.7057423730634971,-4850.897085279425,-0.026866747229203,-0.0865793921672377,0.0076544662026166,-155.4166585181633,-0.0342969344629907,0.0,-2131.3432646107635,0.2506233342473819,0.0439372230219106,-0.0028762660022976,0.8649082417422195,0.0,4299.931853785508,-0.0147536752270872,4564.025012438425,4381.527636232963,0.0341846795822355,-0.0390218901080629,-0.0458137606712132,0.0,-156.63158298360847,5.327847296202337,2.743182459643611,6.158535821087616e-05,0.1063987129806631,0.0988720171561836,-0.0345149593288569,5.195570207419947,0.0,-0.0007036980618844,0.0,1985.542087117458
1.0354027918649138,5.8776284548804085,-0.001459057615749,-0.0015370333834798,-1913.381520823537,2209.06003716701,0.6824348882745072,-4850.897106132803,-0.1127586159684054,-0.0955178412718141,0.0073974385965151,-152.65050004450453,-0.034294556221996,0.0,-2184.5460531572835,0.3038662116540255,0.0427417745736452,-0.0037924313329536,1.0396404178740777,0.0,4489.907382336999,-0.0146532211598599,4564.027810333211,4595.021289626769,0.0354442533886266,-0.0268613198320135,-0.0474437142343211,0.0,-148.9651587923396,6.328902185539264,3.115346738469204,0.0003706782748485,0.147058304369387,0.1325412987510721,-0.0337338252807853,5.471090870705977,0.0,-0.0008510410616263,0.0,1838.076751416845
1.2168150890768852,6.433964651152958,-0.0014990906398094,-0.0015847385795919,-1621.4995118917009,2203.1633137994845,0.6669398885962085,-4850.8971491186885,-0.1780860803248529,-0.1031847600365273,0.0069622538973903,-154.23654505997084,-0.034289976813994,0.0,-2209.763773572751,0.3596457571950621,0.0437329467615221,-0.0047907757562576,1.220627832355929,0.0,4647.358279770207,-0.0143370033759979,4564.031154833392,4760.837713459,0.0363889285647431,-0.0488783823279415,-0.0495495088693704,0.0,-152.52273891062117,7.118776415650279,3.479724272889841,0.0005011012371957,0.1883258078578041,0.1642658350086818,-0.0344058606239685,5.675741799744487,0.0,-0.0009960236003147,0.0,1547.5421616550152
