FxRR,sideslipRR,pitch,x,slip1,az,sideslipRL,FyFL,FyRL,RR,longslipRR,FxFR,rollrate,ax,RL,y,vx,FxFL,yaw,roll,FR,sideslipFL,brake,yawrate,signal,FxRL,steeringangel,longslipRL,signal,gas,FL,vy,ay,pitchrate,longslipFR,FyRR,FyFR,sideslipFR,longslipFL,slip
0.0466828417996954,0.0,-3.9218157213248485e-05,4564.018298359632,0.0,1.4877731725295662,0.0,0.0,0.0,1e-05,2.808349639999672e-07,0.0466599402084196,-0.0001080008855989,-0.3431306652622903,1e-05,-4850.897164652041,0.0,0.0466599392730696,-0.0342957201195726,-1.2512815238127624e-07,1e-05,0.0,0.0,-3.1788466794528535e-07,0.0,0.0466828441670549,0.0,2.808349639999672e-07,0.0,28.61111111111111,1e-05,0.0,-0.1072571782351639,-2.3775753347224906e-08,2.808349639999672e-07,0.0,0.0,0.0,2.808349639999672e-07,0.0
1547.781042113167,-0.0007722126776018,-7.268271119580988e-05,4564.0183271195,0.0,-0.0662153214831475,-0.0002269429815789,19.28668992787782,5.691584911514616,1.0821492862600806,0.0126572463008556,-45.75853934436751,-0.0049169070171574,1.8496504524269235,1.0843085104833043,-4850.897164546333,0.0084803266374004,-47.79490148057706,-0.0342957798154886,-2.8295318894235186e-05,0.0135077235372194,-0.0008659359744629,0.0,-2.501513631808599e-06,0.1398856946750655,1538.6319089146716,0.0,0.0125048836592421,0.0,11.037685901995946,0.013959558540463,0.0002429550595765,0.0512574097733815,-0.0071726992989191,-0.0005803651418275,17.234463926003237,6.898517053658372,-0.0002758141952947,-0.0006030459982721,0.0
2188.904238464928,-0.0035728718253729,-0.0002007637381622,4564.018524940726,0.0,-0.0529532694205198,-0.0003460450087117,141.68891405228186,22.925147714078676,1.6178782327934649,0.0155116229479329,-143.0097308411693,-0.0084076174639042,2.5068722554189065,1.6597031312282764,-4850.8971641373855,0.029948431608553,-142.67254785076796,-0.0342953813980694,-9.870035038110624e-05,0.0875826896486228,-0.0038202869473151,0.0,8.652054617366271e-05,0.279086229288473,2160.194660847929,0.0,0.0151775112400291,0.0,4.550038640783461,0.0903487521819541,0.0013421038778943,0.226238497566293,-0.0177176592202564,-0.0008115126330158,130.04028188356273,22.3406198275947,-0.000189873102941,-0.0007883273147062,0.0
2866.258436408024,-0.0060462942861637,-0.0004456339924699,4564.018975598172,0.0,-0.0621409015719837,0.0032844182443548,325.59850928723023,-66.09192863373893,2.22799165023222,0.021505028245282,-133.7160448131883,-0.0094237940251302,3.365574223914715,2.3213083074582053,-4850.897152129177,0.0585818407665621,-135.0452454907042,-0.0342942282855102,-0.0001896500698494,0.1902302754082313,-0.0061654399758784,0.0,9.938846600590508e-05,0.4169197996921991,2852.7343781518143,0.0,0.0212438014522375,0.0,2.149958863850242,0.1919924840802111,0.0040595536858499,0.3036920741805654,-0.0303478719267782,-0.0009771130165446,316.0594297066287,-105.17060895902068,0.0045398710449359,-0.0009892976383768,0.0
3757.2159839564847,-0.0102461527971049,-0.000828483721826,4564.019764776292,0.0,-0.0571598930855985,0.0113929374904914,564.7974085227373,-444.1584232271037,2.81166106631985,0.0315159869383478,-150.21951475229534,-0.0111916400883152,4.45499847458934,2.9138070389199364,-4850.8971250859295,0.0969583089040398,-151.66794221286358,-0.0342944842242507,-0.0002914964417351,0.3312386550137135,-0.011639642195456,0.0,-0.0001333848364594,0.5527112971282275,3755.628312343691,0.0,0.0314722210419008,0.0,1.2488708200979688,0.3347454140030965,0.0061987708933125,0.0762114284338026,-0.0450726348741584,-0.0009944288494215,531.9159332351235,-515.9087609877957,0.0126884860808265,-0.000990561343961,0.0
4324.51624608081,-0.0221051854661572,-0.001366484019769,4564.02099535637,0.0,-0.0051466643477735,0.0203322553342891,1138.311584409519,-981.4667956376728,3.403262325175763,0.0467153979648707,-163.47614139625531,-0.0136919351189203,5.1771633517541655,3.4606692565441173,-4850.897100993288,0.1452858379350361,-163.85721808339295,-0.0342960872757087,-0.0004189032466366,0.5000687008405579,-0.0241228334971465,0.0,-0.0001428369331682,0.6857956149109028,4392.76054140308,0.0,0.0463015100668931,0.0,0.8982054029291195,0.5034964942044569,0.0069950791965576,0.1315388389204494,-0.0609570761663828,-0.0011799821264279,1038.903789663617,-1028.0339068923834,0.021444123885024,-0.0012010390708071,0.0
4409.300933537993,-0.0345737947603808,-0.0020580048460959,4564.022739513064,0.0,0.0306638697541604,0.0352646094025115,1776.5577337282891,-1644.6094583439876,4.256328259453742,0.071203093080832,-154.85798433586368,-0.0141496341147816,5.289456771430332,4.157999471340729,-4850.897085230942,0.1981961953409183,-159.2302724537182,-0.0342969440599885,-0.0005583769325177,0.6804206558450336,-0.0337926601336476,0.0,-3.821819067969876e-05,0.8155209061191403,4472.418390467437,0.0,0.0680500041735552,0.0,0.7587568027458399,0.6863404211666281,0.0078726152329555,0.0087432411352877,-0.0754330550059561,-0.0014263154803774,1628.482825116211,-1745.0991533134593,0.0366530121814729,-0.0013537363560331,0.0
4299.931853785508,-0.0458137606712132,-0.0028762660022976,4564.025012438425,0.0,-0.026866747229203,0.0439372230219106,2152.8667666835445,-2058.2322788694346,5.327847296202337,0.1063987129806631,-156.63158298360847,-0.0147536752270872,5.195570207419947,5.072480135250983,-4850.897085279425,0.2506233342473819,-155.4166585181633,-0.0342969344629907,-0.0007036980618844,0.8607659466288113,-0.0345149593288569,0.0,6.158535821087616e-05,0.9412517763423162,4381.527636232963,0.0,0.0988720171561836,0.0,0.7057423730634971,0.8649082417422195,0.0076544662026166,-0.0390218901080629,-0.0865793921672377,-0.0014236249360763,1985.542087117458,-2131.3432646107635,0.0341846795822355,-0.0014001916203895,0.0
4489.907382336999,-0.0474437142343211,-0.0037924313329536,4564.027810333211,0.0,-0.1127586159684054,0.0427417745736452,2209.06003716701,-1913.381520823537,6.328902185539264,0.147058304369387,-148.9651587923396,-0.0146532211598599,5.471090870705977,5.8776284548804085,-4850.897106132803,0.3038662116540255,-152.65050004450453,-0.034294556221996,-0.0008510410616263,1.0354027918649138,-0.0337338252807853,0.0,0.0003706782748485,1.0623723958417668,4595.021289626769,0.0,0.1325412987510721,0.0,0.6824348882745072,1.0396404178740777,0.0073974385965151,-0.0268613198320135,-0.0955178412718141,-0.0015370333834798,1838.076751416845,-2184.5460531572835,0.0354442533886266,-0.001459057615749,0.0
4647.358279770207,-0.0495495088693704,-0.0047907757562576,4564.031154833392,0.0,-0.1780860803248529,0.0437329467615221,2203.1633137994845,-1621.4995118917009,7.118776415650279,0.1883258078578041,-152.52273891062117,-0.0143370033759979,5.675741799744487,6.433964651152958,-4850.8971491186885,0.3596457571950621,-154.23654505997084,-0.034289976813994,-0.0009960236003147,1.2168150890768852,-0.0344058606239685,0.0,0.0005011012371957,1.178289515884539,4760.837713459,0.0,0.1642658350086818,0.0,0.6669398885962085,1.220627832355929,0.0069622538973903,-0.0488783823279415,-0.1031847600365273,-0.0015847385795919,1547.5421616550152,-2209.763773572751,0.0363889285647431,-0.0014990906398094,0.0
