pitch,brake,FxFR,gas,longslipFL,ay,RL,longslipRR,RR,sideslipRR,pitchrate,steeringangel,signal,FxRR,slip,FR,slip1,FxRL,FxFL,sideslipFL,vx,FyFR,longslipFR,x,FyRL,FyRR,yawrate,roll,rollrate,y,ax,FyFL,sideslipRL,az,yaw,longslipRL,vy,signal,sideslipFR,FL
-3.921815721326774e-05,0.0,0.0466599402084195,17.881944444444446,2.808349639999672e-07,-0.1072571782351647,1e-05,2.808349639999672e-07,1e-05,0.0,-2.3775753347015152e-08,0.0,0.0,0.0466828417996951,0.0,1e-05,0.0,0.0466828441670547,0.0466599392730695,0.0,0.0,0.0,2.808349639999672e-07,9975.981220894291,0.0,0.0,-3.1788466794521145e-07,-1.2512815238071413e-07,-0.0001080008855989,-138.6472273329127,-0.3431306652622907,0.0,0.0,1.4877731725295706,-0.0130201565377619,2.808349639999672e-07,0.0,0.0,0.0,1e-05
-7.268270544982817e-05,0.0,-45.75854227491614,6.893108378067263,-0.0006030460266187,0.0512574088933185,1.0843085102226775,0.0126572462534902,1.0821492871471718,-0.0007722125224862,-0.0071726978455913,8.315864276690332e-12,0.0,1547.7810389653669,0.0,0.0135077245638275,0.0,1538.6319078758793,-47.794902615775214,-0.0008659353392535,0.0084803266415314,6.898529018625194,-0.0005803651754477,9975.981249645403,5.691582182708809,17.23445923968894,-2.501495390054726e-06,-2.829531021062481e-05,-0.0049169062123139,-138.6472266153935,1.849650456251019,19.28667828772842,-0.0002269429029785,-0.0662155617865713,-0.013020216233568,0.0125048836359712,0.0002429550209704,0.0,-0.0002758147553805,0.0139595587173891
-0.0002007637183987,0.0,-143.0097267377067,2.8277960981508983,-0.0007883273215758,0.2262384761736892,1.6597031338777015,0.0155116228959405,1.6178782395776128,-0.0035728716879911,-0.0177176579778921,-7.556367305484527e-08,0.0,2188.9042315080733,0.0,0.0875826872970673,0.0,2160.194654011575,-142.67254486668344,-0.0038202863058845,0.0299484315939139,22.340638009453773,-0.0008115126378487,9975.981447413158,22.92514364574704,130.0402713417425,8.652055991586223e-05,-9.870033572941896e-05,-0.0084076170302595,-138.6472219980998,2.506872249945797,141.68886754824734,-0.0003460449907474,-0.0529532388447757,-0.0130198178159173,0.0151775111913369,0.0013421037123822,0.0,-0.00018987288258,0.0903487500213525
-0.0004456339607162,0.0,-133.71604421716137,1.3188435634666282,-0.0009892976355168,0.3036920225900856,2.3213083152545844,0.0215050281980636,2.227991660958341,-0.0060462945127431,-0.0303478707367062,-4.0598920562991953e-07,0.0,2866.258429106189,0.0,0.190230272153429,0.0,2852.73437131276,-135.04524636774855,-0.0061654380239162,0.0585818406946271,-105.17067768146,-0.0009771129991156,9975.981897713153,-66.09191975655382,316.05942907372986,9.938814077122172e-05,-0.0001896500543841,-0.0094237943665125,-138.64720040534385,3.3655742192379297,325.5984335580948,0.003284417866587,-0.0621409049365074,-0.0130186647044879,0.0212438014128299,0.0040595531143336,0.0,0.004539873623637,0.1919924822090661
-0.0008283836788198,0.0,-150.1789664887761,0.7455834939683164,-0.0009878178377218,0.0745264650543922,2.8995449270032942,0.0313727188257982,2.7971164742418893,-0.0099916851772729,-0.0450209870377476,-1.1028763525981805e-07,0.0,3755.945503718024,0.0,0.33123485922675,0.0,3752.165406963848,-151.60033708247187,-0.0113591900272122,0.0969572440543909,-519.1555864444506,-0.000994529861268,9975.982686135683,-447.2251643471556,528.6112045395541,-0.0001315344175757,-0.0002904935894523,-0.0107616568632028,-138.64715660975668,4.448311966063065,561.1818445167123,0.0116187938390667,-0.0368283251844647,-0.0130189168579998,0.031366965448189,0.006181448384452,0.0,0.0129409202454459,0.3347360254973185
-0.0013622909399023,0.0,-162.10107566882016,0.5158083794732724,-0.0011627002634459,0.0137171421390454,3.213743336425389,0.0428165128050615,3.116967847852574,-0.0208808393667553,-0.0600838466723345,-5.873258538269228e-07,0.0,4303.973295825448,0.0,0.4989049570898158,0.0,4333.440718964118,-162.52026037297728,-0.0226000917737407,0.1451099782379545,-1063.6745591131048,-0.0011734182243131,9975.983915259669,-1020.2682139046352,999.6332032240206,-9.9939107183955e-05,-0.0004048197536684,-0.0117650076573521,-138.64710876559957,5.128497442150331,1082.681906940909,0.0208448727445347,0.0210971180997559,-0.0130203178177085,0.0432298014375938,0.0064097477307612,0.0,0.0220941908940257,0.502510655677164
-0.0020363925751162,0.0,-153.39646715185654,0.4216704328091367,-0.0013149013245658,-0.0323864257329225,3.418771342703113,0.0561980197942079,3.431041285849032,-0.033056610735327,-0.0729215922093,-6.162708253263349e-06,0.0,4370.597118926472,0.0,0.6763537508410712,0.0,4422.299957410717,-156.80741035043738,-0.0326130686817355,0.1973856298730872,-1718.383003945309,-0.0013593865115003,9975.985653487793,-1705.734027701149,1667.7709310464995,-3.108995049011048e-05,-0.0005203236341246,-0.0112714617246256,-138.6470672004333,5.24289646639097,1713.046795156118,0.0337752039297843,0.0471566938313975,-0.0130208688311486,0.0552195346715927,0.0063936896326605,0.0,0.0347728110466102,0.6805651719356741
-0.0028194634768438,0.0,-154.16581923397672,0.3850217805627581,-0.0013144747367895,-0.0809252503405461,3.725274799301801,0.0728813707828393,3.842806382911299,-0.0417837534904633,-0.0821805963382757,-1.7511423703841054e-05,0.0,4255.306959017442,0.0,0.8512134221221508,0.0,4303.94384864106,-153.6586974339405,-0.0324527522403439,0.2493629925662333,-2098.409954535525,-0.0013852278615255,9975.98791532695,-2320.317099674667,2230.3321788570206,5.082751744823497e-05,-0.0006300568257377,-0.0107278566617703,-138.6470354813185,5.126278638553717,2068.650526965336,0.0417295043579277,0.0343619219767252,-0.0130208510982583,0.0695199646648342,0.0058142136672704,0.0,0.0334720769255671,0.8557200885324544
-0.0036797173741192,0.0,-146.7545357971885,0.3683505755054421,-0.001391336407386,-0.0666826784793816,3.91417450125282,0.0899167984841273,4.199141254110346,-0.0412285540265906,-0.0889222515078535,-3.773937560831098e-05,0.0,4393.109956829672,0.0,1.0208802361190716,0.0,4510.230780503567,-149.7274137288563,-0.032049467920425,0.301799035025091,-2131.7609789182934,-0.0014386206784144,9975.990695952867,-2393.2206860862825,2306.680818758784,0.0001928059067731,-0.0007325478858319,-0.00978597169909,-138.64701751517353,5.365816035104201,2117.4620567169536,0.038932377970721,-0.0129113323338539,-0.0130194355213648,0.0816485232132618,0.005116301739756,0.0,0.0334887425421731,1.0238648147064917
-0.004599063498517,0.0,-149.35654981469423,0.3561703308058302,-0.0013899086561205,-0.1079885298652035,3.8788453318001705,0.105279181743407,4.447733882041608,-0.0423649857179052,-0.0942082586579038,-6.425135499687069e-05,0.0,4506.101727820706,0.0,1.1949908049585911,0.0,4645.320364499064,-150.08910029435353,-0.0324273120325322,0.3562921335608656,-2124.452603134754,-0.0014583910399586,9975.994012865309,-2321.7487245819766,2180.3831618007507,0.0003624282171995,-0.0008252172904795,-0.0088893782444776,-138.64701377105936,5.526785500281479,2112.4496423085625,0.0382190519782615,-0.0555207899507517,-0.0130167927295656,0.0871829665787407,0.0042994446713888,0.0,0.0336973587317745,1.1976872694822676
