slip1,longslipFL,vx,FR,signal,FyRR,FxFR,pitchrate,az,FxRL,y,ax,RL,sideslipFL,sideslipFR,pitch,vy,longslipFR,x,ay,yaw,FxFL,sideslipRL,FL,roll,slip,longslipRL,brake,signal,longslipRR,sideslipRR,rollrate,FyFR,steeringangel,FyFL,yawrate,gas,RR,FxRR,FyRL
0.0,2.808349639999672e-07,0.0,1e-05,0.0,0.0,0.0466599402084196,-2.3775753347224906e-08,1.4877731725295662,0.0466828441670549,-4850.897164652041,-0.3431306652622903,1e-05,0.0,0.0,-3.9218157213248485e-05,0.0,2.808349639999672e-07,4564.018298359632,-0.1072571782351639,-0.0342957201195726,0.0466599392730696,0.0,1e-05,-1.2512815238127624e-07,0.0,2.808349639999672e-07,0.0,0.0,2.808349639999672e-07,0.0,-0.0001080008855989,0.0,0.0,0.0,-3.1788466794528535e-07,64.375,1e-05,0.0466828417996954,0.0
0.0,-0.0006030459982721,0.0084803266374004,0.0135077235372194,0.0999583385413566,17.234463926003237,-45.75853934436751,-0.0071726992989191,-0.0662153214831475,1538.6319089146716,-4850.897164546333,1.8496504524269235,1.0843085104833043,-0.0008659359744629,-0.0002758141952947,-7.268271119580988e-05,0.0002429550595765,-0.0005803651418275,4564.0183271195,0.0512574097733815,-0.0342957798154886,-47.79490148057706,-0.0002269429815789,0.013959558540463,-2.8295318894235186e-05,0.0,0.0125048836592421,0.0,0.0,0.0126572463008556,-0.0007722126776018,-0.0049169070171574,6.898517053658372,0.0,19.28668992787782,-2.501513631808599e-06,24.85294431347753,1.0821492862600806,1547.781042113167,5.691584911514616
0.0,-0.0007883273147062,0.029948431608553,0.0875826896486228,0.1996668332936563,130.04028188356273,-143.0097308411693,-0.0177176592202564,-0.0529532694205198,2160.194660847929,-4850.8971641373855,2.5068722554189065,1.6597031312282764,-0.0038202869473151,-0.000189873102941,-0.0002007637381622,0.0013421038778943,-0.0008115126330158,4564.018524940726,0.226238497566293,-0.0342953813980694,-142.67254785076796,-0.0003460450087117,0.0903487521819541,-9.870035038110624e-05,0.0,0.0151775112400291,0.0,0.0,0.0155116229479329,-0.0035728718253729,-0.0084076174639042,22.3406198275947,0.0,141.68891405228186,8.652054617366271e-05,10.290847115728454,1.6178782327934649,2188.904238464928,22.925147714078676
0.0,-0.0009892976383768,0.0585818407665621,0.1902302754082313,0.2988762649471984,316.0594297066287,-133.7160448131883,-0.0303478719267782,-0.0621409015719837,2852.7343781518143,-4850.897152129177,3.365574223914715,2.3213083074582053,-0.0061654399758784,0.0045398710449359,-0.0004456339924699,0.0040595536858499,-0.0009771130165446,4564.018975598172,0.3036920741805654,-0.0342942282855102,-135.0452454907042,0.0032844182443548,0.1919924840802111,-0.0001896500698494,0.0,0.0212438014522375,0.0,0.0,0.021505028245282,-0.0060462942861637,-0.0094237940251302,-105.17060895902068,0.0,325.59850928723023,9.938846600590508e-05,4.920343198613111,2.22799165023222,2866.258436408024,-66.09192863373893
0.0,-0.000990561343961,0.0969583089040398,0.3312386550137135,0.3973386615901224,531.9159332351235,-150.21951475229534,-0.0450726348741584,-0.0571598930855985,3755.628312343691,-4850.8971250859295,4.45499847458934,2.9138070389199364,-0.011639642195456,0.0126884860808265,-0.000828483721826,0.0061987708933125,-0.0009944288494215,4564.019764776292,0.0762114284338026,-0.0342944842242507,-151.66794221286358,0.0113929374904914,0.3347454140030965,-0.0002914964417351,0.0,0.0314722210419008,0.0,0.0,0.0315159869383478,-0.0102461527971049,-0.0111916400883152,-515.9087609877957,0.0,564.7974085227373,-0.0001333848364594,2.926497178537144,2.81166106631985,3757.2159839564847,-444.1584232271037
0.0,-0.0012015930279786,0.1452857373913867,0.5000697709348905,0.4948079185090459,1039.486036217684,-163.4980920660197,-0.0609672993093753,-0.0131890766471641,4393.39900034095,-4850.89710098988,5.178920820751954,3.46327104875588,-0.0242042113844486,0.0213687864665752,-0.001366499290462,0.0069977213080826,-0.0011798270208603,4564.020995356358,0.1266553319044624,-0.0342960881859726,-163.84016655637785,0.0202644246861872,0.503495608713931,-0.0004190908637137,0.0,0.0463311179332331,0.0,0.0,0.0467536471596229,-0.0221796552554078,-0.0138022911314341,-1027.3916377865942,0.0,1139.003829387609,-0.0001434581480277,2.1738286394127853,3.405921460542518,4324.111866946578,-980.840723581199
0.0,-0.0013820665370675,0.1981898695824135,0.6810193940389563,0.5910404133226791,1637.213674024706,-155.31949486756545,-0.0757845222746017,0.0130109794452453,4485.222985782345,-4850.897084316071,5.289151197040251,4.261325267536617,-0.0347299776339619,0.0361494056212147,-0.0020595364115576,0.0081129720963427,-0.001415329121164,4564.02273953736,0.0569885053924851,-0.0342970575648906,-159.34526711001055,0.0348862568164247,0.6861686570138249,-0.0005639067169827,0.0,0.0697849413618393,0.0,0.0,0.0735981361711798,-0.035326442737789,-0.0150456744798396,-1726.8962934186875,0.0,1803.553339320423,-6.083429364514564e-05,1.886498284424748,4.387170998807951,4394.548107186161,-1621.3906166854097
0.0,-0.0014280380966343,0.2506266915809633,0.8617924392507458,0.6857956149109028,1937.0912567608336,-157.2131348006164,-0.0878689512354917,-0.0562965161287765,4406.746061088123,-4850.897079050247,5.22016495810103,5.474660706748972,-0.0352233758915762,0.0344885797809724,-0.0028859610482278,0.0084119816345176,-0.0014497446508742,4564.025012505535,0.0035704827526915,-0.0342971261723923,-156.5387629415766,0.0443563595626502,0.8663823099023078,-0.0007230128323127,0.0,0.1074538951086181,0.0,0.0,0.1171326250971855,-0.0472288314642452,-0.0165868489527141,-2125.7090765958715,0.0,2188.012077424933,7.978380119403962e-05,1.779077648488255,5.801179865333233,4317.482839834702,-1988.0111473083837
0.0,-0.0015157968566283,0.3042071031899576,1.0398972897147305,0.778836684617301,1717.000447209092,-150.74967652383538,-0.0982426585895953,-0.1478258910720301,4640.510043550532,-4850.897090093038,5.513129852495052,6.710425226649892,-0.0349893442000525,0.0359212647704343,-0.0038226438477648,0.0085820477049069,-0.0015647153725511,4564.027812469872,0.0317356138517409,-0.0342942305434392,-154.36612063637256,0.0434692232028009,1.0438195914631307,-0.0008949228924171,0.0,0.1538386841884503,0.0,0.0,0.1721026131838714,-0.0504152496472653,-0.0175895119391139,-2191.5909707853643,0.0,2259.08988533986,0.0004404922017803,1.7351757757924653,7.254414356270356,4521.766624111161,-1759.124073102417
0.0,-0.0015568820307516,0.36038209181274,1.2243960532179452,0.8699310682224604,1384.2488910089232,-153.82500863331447,-0.1075432663789498,-0.2055774291558514,4802.86597705507,-4850.897118508463,5.710508760375754,7.76604327456742,-0.0358007937891003,0.037482572764491,-0.0048571887553162,0.0086775547417052,-0.0016437019417013,4564.031163116904,0.0078676366144475,-0.0342890767983681,-156.09403132118544,0.04569025586153,1.2290691066814206,-0.0010740240866353,0.0,0.2040986980112509,0.0,0.0,0.2339113525460871,-0.0527519775715283,-0.0181201516412713,-2235.1141591158857,0.0,2264.4533560511863,0.0005398783351947,1.711978887209214,8.571935375889217,4676.787051686755,-1416.016701615168
0.0,-0.0016023999950237,0.4181489734914455,1.412606177177754,0.958851077208406,1097.7945357695742,-153.24249284130582,-0.1153599049920448,-0.2497813638710165,4892.449896656616,-4850.897166483646,5.827299885074897,8.67257859741691,-0.0361108464018693,0.0375313725904534,-0.0059769587409868,0.0086290734758801,-0.0016865729959238,4564.035084867576,-0.0078575685972322,-0.0342838211044211,-156.04296626084815,0.0463545857379567,1.4172924439133825,-0.0012557739440649,0.0,0.2582881676669564,0.0,0.0,0.3018200693216339,-0.0524206072609591,-0.0181293771284812,-2233.65949814759,0.0,2257.8375564234298,0.0005163817995849,1.697996736481626,9.749645437176538,4761.853960221517,-1135.3717907518082
0.0,-0.0016102543943519,0.4768818230752742,1.6040847532764644,1.0453744578613184,858.8209187576059,-154.38097865870228,-0.1215865119213329,-0.2705705972595679,4961.580368277314,-4850.89723548992,5.90998723526948,9.475089811544937,-0.0351254147379315,0.0370843077690711,-0.007166085518928,0.0084821604758098,-0.0017216434622891,4564.039589813538,-0.0198814906578981,-0.0342785792885599,-157.28635210754047,0.0448102688404224,1.6089129785188847,-0.0014345252052966,0.0,0.3167299644727446,0.0,0.0,0.3770194959734061,-0.0497885665274794,-0.0175986408102507,-2193.2707422313047,0.0,2213.924002437909,0.0005340633042409,1.6884301350987372,10.840870969981196,4818.156666789017,-911.616554520456
0.0,-0.0015708976726635,0.5364383598646808,1.7973248550700025,1.1292849467900707,664.534561012948,-151.91671313186998,-0.1262394490259854,-0.2685660987039318,5034.145096257717,-4850.897327137911,5.996758560887867,10.178907245275314,-0.0336716025885451,0.0360769062991226,-0.0084089143112741,0.0081785720625377,-0.0016934982060627,4564.0446865257045,-0.0361122022533547,-0.0342732162856292,-155.06618015978012,0.0421389190314035,1.8017614046549244,-0.0016057824895724,0.0,0.3789230346371114,0.0,0.0,0.4604894921474063,-0.046011574005438,-0.0166956030342306,-2124.98460746789,0.0,2132.757995497343,0.0005299504955512,1.6807012468652676,11.86709992717376,4872.263597043457,-729.1512061298083
0.0,-0.0015407671705111,0.5968930102913481,1.9897610316371528,1.210372811472079,512.8937449678723,-151.03648782222538,-0.1293395868005964,-0.2573945610390313,5116.179641194993,-4850.8974433174335,6.0931634976714975,10.756993093645772,-0.032122033202248,0.034671921579356,-0.0096895361308754,0.0077282054386118,-0.001673273277769,4564.050383655092,-0.0481608270361126,-0.0342682067589994,-154.41695506617316,0.0392830401007122,1.9940356236742471,-0.0017663785994868,0.0,0.4415943316598956,0.0,0.0,0.54943392311776,-0.0418852602276347,-0.0154896718725551,-2034.011466288548,0.0,2033.1140346696327,0.000469367135927,1.6734835894796338,12.80886153211975,4934.273992502406,-585.7643566154129
0.0,-0.0015190654505014,0.6583399671103305,2.182227495244072,1.2884353744753825,397.4833734777375,-150.23479717942055,-0.1310822991935783,-0.2296460602946861,5205.20638746401,-4850.897585572616,6.197798829526505,11.254595222102868,-0.030476593443284,0.0331828345698299,-0.0109935921544523,0.0071747176309661,-0.0016577587532039,4564.056690700757,-0.0577116540801878,-0.0342640616003413,-153.97832075020207,0.0367242955153278,2.1864725206238,-0.0019130721024462,0.0,0.5045045772647576,0.0,0.0,0.6445318416679006,-0.0378260358254392,-0.0139490965820414,-1932.0924229428872,0.0,1925.3731457632537,0.0003634738058577,1.666247675547839,13.711375588009188,5004.871687065522,-477.26433706301975
0.0,-0.001496393072408,0.720849260196554,2.3753572458800507,1.3632775200466682,310.19537595161387,-149.64771233141082,-0.1315555822983539,-0.190806771472992,5297.000620788342,-4850.897755210249,6.307216494154471,11.689109161691771,-0.0288051640297231,0.0316194410659425,-0.0123080406626897,0.0065290009212912,-0.0016363549561916,4564.063618009096,-0.0673753199921092,-0.0342612138024811,-153.59292138899494,0.0344897679917313,2.379658719436476,-0.002042673098241,0.0,0.5674074687861196,0.0,0.0,0.7459178140543963,-0.0339903562350442,-0.0121104106954392,-1827.158872910398,0.0,1813.526803416584,0.0002137256367666,1.6588355013596856,14.587214572422036,5081.160370590915,-396.0683186740368
0.0,-0.0014764235240142,0.7844558397805889,2.5692949826828047,1.4347121817990456,243.8551750073716,-149.29615739478334,-0.1308160665406567,-0.1443719315493413,5388.905653601449,-4850.897953497941,6.418330463723212,12.069900118687295,-0.0271441610740302,0.0299700543546517,-0.0136205071959916,0.0057998198112513,-0.0016149046917067,4564.071176401833,-0.0750854083945441,-0.0342600880265558,-153.38197572019783,0.0324747397552784,2.573766092744146,-0.0021524766550227,0.0,0.629974338450123,0.0,0.0,0.853485902620763,-0.0303828808946757,-0.0100206890868518,-1720.907256155661,0.0,1702.089662693867,2.4726121484867285e-05,1.651246527981407,15.438952660622856,5160.50456180469,-334.63294505418924
0.0,-0.0014596714479775,0.849162973750222,2.7641684157722843,1.5025608102805854,192.7292180180815,-149.08037974268677,-0.1289190618421648,-0.0927445633152812,5478.487834451277,-4850.89818153428,6.527811044056454,12.403359816362286,-0.0254890069321627,0.0282745847248033,-0.0149191660442521,0.0050082398554038,-0.0015940192945018,4564.079376852273,-0.0809113798330288,-0.0342610309653754,-153.24912883602028,0.0305855491991539,2.768899615263237,-0.0022401867180254,0.0,0.6918676706273872,0.0,0.0,0.9671648328984238,-0.0269510465455393,-0.007720800384852,-1614.7457913453582,0.0,1591.9032475886718,-0.0001962664430317,1.6435336833357053,16.267834228713845,5239.793594219746,-286.9846484317804
0.0,-0.0014480767935275,0.9149431387150372,2.960039301190823,1.5666538192549666,155.9095200661452,-148.97497549237187,-0.1259547800717333,-0.0395251045897494,5563.899654216959,-4850.898440210467,6.633621182269296,12.70599735318147,-0.0238606636211384,0.0265456574748487,-0.0161928736056888,0.0041773118667324,-0.0015741281253363,4564.088230165244,-0.0818987979963557,-0.0342643578409502,-153.23718041879016,0.0287690630762082,2.96512051646434,-0.0023040269628064,0.0,0.7536030830284662,0.0,0.0,1.0876687869801058,-0.0236541025671414,-0.0052735333992064,-1509.8931068033833,0.0,1484.3811555717075,-0.0004508008639039,1.6357699160347494,17.085156513019456,5317.4550642195845,-248.84225914543248
0.0,-0.0014391814317292,0.9817556649034872,3.1568996040240536,1.6268310095787477,131.87120856748302,-148.92755753176277,-0.1220116012804285,0.0167881282575246,5644.401941512677,-4850.898730005513,6.735182805243088,12.994002557629903,-0.022268071077777,0.024806096231857,-0.0174315237974583,0.0033597727860299,-0.0015560024661756,4564.097746758824,-0.0791678772879679,-0.034270513386682,-153.29582664197935,0.027068187649012,3.162570601159401,-0.0023428023347828,0.0,0.8159908148936809,0.0,0.0,1.2158035852246565,-0.0204034455884285,-0.0027222306040593,-1407.0933937841698,0.0,1379.964188310553,-0.0007589143957566,1.628006858996474,17.90088317221173,5393.960570128907,-217.4392160891993
0.0023758405933256,-0.0014326447547868,1.0495618233276236,3.3547235308483856,1.682941969615793,112.74238747908416,-148.96994011705965,-0.1171462773629276,0.0718452674168124,5719.483429391247,-4850.899050969583,6.832382223094877,13.266372032648682,-0.0207131012781091,0.023053528626015,-0.01862560961658,0.0025821035993091,-0.0015396792088383,4564.107936648578,-0.0761060238781442,-0.0342800346276401,-153.37881088325136,0.0254682549170718,3.361259500932815,-0.0023557019104782,0.0023758405933256,0.8786562211087139,0.0,0.0,1.3508290837858947,-0.0172045519521326,-0.0001144179520866,-1306.618897071151,0.0,1279.2982881262149,-0.0011158311050817,1.6202619957756224,18.705492852072528,5468.896036089715,-191.18392843796613
0.001573779083717,-0.001428197697309,1.1183110398505829,3.55355343953342,1.734846451188034,95.51755487495409,-149.15512133010105,-0.1114403494012588,0.1248268563880497,5788.517740668569,-4850.899403022979,6.9237570952356,13.526697267175036,-0.0191835170803568,0.0213199211424118,-0.0197663471047965,0.0018483597496606,-0.0015266804978239,4564.118809382738,-0.0734598606414811,-0.0342932896522442,-153.46193860377414,0.0239133184415487,3.5611224770644854,-0.0023425398664698,0.001573779083717,0.941581052770407,0.0,0.0,1.4922926588026824,-0.0141327191637139,0.0024781299262013,-1208.8671223701313,0.0,1181.9446965276315,-0.001499686781818,1.6125637876620726,19.495184903083743,5540.902198246998,-168.81373832323433
