FL,longslipRL,FyRR,slip,vx,ax,signal,FxRL,x,yawrate,yaw,longslipFL,rollrate,signal,pitchrate,vy,sideslipRL,ay,y,FyFR,sideslipRR,FyFL,longslipRR,brake,pitch,FyRL,sideslipFR,gas,FxRR,FR,steeringangel,slip1,RL,roll,RR,sideslipFL,FxFR,FxFL,longslipFR,az
1e-05,2.808349639999672e-07,0.0,0.0,0.0,-0.3431306652622907,0.0,0.0466828441670547,9975.981220894291,-3.1788466794521145e-07,-0.0130201565377619,2.808349639999672e-07,-0.0001080008855989,0.0,-2.3775753347015152e-08,0.0,0.0,-0.1072571782351647,-138.6472273329127,0.0,0.0,0.0,2.808349639999672e-07,0.0,-3.921815721326774e-05,0.0,0.0,7.152777777777778,0.0466828417996951,1e-05,0.0,0.0,1e-05,-1.2512815238071413e-07,1e-05,0.0,0.0466599402084195,0.0466599392730695,2.808349639999672e-07,1.4877731725295706
0.0139595587173891,0.0125048836359712,17.23445923968894,0.0,0.0084803266415314,1.849650456251019,0.0,1538.6319078758793,9975.981249645403,-2.501495390054726e-06,-0.013020216233568,-0.0006030460266187,-0.0049169062123139,0.0,-0.0071726978455913,0.0002429550209704,-0.0002269429029785,0.0512574088933185,-138.6472266153935,6.898529018625194,-0.0007722125224862,19.28667828772842,0.0126572462534902,0.0,-7.268270544982817e-05,5.691582182708809,-0.0002758147553805,2.7485308546490868,1547.7810389653669,0.0135077245638275,8.315864276690332e-12,0.0,1.0843085102226775,-2.829531021062481e-05,1.0821492871471718,-0.0008659353392535,-45.75854227491614,-47.794902615775214,-0.0005803651754477,-0.0662155617865713
0.0903487500213525,0.0151775111913369,130.0402713417425,0.0,0.0299484315939139,2.506872249945797,0.0,2160.194654011575,9975.981447413158,8.652055991586223e-05,-0.0130198178159173,-0.0007883273215758,-0.0084076170302595,0.0,-0.0177176579778921,0.0013421037123822,-0.0003460449907474,0.2262384761736892,-138.6472219980998,22.340638009453773,-0.0035728716879911,141.68886754824734,0.0155116228959405,0.0,-0.0002007637183987,22.92514364574704,-0.00018987288258,1.1055535556770766,2188.9042315080733,0.0875826872970673,-7.556367305484527e-08,0.0,1.6597031338777015,-9.870033572941896e-05,1.6178782395776128,-0.0038202863058845,-143.0097267377067,-142.67254486668344,-0.0008115126378487,-0.0529532388447757
0.1918149473556729,0.0209323139170853,303.3364019541436,0.0,0.0585643114607421,3.340915248692018,0.0,2838.9674516140635,9975.981897680032,9.88496639313986e-05,-0.0130186612051274,-0.0009794937282772,-0.0079598216270259,0.0,-0.0301083409697823,0.0039662504118132,0.003822326736482,0.2716246912721878,-138.6472006442116,-117.06930511532448,-0.0053885116046473,312.0743198246552,0.0210747538861516,0.0,-0.0004449750295282,-76.73126669206225,0.0051454467155652,0.4877486024713446,2849.8566176547674,0.1902180924046936,-4.0750972077614674e-07,0.0,2.2500661068292067,-0.0001844605540087,2.157885380449065,-0.0054601289366419,-133.51510447154047,-134.50686313164874,-0.0009733305291751,-0.0229598680272553
0.3304096869759956,0.0269443356122777,444.599912758897,0.0,0.096002236663728,4.191628970651882,0.0,3538.7428460683136,9975.982682492186,-0.000127220133424,-0.0130189379651129,-0.0009262808855418,-0.0071050906078686,0.0,-0.0430446925547743,0.0050106299424631,0.0123397135385581,-0.1247194672663383,-138.6471624059806,-569.6635963487217,-0.0081004365993971,471.5450749776102,0.02645752620374,0.0,-0.0008173656294722,-504.9617105566511,0.0134423104232374,0.2438372833662221,3548.3424934637837,0.3276653092918782,-7.850481459180102e-08,0.0,2.3733904346687886,-0.0002565416099194,2.271145604448616,-0.0093767701043034,-145.5583569850796,-146.68411762053097,-0.0009451235707354,0.0060867210389703
0.4816536267304505,0.028355448353178,926.579848712588,0.0,0.1399690896854649,4.500103909150988,0.0,3838.0411451210166,9975.983881917218,-8.842405875196794e-05,-0.0130201663780669,-0.0010437173218231,-0.0073331918081951,0.0,-0.0548612334919488,0.0038355325455951,0.0177396919494287,-0.0231457077327564,-138.6471347068267,-981.7499397587968,-0.0189994744291776,977.2843163330588,0.0277904746301617,0.0,-0.0013145421964505,-990.3652992332912,0.0183322912854617,0.1408486087160726,3756.466819318686,0.4799672716529601,-4.324801445216792e-07,0.0,2.0671373563291806,-0.0003309533814267,2.006213207421967,-0.020712817159728,-151.31447972489104,-151.2222067503963,-0.0010334243052392,0.049872063579736
0.6332730117288523,0.0261191622707747,1562.760444360598,0.0,0.1843896792476073,4.254340864436473,0.0,3565.119971903926,9975.985528189483,8.19485981539171e-05,-0.013020273855034,-0.0010305729454486,-0.0055566079359384,0.0,-0.0636851154682266,0.0035366085419298,0.0279745722885225,-0.0935943363524978,-138.64711919970782,-1517.9689074551186,-0.0263918332174272,1464.7271102708069,0.027068461295846,0.0,-0.0019147913594176,-1639.0101230508812,0.02970748783707,0.0999010717477489,3596.218318788185,0.6301043024293607,-4.466437988892972e-06,0.0,1.7514721454691795,-0.0003940576469234,1.8060475176813773,-0.0254483276401601,-138.6955645240091,-141.70231352024624,-0.0010986542034293,0.0845440066950554
0.7654173669738298,0.0261744997556122,2259.278538137444,0.0,0.2254599594122587,3.8910096590547134,0.0,3273.108502920834,9975.987601338233,-1.7518156999473783e-05,-0.013019582724643,-0.0011000012474425,-0.0045114314948797,0.0,-0.0684748023366859,0.0024991424904997,0.0347166529859685,-0.076070950774941,-138.6471166042632,-1933.895019411302,-0.0352296905456532,1864.7122131171857,0.0266383888256429,0.0,-0.0025813472412517,-2296.4102946268654,0.0307729320383659,0.0884878403750823,3248.336568627975,0.7641228523218468,-1.1422616643170713e-05,0.0,1.727594591161869,-0.0004444483805709,1.7509770173566122,-0.0309752068825319,-130.9887124645216,-129.88452060060885,-0.0011073039536918,0.0951080924571093
0.8871715207670263,0.0264022609449646,2674.9183216355177,0.0,0.2639941526880469,3.870721410140352,0.0,3210.6414418222207,9975.990068351388,0.000142763682976,-0.0130191790318963,-0.0010045797963154,-0.0029758620364596,0.0,-0.0699061566799871,0.0017980450221785,0.0338909158671111,-0.0653917165658148,-138.64712745651676,-1994.709066116665,-0.0338664764088921,1940.438903463565,0.026430603698367,0.0,-0.0032759209534031,-2747.1075967245984,0.0303479226265069,0.0868502988184677,3223.562566704723,0.8849231484138725,-1.6827902849335482e-05,0.0,1.754663999593035,-0.0004807585030656,1.757366621638133,-0.0278471797087502,-122.12499341308686,-123.9101665237433,-0.0010748643051287,0.0840223189959606
1.0026655485476013,0.0218696209052175,2788.5374286119504,0.0,0.3026694868939689,3.7589381204640375,0.0,3118.7118840420467,9975.99292176981,5.467720573531978e-05,-0.0130181752859139,-0.0010191404703081,-0.0016167621485586,0.0,-0.0693932152037502,0.0009864822883434,0.0321822784256667,-0.0855841820244869,-138.64715119086597,-1975.074475085726,-0.0318768493226013,1914.5925628558384,0.0225722243090262,0.0,-0.0039737250569088,-2836.8076220580924,0.0291045986375739,0.0841364649919891,3125.615227024494,1.002085218678419,-2.376944364548664e-05,0.0,1.6184292666525095,-0.000503156302192,1.647581404292298,-0.0280704321616729,-121.88175498992604,-122.81591508237956,-0.0010303676568332,0.0991200916619389
