FxFL,FR,rollrate,brake,yawrate,sideslipRR,x,yaw,FyFR,gas,FxRR,vy,steeringangel,slip,FyRR,RL,pitchrate,FyFL,FxRL,ay,FL,sideslipFR,longslipFL,az,FxFR,y,sideslipFL,ax,roll,longslipFR,signal,longslipRL,vx,FyRL,signal,longslipRR,RR,sideslipRL,slip1,pitch
0.0466599392730695,1e-05,-0.0001080008855989,0.0,-3.1788466794521145e-07,0.0,9975.981220894291,-0.0130201565377619,0.0,28.61111111111111,0.0466828417996951,0.0,0.0,0.0,0.0,1e-05,-2.3775753347015152e-08,0.0,0.0466828441670547,-0.1072571782351647,1e-05,0.0,2.808349639999672e-07,1.4877731725295706,0.0466599402084195,-138.6472273329127,0.0,-0.3431306652622907,-1.2512815238071413e-07,2.808349639999672e-07,0.0,2.808349639999672e-07,0.0,0.0,0.0,2.808349639999672e-07,1e-05,0.0,0.0,-3.921815721326774e-05
-47.794902615775214,0.0135077245638275,-0.0049169062123139,0.0,-2.501495390054726e-06,-0.0007722125224862,9975.981249645403,-0.013020216233568,6.898529018625194,11.03768590198615,1547.7810389653669,0.0002429550209704,8.315864276690332e-12,0.0,17.23445923968894,1.0843085102226775,-0.0071726978455913,19.28667828772842,1538.6319078758793,0.0512574088933185,0.0139595587173891,-0.0002758147553805,-0.0006030460266187,-0.0662155617865713,-45.75854227491614,-138.6472266153935,-0.0008659353392535,1.849650456251019,-2.829531021062481e-05,-0.0005803651754477,0.0,0.0125048836359712,0.0084803266415314,5.691582182708809,0.0,0.0126572462534902,1.0821492871471718,-0.0002269429029785,0.0,-7.268270544982817e-05
-142.67254486668344,0.0875826872970673,-0.0084076170302595,0.0,8.652055991586223e-05,-0.0035728716879911,9975.981447413158,-0.0130198178159173,22.340638009453773,4.55003864080893,2188.9042315080733,0.0013421037123822,-7.556367305484527e-08,0.0,130.0402713417425,1.6597031338777015,-0.0177176579778921,141.68886754824734,2160.194654011575,0.2262384761736892,0.0903487500213525,-0.00018987288258,-0.0007883273215758,-0.0529532388447757,-143.0097267377067,-138.6472219980998,-0.0038202863058845,2.506872249945797,-9.870033572941896e-05,-0.0008115126378487,0.0,0.0151775111913369,0.0299484315939139,22.92514364574704,0.0,0.0155116228959405,1.6178782395776128,-0.0003460449907474,0.0,-0.0002007637183987
-135.04524636774855,0.190230272153429,-0.0094237943665125,0.0,9.938814077122172e-05,-0.0060462945127431,9975.981897713153,-0.0130186647044879,-105.17067768146,2.149958863959698,2866.258429106189,0.0040595531143336,-4.0598920562991953e-07,0.0,316.05942907372986,2.3213083152545844,-0.0303478707367062,325.5984335580948,2852.73437131276,0.3036920225900856,0.1919924822090661,0.004539873623637,-0.0009892976355168,-0.0621409049365074,-133.71604421716137,-138.64720040534385,-0.0061654380239162,3.3655742192379297,-0.0001896500543841,-0.0009771129991156,0.0,0.0212438014128299,0.0585818406946271,-66.09191975655382,0.0,0.0215050281980636,2.227991660958341,0.003284417866587,0.0,-0.0004456339607162
-151.66794242135873,0.3312386492155473,-0.0111916416445016,0.0,-0.0001333862050289,-0.0102461530673105,9975.982686137351,-0.0130189206524596,-515.9087844380061,1.2488708202191972,3757.215973166128,0.0061987694703599,-1.0865396895121087e-07,0.0,531.915952595467,2.913807040424216,-0.0450726336811087,564.7974043562868,3755.62831677272,0.0762113832027341,0.3347454136622581,0.0126884809694882,-0.0009905613417022,-0.0571598961065557,-150.21951631865193,-138.64715657928463,-0.0116396474733788,4.45499846982819,-0.0002914964377145,-0.0009944288692431,0.0,0.031472221025398,0.0969583087880346,-444.1583899627471,0.0,0.0315159868992353,2.8116610850352077,0.0113929369828039,0.0,-0.0008284836781348
-163.8572137106151,0.5000687221629755,-0.0136919342845021,0.0,-0.0001428369243024,-0.0221051832272564,9975.983915926385,-0.0130205237108858,-1028.0337843143088,0.8982054032202375,4324.516293583888,0.006995079373183,-4.368924013913917e-07,0.0,1038.9037213034028,3.460669272056258,-0.060957073899788,1138.311312585634,4392.760504810351,0.1315389461746702,0.5034965011219268,0.0214441442864145,-0.0012010387124008,-0.0051465634533179,-163.47610039202843,-138.64710631279277,-0.0241228022420613,5.177163386791143,-0.0004189032430008,-0.0011799814103985,0.0,0.046301510068443,0.1452858377096054,-981.466827908062,0.0,0.0467153975625678,3.403262319696139,0.0203322567169937,0.0,-0.0013664839554325
-159.23043226546122,0.680420516532089,-0.0141496705517606,0.0,-3.824199626011732e-05,-0.0345738169921989,9975.985659353018,-0.0130213805776401,-1745.1036668046809,0.7587568023996386,4409.300607606306,0.0078725959046967,-6.073916686077563e-06,0.0,1628.483164352459,4.157999357601151,-0.0754330534491378,1776.5527469770216,4472.418744156182,0.0087399857768805,0.68634054325115,0.0366532326514279,-0.001353734027314,0.0306639066616788,-154.85782963099598,-138.64705344896262,-0.033792438528861,5.289456790289833,-0.0005583770591987,-0.0014263180923499,0.0,0.0680500033347288,0.1981961953913245,-1644.6090896064527,0.0,0.0712030934946543,4.256328369771562,0.0352645875998039,0.0,-0.0020580047634169
-155.41693187657268,0.8607654211471912,-0.014753848359835,0.0,6.145797998175002e-05,-0.0458138206397738,9975.987931765008,-0.0130213717108453,-2131.3551494522694,0.7057423725478614,4299.931063246472,0.0076543637007958,-1.9611480104017346e-05,0.0,1985.5432992638364,5.072478737990535,-0.0865793913073694,2152.8545161826232,4381.5285050594,-0.0390318393519508,0.8649087392837086,0.0341851072250712,-0.0014001860199492,-0.0268668638309757,-156.63134552231665,-138.64700514390606,-0.0345145315895569,5.195570250224893,-0.0007036992112386,-0.0014236313319884,0.0,0.0988719983551527,0.25062333453873,-2058.231036405765,0.0,0.1063987302497796,5.327848655129234,0.0439371649103567,0.0,-0.0028762659070542
-152.65130829505577,1.035401440371498,-0.0146537008965628,0.0,0.0003703209985589,-0.0474438339903408,9975.9907294702,-0.0130189958562936,-2184.5726807297897,0.682434887741285,4489.906385415356,0.0073971478276435,-4.695077054186624e-05,0.0,1838.0786682663745,5.877625334326246,-0.0955178424456989,2209.0318256917994,4595.022177798394,-0.0268852772093786,1.0396417662624642,0.0354452937440388,-0.0014590450467932,-0.1127585167027312,-148.96428059932984,-138.6469664722006,-0.0337327899204369,5.471090897341612,-0.0008510454078532,-0.0015370456865517,0.0,0.1325412581552429,0.3038662121106338,-1913.379572857581,0.0,0.147058339590441,6.328905301162672,0.0427416672283815,0.0,-0.003792431239863
-154.23758642495287,1.2168119876251589,-0.0143381162917621,0.0,0.0005002729696476,-0.0495497676624119,9975.994074127886,-0.0130144223878973,-2209.8112026778226,0.6669398887046945,4647.356616198243,0.0069615571778933,-8.763565819377506e-05,0.0,1547.5457948129433,6.433958937135297,-0.103184763570866,2203.112863484544,4760.839411941848,-0.0489252242048798,1.2206308124557892,0.036390382487342,-0.0014990677062075,-0.1780856376635763,-152.52180033865176,-138.6469383025645,-0.0344044358338722,5.67574161049735,-0.0009960359542664,-0.0015847650459285,0.0,0.1642657676268492,0.3596457574296485,-1621.4954939822892,0.0,0.188325863974582,7.118782167108175,0.0437326941709281,0.0,-0.00479077568729
