FR,FxFL,FL,RL,pitchrate,longslipRL,yawrate,x,sideslipRR,FxRL,ax,FyRL,vy,vx,ay,yaw,longslipFL,RR,sideslipFR,FyFL,roll,pitch,slip,gas,FxFR,signal,longslipFR,rollrate,signal,FyRR,y,brake,FyFR,az,sideslipFL,steeringangel,slip1,FxRR,longslipRR,sideslipRL
1e-05,0.0466599392730696,1e-05,1e-05,-2.3775753347224906e-08,2.808349639999672e-07,-3.1788466794528535e-07,4564.018298359632,0.0,0.0466828441670549,-0.3431306652622903,0.0,0.0,0.0,-0.1072571782351639,-0.0342957201195726,2.808349639999672e-07,1e-05,0.0,0.0,-1.2512815238127624e-07,-3.9218157213248485e-05,0.0,25.034722222222225,0.0466599402084196,0.0,2.808349639999672e-07,-0.0001080008855989,0.0,0.0,-4850.897164652041,0.0,0.0,1.4877731725295662,0.0,0.0,0.0,0.0466828417996954,2.808349639999672e-07,0.0
0.0135077235372194,-47.79490148057706,0.013959558540463,1.0843085104833043,-0.0071726992989191,0.0125048836592421,-2.501513631808599e-06,4564.0183271195,-0.0007722126776018,1538.6319089146716,1.8496504524269235,5.691584911514616,0.0002429550595765,0.0084803266374004,0.0512574097733815,-0.0342957798154886,-0.0006030459982721,1.0821492862600806,-0.0002758141952947,19.28668992787782,-2.8295318894235186e-05,-7.268271119580988e-05,0.0,9.656160060648183,-45.75853934436751,0.0,-0.0005803651418275,-0.0049169070171574,0.2399640016199652,17.234463926003237,-4850.897164546333,0.0,6.898517053658372,-0.0662153214831475,-0.0008659359744629,0.0,0.0,1547.781042113167,0.0126572463008556,-0.0002269429815789
0.0875826896486228,-142.67254785076796,0.0903487521819541,1.6597031312282764,-0.0177176592202564,0.0151775112400291,8.652054617366271e-05,4564.018524940726,-0.0035728718253729,2160.194660847929,2.5068722554189065,22.925147714078676,0.0013421038778943,0.029948431608553,0.226238497566293,-0.0342953813980694,-0.0007883273147062,1.6178782327934649,-0.000189873102941,141.68891405228186,-9.870035038110624e-05,-0.0002007637381622,0.0,3.9759577932155263,-143.0097308411693,0.0,-0.0008115126330158,-0.0084076174639042,0.4797120518355567,130.04028188356273,-4850.8971641373855,0.0,22.3406198275947,-0.0529532694205198,-0.0038202869473151,0.0,0.0,2188.904238464928,0.0155116229479329,-0.0003460450087117
0.1902302754082313,-135.0452454907042,0.1919924840802111,2.3213083074582053,-0.0303478719267782,0.0212438014522375,9.938846600590508e-05,4564.018975598172,-0.0060462942861637,2852.7343781518143,3.365574223914715,-66.09192863373893,0.0040595536858499,0.0585818407665621,0.3036920741805654,-0.0342942282855102,-0.0009892976383768,2.22799165023222,0.0045398710449359,325.59850928723023,-0.0001896500698494,-0.0004456339924699,0.0,1.87292043034694,-133.7160448131883,0.0,-0.0009771130165446,-0.0094237940251302,0.7190283935840883,316.0594297066287,-4850.897152129177,0.0,-105.17060895902068,-0.0621409015719837,-0.0061654399758784,0.0,0.0,2866.258436408024,0.021505028245282,0.0032844182443548
0.3312386550137135,-151.66794221286358,0.3347454140030965,2.9138070389199364,-0.0450726348741584,0.0314722210419008,-0.0001333848364594,4564.019764776292,-0.0102461527971049,3755.628312343691,4.45499847458934,-444.1584232271037,0.0061987708933125,0.0969583089040398,0.0762114284338026,-0.0342944842242507,-0.000990561343961,2.81166106631985,0.0126884860808265,564.7974085227373,-0.0002914964417351,-0.000828483721826,0.0,1.0811081842441164,-150.21951475229534,0.0,-0.0009944288494215,-0.0111916400883152,0.9576976583113548,531.9159332351235,-4850.8971250859295,0.0,-515.9087609877957,-0.0571598930855985,-0.011639642195456,0.0,0.0,3757.2159839564847,0.0315159869383478,0.0113929374904914
0.4999995754605292,-163.89542237726826,0.5035174364788415,3.432328713633866,-0.0608587400101279,0.0459637192494131,-0.0001352281610353,4564.020995349983,-0.0216675374903171,4384.695305468389,5.172904983998276,-989.2098621136448,0.0069475746042185,0.1452840525338716,0.1014441891085154,-0.0342960681483069,-0.0011939743352613,3.371064901763171,0.0218594866180233,1129.0513997921337,-0.0004172035472204,-0.001366214488407,0.0,0.770644944812476,-163.242720109033,0.0,-0.0011807720696475,-0.0132419385374401,1.195505059788794,1031.5078624684834,-4850.897101103787,0.0,-1035.9552657348013,0.0057524181270075,-0.0236156562239666,0.0,0.0,4327.820700585036,0.0462689655680193,0.0206900231095357
0.679838028982341,-158.43855260027627,0.6856336754856203,4.001647180461046,-0.0749163469201882,0.0653720899844506,-2.721915665248607e-05,4564.022739195045,-0.0343661680086872,4468.495271568582,5.291945510038666,-1663.4210502252156,0.0074978956740912,0.1981578018865079,-0.0106145947122723,-0.0342967745266403,-0.0013414589585078,4.064169630107933,0.036238215441751,1756.5240556741967,-0.0005505529040946,-0.0020546063553719,0.0,0.64605413688989,-154.94301185350457,0.0,-0.0014203335670501,-0.0134271106296769,1.4322365874065934,1634.2953875839446,-4850.897087546605,0.0,-1749.0788655829986,0.0363468322786251,-0.0335777550826143,0.0,0.0,4414.335059229709,0.0677165106425213,0.0348941352711806
0.8594715708451103,-155.39137353265298,0.8633580460260899,4.722353558098448,-0.0855006802998061,0.091323042393546,4.365714982543813e-05,4564.025011559051,-0.0445985683543392,4373.468780076935,5.183983845090611,-2123.088134236324,0.0071548755903011,0.2505712379429182,-0.0506153242575159,-0.0342968252985617,-0.0013831859772619,4.932636100088918,0.0339959358115617,2133.3001179271405,-0.0006862734781303,-0.0028647268495125,0.0,0.59845700019256,-155.621002803302,0.0,-0.0014054544045197,-0.0135930714102226,1.6676791987687969,2045.7535061657736,-4850.897092148636,0.0,-2122.6694476319285,-0.0089114951459136,-0.0339433287157366,0.0,0.0,4286.425768454796,0.0974944436624197,0.0435162223161168
1.0321761526873832,-151.22509026802356,1.0363642354681886,5.341022618124863,-0.0937556456650407,0.118715584897421,0.0003242037693586,4564.027807385395,-0.0457060923087479,4557.899897429241,5.432918776271156,-2031.5745527791485,0.0067450305658079,0.3035268918410629,-0.0432700396072509,-0.0342947935944838,-0.0014303211197627,5.741660894225966,0.0349855159780955,2181.7074427743546,-0.0008203142897882,-0.0037664094618861,0.0,0.5776122312755442,-148.22659168102777,0.0,-0.0015118129839448,-0.0132064762937799,1.9016210114170768,1948.525431483387,-4850.897118729065,0.0,-2173.237354925334,-0.0889594813909123,-0.0331863531206659,0.0,0.0,4460.612446227661,0.1312675506016157,0.0418451862199777
1.211574222961639,-153.31832040895316,1.214872938404424,5.732991560212374,-0.1007453682579663,0.1431702007822235,0.0004993432482061,4564.031146189717,-0.0479074008839377,4729.16142276486,5.643561633570191,-1777.417061610604,0.0061421108565594,0.3589459822877825,-0.0644231760222142,-0.0342905260798132,-0.0014716625650293,6.350296991458754,0.0356794331823848,2175.575556218193,-0.0009497786919623,-0.0047433574619435,0.0,0.5631734485218473,-151.76587364732444,0.0,-0.0015527264353905,-0.0127173307255468,2.133851493510649,1684.7008802649416,-4850.897168946101,0.0,-2188.680137257185,-0.1511412102369529,-0.0338219401780958,0.0,0.0,4622.362094322157,0.1643509462367847,0.0421291847659733
