FxFR,az,yawrate,brake,ay,sideslipFR,steeringangel,sideslipRL,FxFL,ax,slip1,sideslipFL,signal,longslipRL,x,slip,RL,FyRR,longslipFR,FL,sideslipRR,longslipRR,RR,rollrate,y,vx,gas,roll,FyFR,pitchrate,FxRR,FR,FxRL,vy,FyFL,yaw,pitch,longslipFL,signal,FyRL
0.0466599402084195,1.4877731725295706,-3.1788466794521145e-07,0.0,-0.1072571782351647,0.0,0.0,0.0,0.0466599392730695,-0.3431306652622907,0.0,0.0,0.0,2.808349639999672e-07,9975.981220894291,0.0,1e-05,0.0,2.808349639999672e-07,1e-05,0.0,2.808349639999672e-07,1e-05,-0.0001080008855989,-138.6472273329127,0.0,28.61111111111111,-1.2512815238071413e-07,0.0,-2.3775753347015152e-08,0.0466828417996951,1e-05,0.0466828441670547,0.0,0.0,-0.0130201565377619,-3.921815721326774e-05,2.808349639999672e-07,0.0,0.0
-45.75854227491614,-0.0662155617865713,-2.501495390054726e-06,0.0,0.0512574088933185,-0.0002758147553805,8.315864276690332e-12,-0.0002269429029785,-47.794902615775214,1.849650456251019,0.0,-0.0008659353392535,0.0,0.0125048836359712,9975.981249645403,0.0,1.0843085102226775,17.23445923968894,-0.0005803651754477,0.0139595587173891,-0.0007722125224862,0.0126572462534902,1.0821492871471718,-0.0049169062123139,-138.6472266153935,0.0084803266415314,11.03768590198615,-2.829531021062481e-05,6.898529018625194,-0.0071726978455913,1547.7810389653669,0.0135077245638275,1538.6319078758793,0.0002429550209704,19.28667828772842,-0.013020216233568,-7.268270544982817e-05,-0.0006030460266187,0.0,5.691582182708809
-143.0097267377067,-0.0529532388447757,8.652055991586223e-05,0.0,0.2262384761736892,-0.00018987288258,-7.556367305484527e-08,-0.0003460449907474,-142.67254486668344,2.506872249945797,0.0,-0.0038202863058845,0.0,0.0151775111913369,9975.981447413158,0.0,1.6597031338777015,130.0402713417425,-0.0008115126378487,0.0903487500213525,-0.0035728716879911,0.0155116228959405,1.6178782395776128,-0.0084076170302595,-138.6472219980998,0.0299484315939139,4.55003864080893,-9.870033572941896e-05,22.340638009453773,-0.0177176579778921,2188.9042315080733,0.0875826872970673,2160.194654011575,0.0013421037123822,141.68886754824734,-0.0130198178159173,-0.0002007637183987,-0.0007883273215758,0.0,22.92514364574704
-133.71604421716137,-0.0621409049365074,9.938814077122172e-05,0.0,0.3036920225900856,0.004539873623637,-4.0598920562991953e-07,0.003284417866587,-135.04524636774855,3.3655742192379297,0.0,-0.0061654380239162,0.0,0.0212438014128299,9975.981897713153,0.0,2.3213083152545844,316.05942907372986,-0.0009771129991156,0.1919924822090661,-0.0060462945127431,0.0215050281980636,2.227991660958341,-0.0094237943665125,-138.64720040534385,0.0585818406946271,2.149958863959698,-0.0001896500543841,-105.17067768146,-0.0303478707367062,2866.258429106189,0.190230272153429,2852.73437131276,0.0040595531143336,325.5984335580948,-0.0130186647044879,-0.0004456339607162,-0.0009892976355168,0.0,-66.09191975655382
-150.21951631865193,-0.0571598961065557,-0.0001333862050289,0.0,0.0762113832027341,0.0126884809694882,-1.0865396895121087e-07,0.0113929369828039,-151.66794242135873,4.45499846982819,0.0,-0.0116396474733788,0.0,0.031472221025398,9975.982686137351,0.0,2.913807040424216,531.915952595467,-0.0009944288692431,0.3347454136622581,-0.0102461530673105,0.0315159868992353,2.8116610850352077,-0.0111916416445016,-138.64715657928463,0.0969583087880346,1.2488708202191972,-0.0002914964377145,-515.9087844380061,-0.0450726336811087,3757.215973166128,0.3312386492155473,3755.62831677272,0.0061987694703599,564.7974043562868,-0.0130189206524596,-0.0008284836781348,-0.0009905613417022,0.0,-444.1583899627471
-163.47610039202843,-0.0051465634533179,-0.0001428369243024,0.0,0.1315389461746702,0.0214441442864145,-4.368924013913917e-07,0.0203322567169937,-163.8572137106151,5.177163386791143,0.0,-0.0241228022420613,0.0,0.046301510068443,9975.983915926385,0.0,3.460669272056258,1038.9037213034028,-0.0011799814103985,0.5034965011219268,-0.0221051832272564,0.0467153975625678,3.403262319696139,-0.0136919342845021,-138.64710631279277,0.1452858377096054,0.8982054032202375,-0.0004189032430008,-1028.0337843143088,-0.060957073899788,4324.516293583888,0.5000687221629755,4392.760504810351,0.006995079373183,1138.311312585634,-0.0130205237108858,-0.0013664839554325,-0.0012010387124008,0.0,-981.466827908062
-154.85782963099598,0.0306639066616788,-3.824199626011732e-05,0.0,0.0087399857768805,0.0366532326514279,-6.073916686077563e-06,0.0352645875998039,-159.23043226546122,5.289456790289833,0.0,-0.033792438528861,0.0,0.0680500033347288,9975.985659353018,0.0,4.157999357601151,1628.483164352459,-0.0014263180923499,0.68634054325115,-0.0345738169921989,0.0712030934946543,4.256328369771562,-0.0141496705517606,-138.64705344896262,0.1981961953913245,0.7587568023996386,-0.0005583770591987,-1745.1036668046809,-0.0754330534491378,4409.300607606306,0.680420516532089,4472.418744156182,0.0078725959046967,1776.5527469770216,-0.0130213805776401,-0.0020580047634169,-0.001353734027314,0.0,-1644.6090896064527
-156.63134552231665,-0.0268668638309757,6.145797998175002e-05,0.0,-0.0390318393519508,0.0341851072250712,-1.9611480104017346e-05,0.0439371649103567,-155.41693187657268,5.195570250224893,0.0,-0.0345145315895569,0.0,0.0988719983551527,9975.987931765008,0.0,5.072478737990535,1985.5432992638364,-0.0014236313319884,0.8649087392837086,-0.0458138206397738,0.1063987302497796,5.327848655129234,-0.014753848359835,-138.64700514390606,0.25062333453873,0.7057423725478614,-0.0007036992112386,-2131.3551494522694,-0.0865793913073694,4299.931063246472,0.8607654211471912,4381.5285050594,0.0076543637007958,2152.8545161826232,-0.0130213717108453,-0.0028762659070542,-0.0014001860199492,0.0,-2058.231036405765
-148.96428059932984,-0.1127585167027312,0.0003703209985589,0.0,-0.0268852772093786,0.0354452937440388,-4.695077054186624e-05,0.0427416672283815,-152.65130829505577,5.471090897341612,0.0,-0.0337327899204369,0.0,0.1325412581552429,9975.9907294702,0.0,5.877625334326246,1838.0786682663745,-0.0015370456865517,1.0396417662624642,-0.0474438339903408,0.147058339590441,6.328905301162672,-0.0146537008965628,-138.6469664722006,0.3038662121106338,0.682434887741285,-0.0008510454078532,-2184.5726807297897,-0.0955178424456989,4489.906385415356,1.035401440371498,4595.022177798394,0.0073971478276435,2209.0318256917994,-0.0130189958562936,-0.003792431239863,-0.0014590450467932,0.0,-1913.379572857581
-152.52180033865176,-0.1780856376635763,0.0005002729696476,0.0,-0.0489252242048798,0.036390382487342,-8.763565819377506e-05,0.0437326941709281,-154.23758642495287,5.67574161049735,0.0,-0.0344044358338722,0.0,0.1642657676268492,9975.994074127886,0.0,6.433958937135297,1547.5457948129433,-0.0015847650459285,1.2206308124557892,-0.0495497676624119,0.188325863974582,7.118782167108175,-0.0143381162917621,-138.6469383025645,0.3596457574296485,0.6669398887046945,-0.0009960359542664,-2209.8112026778226,-0.103184763570866,4647.356616198243,1.2168119876251589,4760.839411941848,0.0069615571778933,2203.112863484544,-0.0130144223878973,-0.00479077568729,-0.0014990677062075,0.0,-1621.4954939822892
