sideslipRL,sideslipRR,FyRL,steeringangel,FyRR,rollrate,FxFR,vx,y,FyFR,brake,signal,longslipRL,ax,slip,signal,sideslipFL,sideslipFR,yaw,yawrate,longslipFR,pitchrate,RL,FxFL,slip1,FxRR,FL,gas,az,x,vy,FyFL,RR,ay,longslipFL,longslipRR,roll,FxRL,FR,pitch
0.0,0.0,0.0,0.0,0.0,-0.0001080008855989,0.0466599402084196,0.0,-4850.897164652041,0.0,0.0,0.0,2.808349639999672e-07,-0.3431306652622903,0.0,0.0,0.0,0.0,-0.0342957201195726,-3.1788466794528535e-07,2.808349639999672e-07,-2.3775753347224906e-08,1e-05,0.0466599392730696,0.0,0.0466828417996954,1e-05,25.034722222222225,1.4877731725295662,4564.018298359632,0.0,0.0,1e-05,-0.1072571782351639,2.808349639999672e-07,2.808349639999672e-07,-1.2512815238127624e-07,0.0466828441670549,1e-05,-3.9218157213248485e-05
-0.0002269429815789,-0.0007722126776018,5.691584911514616,0.0,17.234463926003237,-0.0049169070171574,-45.75853934436751,0.0084803266374004,-4850.897164546333,6.898517053658372,0.0,0.0,0.0125048836592421,1.8496504524269235,0.0,0.0199996666683333,-0.0008659359744629,-0.0002758141952947,-0.0342957798154886,-2.501513631808599e-06,-0.0005803651418275,-0.0071726992989191,1.0843085104833043,-47.79490148057706,0.0,1547.781042113167,0.013959558540463,9.656160060648183,-0.0662153214831475,4564.0183271195,0.0002429550595765,19.28668992787782,1.0821492862600806,0.0512574097733815,-0.0006030459982721,0.0126572463008556,-2.8295318894235186e-05,1538.6319089146716,0.0135077235372194,-7.268271119580988e-05
-0.0003460450087117,-0.0035728718253729,22.925147714078676,0.0,130.04028188356273,-0.0084076174639042,-143.0097308411693,0.029948431608553,-4850.8971641373855,22.3406198275947,0.0,0.0,0.0151775112400291,2.5068722554189065,0.0,0.0399973333866661,-0.0038202869473151,-0.000189873102941,-0.0342953813980694,8.652054617366271e-05,-0.0008115126330158,-0.0177176592202564,1.6597031312282764,-142.67254785076796,0.0,2188.904238464928,0.0903487521819541,3.9759577932155263,-0.0529532694205198,4564.018524940726,0.0013421038778943,141.68891405228186,1.6178782327934649,0.226238497566293,-0.0007883273147062,0.0155116229479329,-9.870035038110624e-05,2160.194660847929,0.0875826896486228,-0.0002007637381622
0.0032844182443548,-0.0060462942861637,-66.09192863373893,0.0,316.0594297066287,-0.0094237940251302,-133.7160448131883,0.0585818407665621,-4850.897152129177,-105.17060895902068,0.0,0.0,0.0212438014522375,3.365574223914715,0.0,0.0599910004049913,-0.0061654399758784,0.0045398710449359,-0.0342942282855102,9.938846600590508e-05,-0.0009771130165446,-0.0303478719267782,2.3213083074582053,-135.0452454907042,0.0,2866.258436408024,0.1919924840802111,1.87292043034694,-0.0621409015719837,4564.018975598172,0.0040595536858499,325.59850928723023,2.22799165023222,0.3036920741805654,-0.0009892976383768,0.021505028245282,-0.0001896500698494,2852.7343781518143,0.1902302754082313,-0.0004456339924699
0.0113929374904914,-0.0102461527971049,-444.1584232271037,0.0,531.9159332351235,-0.0111916400883152,-150.21951475229534,0.0969583089040398,-4850.8971250859295,-515.9087609877957,0.0,0.0,0.0314722210419008,4.45499847458934,0.0,0.0799786683732683,-0.011639642195456,0.0126884860808265,-0.0342944842242507,-0.0001333848364594,-0.0009944288494215,-0.0450726348741584,2.9138070389199364,-151.66794221286358,0.0,3757.2159839564847,0.3347454140030965,1.0811081842441164,-0.0571598930855985,4564.019764776292,0.0061987708933125,564.7974085227373,2.81166106631985,0.0762114284338026,-0.000990561343961,0.0315159869383478,-0.0002914964417351,3755.628312343691,0.3312386550137135,-0.000828483721826
0.0206900231095357,-0.0216675374903171,-989.2098621136448,0.0,1031.5078624684834,-0.0132419385374401,-163.242720109033,0.1452840525338716,-4850.897101103787,-1035.9552657348013,0.0,0.0,0.0459637192494131,5.172904983998276,0.0,0.0999583385413566,-0.0236156562239666,0.0218594866180233,-0.0342960681483069,-0.0001352281610353,-0.0011807720696475,-0.0608587400101279,3.432328713633866,-163.89542237726826,0.0,4327.820700585036,0.5035174364788415,0.770644944812476,0.0057524181270075,4564.020995349983,0.0069475746042185,1129.0513997921337,3.371064901763171,0.1014441891085154,-0.0011939743352613,0.0462689655680193,-0.0004172035472204,4384.695305468389,0.4999995754605292,-0.001366214488407
0.0348941352711806,-0.0343661680086872,-1663.4210502252156,0.0,1634.2953875839446,-0.0134271106296769,-154.94301185350457,0.1981578018865079,-4850.897087546605,-1749.0788655829986,0.0,0.0,0.0653720899844506,5.291945510038666,0.0,0.1199280129588891,-0.0335777550826143,0.036238215441751,-0.0342967745266403,-2.721915665248607e-05,-0.0014203335670501,-0.0749163469201882,4.001647180461046,-158.43855260027627,0.0,4414.335059229709,0.6856336754856203,0.64605413688989,0.0363468322786251,4564.022739195045,0.0074978956740912,1756.5240556741967,4.064169630107933,-0.0106145947122723,-0.0013414589585078,0.0677165106425213,-0.0005505529040946,4468.495271568582,0.679838028982341,-0.0020546063553719
0.0435162223161168,-0.0445985683543392,-2123.088134236324,0.0,2045.7535061657736,-0.0135930714102226,-155.621002803302,0.2505712379429182,-4850.897092148636,-2122.6694476319285,0.0,0.0,0.091323042393546,5.183983845090611,0.0,0.1398856946750655,-0.0339433287157366,0.0339959358115617,-0.0342968252985617,4.365714982543813e-05,-0.0014054544045197,-0.0855006802998061,4.722353558098448,-155.39137353265298,0.0,4286.425768454796,0.8633580460260899,0.59845700019256,-0.0089114951459136,4564.025011559051,0.0071548755903011,2133.3001179271405,4.932636100088918,-0.0506153242575159,-0.0013831859772619,0.0974944436624197,-0.0006862734781303,4373.468780076935,0.8594715708451103,-0.0028647268495125
0.0418451862199777,-0.0457060923087479,-2031.5745527791485,0.0,1948.525431483387,-0.0132064762937799,-148.22659168102777,0.3035268918410629,-4850.897118729065,-2173.237354925334,0.0,0.0,0.118715584897421,5.432918776271156,0.0,0.1598293879383454,-0.0331863531206659,0.0349855159780955,-0.0342947935944838,0.0003242037693586,-0.0015118129839448,-0.0937556456650407,5.341022618124863,-151.22509026802356,0.0,4460.612446227661,1.0363642354681886,0.5776122312755442,-0.0889594813909123,4564.027807385395,0.0067450305658079,2181.7074427743546,5.741660894225966,-0.0432700396072509,-0.0014303211197627,0.1312675506016157,-0.0008203142897882,4557.899897429241,1.0321761526873832,-0.0037664094618861
0.0421291847659733,-0.0479074008839377,-1777.417061610604,0.0,1684.7008802649416,-0.0127173307255468,-151.76587364732444,0.3589459822877825,-4850.897168946101,-2188.680137257185,0.0,0.0,0.1431702007822235,5.643561633570191,0.0,0.179757098396022,-0.0338219401780958,0.0356794331823848,-0.0342905260798132,0.0004993432482061,-0.0015527264353905,-0.1007453682579663,5.732991560212374,-153.31832040895316,0.0,4622.362094322157,1.214872938404424,0.5631734485218473,-0.1511412102369529,4564.031146189717,0.0061421108565594,2175.575556218193,6.350296991458754,-0.0644231760222142,-0.0014716625650293,0.1643509462367847,-0.0009497786919623,4729.16142276486,1.211574222961639,-0.0047433574619435
0.0415992219735343,-0.0483688192117231,-1514.8539041045094,0.0,1424.5519154875412,-0.011838074597336,-151.95934052875285,0.4160708757669633,-4850.897245175499,-2169.065927659583,0.0,0.0,0.1661535474480472,5.7714207574920176,0.0,0.1996668332936563,-0.0336728235853444,0.0354475251589619,-0.0342848801999828,0.000614728335818,-0.0015964445282091,-0.1065697207448301,6.005325977281809,-153.90098407294877,0.0,4718.30976290667,1.3973085557088525,0.5522534876801213,-0.1883103363171342,4564.03504885836,0.0054601565518798,2155.106207793371,6.856302758205718,-0.0680197569679904,-0.0015059770702641,0.1981973115832698,-0.0010725555121995,4831.113904893835,1.3945398192020722,-0.0057838118449216
0.0396078585686505,-0.0466429104224079,-1279.961505317422,0.0,1184.9778363056305,-0.0105620317633268,-153.46236669690074,0.4742738874482361,-4850.8973482236415,-2118.798314288306,0.0,0.0,0.1886603959278187,5.863099612002399,0.0,0.2195566016743496,-0.0325907467772408,0.0346016634042743,-0.0342780700740714,0.0007323118324753,-0.0016163972036461,-0.1112014284366517,6.22070385333009,-155.33339143456757,0.0,4787.275266203608,1.5833620369303232,0.5436482431814976,-0.2076353138924208,4564.039528646849,0.0047325563467278,2100.5678149661544,7.3162448542979694,-0.072593440025894,-0.0015194986128004,0.234114207101161,-0.0011841818254609,4905.587672267079,1.581644117623552,-0.0068759745129041
0.0368840346808239,-0.0435012684563662,-1070.2290453810558,0.0,975.839021737843,-0.0089957988355627,-151.75336919814842,0.5333603207986148,-4850.897478995596,-2040.7883982624037,0.0,0.0,0.21085072080318,5.952484874409645,0.0,0.2394244145778387,-0.0310883509781137,0.0332903508917386,-0.0342703303152687,0.0007988464642857,-0.0015759736823139,-0.1146557304259615,6.387387216324013,-153.83594172374012,0.0,4850.682405576307,1.7721635984092328,0.5361928139617147,-0.2126199257817833,4564.044595015965,0.0039501214093119,2015.2902076526543,7.741703691522565,-0.0791570799207136,-0.0014774082188194,0.2729339626428472,-0.0012813941452353,4976.384542135217,1.7715239420382336,-0.0080079342869537
0.0339634213148022,-0.039963660170564,-900.082697503361,0.0,796.1146458089975,-0.0072597960777669,-151.43199463232182,0.5933376036233932,-4850.89763839154,-1944.5555631456289,0.0,0.0,0.2313784639378493,6.043460171646792,0.0,0.2592682852393897,-0.0295034837001203,0.0317554106426282,-0.0342621464837789,0.0008337980840216,-0.0015547238018785,-0.1169824710708928,6.50150102356153,-153.55009252464754,0.0,4916.6021739088055,1.9609722979322024,0.5291083707333352,-0.2033816915675501,4564.050256843035,0.0030915996531897,1912.8567925833377,8.131139505123459,-0.0912720175624972,-0.0014515935049841,0.3134216566252953,-0.0013618857355363,5050.552532429801,1.9611375812823053,-0.0091682030087049
0.0310039850597813,-0.0366955006166758,-765.5563775596343,0.0,650.5554179787105,-0.0054429845838666,-150.9244962572968,0.6542435380165728,-4850.8978276686685,-1839.373667229876,0.0,0.0,0.2484722631766137,6.138947765242552,0.0,0.279086229288473,-0.0279370709302608,0.0301230550479251,-0.0342535756913371,0.000879343615697,-0.0015348237418578,-0.1182176736454858,6.560460175869354,-153.13102972848458,0.0,4985.875808317101,2.1501487588248165,0.5220526024226939,-0.1826046894170598,4564.056523222332,0.0021325912819522,1805.544771498246,8.483651203208533,-0.1000805627736864,-0.0014346121446303,0.3543864664453394,-0.0014245531875662,5128.541021804552,2.1512363072672884,-0.0103457096154083
0.0281767351793306,-0.0337873756323432,-660.1268273269003,0.0,536.7950396239582,-0.0035589708411631,-150.5490881998742,0.716111769316294,-4850.8980479936345,-1731.7059754618856,0.0,0.0,0.2611931380929175,6.2366452865702,0.0,0.2988762649471984,-0.0263653614069606,0.0284796292058915,-0.0342444355162739,0.0009446941106795,-0.0015121413082281,-0.1183875795830785,6.564970112295099,-152.70559823614445,0.0,5057.7790337009565,2.340024603926369,0.5149046231375369,-0.1515043825350324,4564.063403640622,0.0011016873643537,1696.9943862830871,8.799195998167612,-0.1060038769056195,-0.0014175010244842,0.3951733729098723,-0.0014686629502723,5207.824538060235,2.342133246451215,-0.0115296972463914
0.0254975991504322,-0.0311852578371565,-578.363893397009,0.0,448.9179367150215,-0.0016418029036382,-150.3473496327421,0.7789578423645543,-4850.898300284818,-1624.5576226380788,0.0,0.0,0.2685243093653744,6.335018787540461,0.0,0.3186364132284919,-0.0248168573923606,0.0268051234941326,-0.0342345610106148,0.0010251140714466,-0.0014914310670988,-0.117504128424297,6.51365957204589,-152.41643637545778,0.0,5131.538789608679,2.530648132384896,0.5076493777621529,-0.1154997840798561,4564.070907810149,1.8370984178445743e-05,1589.7495134426065,9.0714784791625,-0.1102536083926637,-0.0014037121254204,0.434778957922975,-0.0014937268909717,5285.730489019419,2.5338445760049626,-0.0127095590976207
0.0229281153297323,-0.0288243643680537,-514.6553133574879,0.0,380.5814395773757,0.0002847672732929,-150.2591517349325,0.8427732753179374,-4850.898585259612,-1518.905687429689,0.0,0.0,0.2705674534591429,6.431341005518133,0.0,0.338364698133992,-0.0232833715172012,0.0251352537432914,-0.0342237732233438,0.0011255405387306,-0.0014740719817338,-0.1156284894460298,6.421650093659155,-152.22057718099074,0.0,5205.031911445512,2.7221135307369977,0.5003223642251907,-0.0738603347250292,4564.079045449909,-0.0010972110309181,1484.7761106150097,9.309297890993337,-0.1127662526582374,-0.0013930017797733,0.4731461723373788,-0.0014995412746182,5361.13127031568,2.726465751617684,-0.0138750780170278
