roll,FxRR,rollrate,longslipRL,signal,FyFR,sideslipRR,y,slip,pitch,FyFL,FxFR,longslipRR,FL,vx,RR,gas,sideslipFL,az,signal,x,sideslipRL,FxRL,longslipFR,brake,longslipFL,yawrate,ax,slip1,sideslipFR,yaw,FxFL,FyRL,ay,pitchrate,vy,FR,FyRR,RL,steeringangel
-1.2512815238127624e-07,0.0466828417996954,-0.0001080008855989,2.808349639999672e-07,0.0,0.0,0.0,-4850.897164652041,0.0,-3.9218157213248485e-05,0.0,0.0466599402084196,2.808349639999672e-07,1e-05,0.0,1e-05,14.305555555555555,0.0,1.4877731725295662,0.0,4564.018298359632,0.0,0.0466828441670549,2.808349639999672e-07,0.0,2.808349639999672e-07,-3.1788466794528535e-07,-0.3431306652622903,0.0,0.0,-0.0342957201195726,0.0466599392730696,0.0,-0.1072571782351639,-2.3775753347224906e-08,0.0,1e-05,0.0,1e-05,0.0
-2.8295318894235186e-05,1547.781042113167,-0.0049169070171574,0.0125048836592421,0.0,6.898517053658372,-0.0007722126776018,-4850.897164546333,0.0,-7.268271119580988e-05,19.28668992787782,-45.75853934436751,0.0126572463008556,0.013959558540463,0.0084803266374004,1.0821492862600806,5.511582536864257,-0.0008659359744629,-0.0662153214831475,0.0599910004049913,4564.0183271195,-0.0002269429815789,1538.6319089146716,-0.0005803651418275,0.0,-0.0006030459982721,-2.501513631808599e-06,1.8496504524269235,0.0,-0.0002758141952947,-0.0342957798154886,-47.79490148057706,5.691584911514616,0.0512574097733815,-0.0071726992989191,0.0002429550595765,0.0135077235372194,17.234463926003237,1.0843085104833043,0.0
-9.870035038110624e-05,2188.904238464928,-0.0084076174639042,0.0151775112400291,0.0,22.3406198275947,-0.0035728718253729,-4850.8971641373855,0.0,-0.0002007637381622,141.68891405228186,-143.0097308411693,0.0155116229479329,0.0903487521819541,0.029948431608553,1.6178782327934649,2.253715250607147,-0.0038202869473151,-0.0529532694205198,0.1199280129588891,4564.018524940726,-0.0003460450087117,2160.194660847929,-0.0008115126330158,0.0,-0.0007883273147062,8.652054617366271e-05,2.5068722554189065,0.0,-0.000189873102941,-0.0342953813980694,-142.67254785076796,22.925147714078676,0.226238497566293,-0.0177176592202564,0.0013421038778943,0.0875826896486228,130.04028188356273,1.6597031312282764,0.0
-0.0001896500698494,2866.258436408024,-0.0094237940251302,0.0212438014522375,0.0,-105.17060895902068,-0.0060462942861637,-4850.897152129177,0.0,-0.0004456339924699,325.59850928723023,-133.7160448131883,0.021505028245282,0.1919924840802111,0.0585818407665621,2.22799165023222,1.041805129872139,-0.0061654399758784,-0.0621409015719837,0.179757098396022,4564.018975598172,0.0032844182443548,2852.7343781518143,-0.0009771130165446,0.0,-0.0009892976383768,9.938846600590508e-05,3.365574223914715,0.0,0.0045398710449359,-0.0342942282855102,-135.0452454907042,-66.09192863373893,0.3036920741805654,-0.0303478719267782,0.0040595536858499,0.1902302754082313,316.0594297066287,2.3213083074582053,0.0
-0.0002866980638043,3744.1500678876455,-0.0099506500859193,0.0308970556649192,0.0,-531.8102849033569,-0.0094161980973991,-4850.897125388209,0.0,-0.0008277346348515,545.8790099138855,-149.82744065263074,0.0307856301486781,0.3345697615946458,0.0969309451807668,2.73535706035784,0.5778564171615101,-0.010721294181053,-0.0225823723237304,0.2394244145778387,4564.019764711822,0.0120761709512499,3734.129249311012,-0.0009908694146799,0.0,-0.000978763904854,-0.0001271561229647,4.428743017206584,0.0,0.0134386327942562,-0.0342944658686536,-151.1695350606136,-459.4249215034895,0.0274864555250412,-0.0448171435070023,0.0060821970704514,0.3311452376343282,514.7396468149605,2.8399725055644685,0.0
-0.0003914646875174,4238.2914321459775,-0.0107331476217994,0.0402159755201956,0.0,-1064.386643174907,-0.0206585086337811,-4850.897107250394,0.0,-0.0013561092898531,1055.232619113395,-160.74882662205326,0.0394052069810692,0.500180232455182,0.144653733113484,2.865750675167276,0.3889875013085898,-0.022357459003994,0.0275057059832671,0.2988762649471985,4564.020992311074,0.0202991569235304,4274.785893325168,-0.0011538608999376,0.0,-0.0011428159657122,-8.998133841974324e-05,5.054838851318179,0.0,0.0214203020719312,-0.0342957542647388,-160.73361152060855,-1030.1219255537578,-0.0145371677850137,-0.059199016102745,0.0058217173188767,0.4969573412310099,983.0024404204236,2.9788648751441493,0.0
-0.0004940442014141,4270.884495350855,-0.0097544928583216,0.0473223932493024,0.0,-1682.8398620503208,-0.0316310572247816,-4850.897109256712,0.0,-0.0020166949432054,1673.8924039988765,-151.0878280342729,0.0481492227856283,0.674556136647539,0.1959719210161233,2.9896138472844065,0.3108315947291879,-0.0312859576046464,0.0576782593644452,0.3580591468516483,4564.022721432983,0.0329346322958948,4313.810415832406,-0.0013089249341751,0.0,-0.0012691858440216,-2.2589003494310205e-05,5.118144906815257,0.0,0.0338987370428201,-0.0342963139961179,-155.17044870546584,-1725.472522630835,-0.0511398295045262,-0.0711701053637866,0.0056666805198185,0.6708422413756701,1676.0979832276375,2.9706125341843475,0.0
-0.0005874040846881,4176.987138659145,-0.009000471153628,0.0554491671058616,0.0,-2075.054780291308,-0.0404741429335172,-4850.897133183264,0.0,-0.0027772403573409,2023.2058856983224,-152.47983476767635,0.0576652239017197,0.8440670259856271,0.246828933017925,3.171188427259706,0.2803983271809772,-0.0318051790106459,0.0560478477045047,0.4169197996921991,4564.024962582443,0.0402352239640231,4213.563171027652,-0.0013643970584327,0.0,-0.0012865353713015,5.708539004183454e-05,5.026321349550347,0.0,0.0328426709286461,-0.0342960239698164,-150.9099836716354,-2417.088769523422,-0.0857684768441676,-0.0795182550075936,0.0049077711361585,0.8398694367739881,2333.912880264437,3.0894304012601723,0.0
-0.0006708354390856,4353.325094672452,-0.0077244937324252,0.0594338774845988,0.0,-2100.3436892709374,-0.0383343658056953,-4850.897182671266,0.0,-0.0036058763853998,2077.786481223023,-145.03364889933067,0.0656168208214335,1.008490765798564,0.2984107763579213,3.292911911730703,0.2656273135177321,-0.0311573135464613,0.0320156131714788,0.4754052528542691,4564.027712303986,0.0374253716226415,4442.842593628127,-0.0013930405745702,0.0,-0.0013521745480592,0.000126649383565,5.303107446218012,0.0,0.0326614662028541,-0.0342950833585174,-148.4775797970896,-2623.184561993471,-0.0762176083830562,-0.0853544199865763,0.0041718502881192,1.0058567596601045,2540.1176825247894,3.067965662811425,0.0
-0.000741324676296,4490.430888288276,-0.0065611616108841,0.0557052257800724,0.0,-2094.734394524681,-0.0386046395712167,-4850.897258022803,0.0,-0.0044845946964152,2061.9033195356674,-149.02274605785482,0.0688532112246792,1.1792616715028224,0.3524647845967321,3.268392940267663,0.2534601985252018,-0.0312613103042057,0.0144091000037321,0.5334628733776623,4564.030991619697,0.0357998085764144,4599.308502034009,-0.0014226932599693,0.0,-0.0013511539006777,0.0002848225862227,5.491146002837883,0.0,0.032757233273377,-0.034293026220691,-149.16063422348967,-2690.1111892174117,-0.1044231649407926,-0.0897291377799821,0.0032888113348165,1.176816836764001,2565.4965630187057,2.8402964578008976,0.0
-0.0008010452604138,4545.336844860448,-0.005455415876713,0.0469075694006068,0.0,-2051.508737556449,-0.0392064192155981,-4850.89736205284,0.0,-0.0053998583782268,2028.955424253416,-147.9570785178918,0.0699848625092091,1.3515460522705156,0.4078401278089614,3.226586244132315,0.2440888444680544,-0.0307404049196336,0.0197939602265252,0.5910404133226792,4564.034819116102,0.0332278353899498,4638.3628911038895,-0.0014285048567612,0.0,-0.0013661496221167,0.0005333151086056,5.554280009680707,0.0,0.032087098331452,-0.0342889112956398,-149.2442402716221,-2724.395513659505,-0.1010525368619427,-0.0927981974491994,0.0022751737491919,1.350686103822887,2597.295109578512,2.560786695169513,0.0
-0.0008481506427615,4593.052033069445,-0.0040439597777947,0.0389201436917328,0.0,-1998.0736644363528,-0.0383656216307361,-4850.897494850614,0.0,-0.0063383094438961,1952.7450131412925,-146.6186848467175,0.0676868818768486,1.523442317794936,0.4633786466679323,3.141692524143013,0.2377082948473587,-0.0290682086086386,0.0312240974850321,0.6480860567897367,4564.039201406484,0.0299876758071171,4546.209004405716,-0.0014214703175077,0.0,-0.001338607085367,0.0008988879854354,5.533022765886022,0.0,0.0314945255491006,-0.0342815706781351,-147.1456079258408,-2699.7139314404526,-0.0715937332619305,-0.0944880183475775,0.0013465973115625,1.5244498723364177,2623.363630824422,2.402131071914967,0.0
-0.0008785283225089,4692.303460885123,-0.0021304973714728,0.0360535154537973,0.0,-1935.7148264059765,-0.0349330809792695,-4850.897654608498,0.0,-0.0072861792077889,1838.614416230894,-144.8842409082925,0.0576568825415028,1.6950379465646668,0.5188518795139436,2.914982580838927,0.2328624628056004,-0.0269609075789549,0.0362103919882146,0.7045484665501799,4564.044137715979,0.027905320211278,4496.380885777512,-0.0013832508068769,0.0,-0.0012897926213269,0.0010193769466868,5.570958607180113,0.0,0.0305281980770203,-0.0342715687125932,-146.246126500924,-2610.887166088804,-0.0300318429689952,-0.0948555348241665,0.0006852934177823,1.6975554370957682,2646.762442125943,2.4157882148243344,0.0
-0.000887360566866,4651.899170166878,0.0001418710786092,0.0351571537111061,0.0,-1851.1092817335532,-0.0292133326994264,-4850.8978383210615,0.0,-0.0082317155965257,1714.8625466288702,-143.48332615429365,0.038999012242576,1.8664639597670292,0.5747962563264614,2.570333138691152,0.2275978878384771,-0.0252940386118225,0.062957680075228,0.7603768302463229,4564.04963104984,0.0275701163577062,4510.954106997342,-0.0013395704621421,0.0,-0.0012648231303128,0.0005996777230285,5.556728151042323,0.0,0.0287982276333037,-0.0342631570232538,-146.1595601437334,-2546.4879560608683,-0.0318471540821415,-0.0941383736678442,0.0002985882804637,1.8685441911456404,2634.015027484733,2.487223697800571,0.0
-0.000875712644096,4365.081781415068,0.0018464078450315,0.030949740564001,0.0,-1721.0995945656252,-0.0244241056140001,-4850.898045698945,0.0,-0.0091629811486565,1623.1899156231757,-137.1446685149177,0.0300209142445517,2.032845522768314,0.6293726663264597,2.493275495744109,0.2253201128325509,-0.0246147965231808,0.0794986686130676,0.8155209061191404,4564.055677979861,0.0264880154855374,4384.845867627961,-0.0012368225329352,0.0,-0.0011918545509276,6.093192034242394e-06,5.31041989690445,0.0,0.0259113726989959,-0.0342608415105708,-139.5809361814429,-2526.498119012191,-0.1292780488354723,-0.0920695794447408,-0.0003470927997419,2.032810076150136,2479.445513149651,2.5121351961939142,0.0
-0.0008511823036186,4270.106832069163,0.0029625369838256,0.0277910297569242,0.0,-1577.6596744810638,-0.0228247297985879,-4850.898280243241,0.0,-0.0100657423488976,1535.827174902449,-134.63021137436752,0.0284053944542201,2.1879553856526845,0.6819410534437944,2.5780053265138143,0.2253959395116848,-0.0229508002489789,0.0765341542181474,0.8699310682224604,4564.062257838361,0.0228094708652402,4276.756515189425,-0.0012009708043933,0.0,-0.0011650072351059,0.0001300139517238,5.193429614681567,0.0,0.0238678253400047,-0.0342604588186457,-135.35358054955248,-2392.543565680774,-0.0778776524807735,-0.0886353747728467,-0.0013366979159405,2.1885111708188103,2306.0925565169337,2.5716515846203767,0.0
-0.0008138315610394,4166.8955978281565,0.0044022305592587,0.0252584159046264,0.0,-1462.1956998596074,-0.0205600386641905,-4850.898540913377,0.0,-0.0109281122437468,1416.194355794066,-131.01155202017796,0.0260162651925278,2.337526247644184,0.733364816424942,2.6576625460376446,0.2249181200879657,-0.0207065737137492,0.0801210839716428,0.9235583510829656,4564.069356589157,0.0202568116450118,4156.97868454219,-0.0011501273785891,0.0,-0.0011154304492085,0.0002242538521993,5.0617411074960525,0.0,0.0223450102505203,-0.0342584281476662,-131.97859881944797,-2184.4598364832477,-0.0487808594340331,-0.0841180406152954,-0.0020063264503738,2.3390646936415465,2152.506629727897,2.6511435057493893,0.0
-0.0007623480783621,4064.166680316129,0.0056973193767559,0.0237448677375285,0.0,-1348.9913147902996,-0.0179253830767333,-4850.898824775312,0.0,-0.0117398671727163,1293.0228561031286,-128.1256934681827,0.0241225080027231,2.4813995729456795,0.7834984033506287,2.751013332496986,0.2245377154729141,-0.0189460396916323,0.0812104143409166,0.9763544937658152,4564.076961790901,0.0182932256465043,4059.978173547832,-0.0011099228065126,0.0,-0.0010819334396389,0.0001539503402005,4.943783152452213,0.0,0.0202567806856238,-0.0342565741562758,-129.15125803115745,-1995.7175679919528,-0.0693270872106953,-0.0786364846494852,-0.0025884025964236,2.4832039124829457,1955.757910236134,2.7524742930798567,0.0
