vx,longslipFL,longslipFR,signal,x,ax,pitchrate,sideslipFR,sideslipRR,RR,slip1,FyFR,brake,FxRL,FyRL,FxRR,ay,roll,pitch,FxFL,az,sideslipRL,FxFR,RL,rollrate,steeringangel,yaw,vy,signal,sideslipFL,longslipRR,yawrate,gas,y,FL,longslipRL,slip,FyRR,FR,FyFL
0.0,2.808349639999672e-07,2.808349639999672e-07,0.0,4564.018298359632,-0.3431306652622903,-2.3775753347224906e-08,0.0,0.0,1e-05,0.0,0.0,0.0,0.0466828441670549,0.0,0.0466828417996954,-0.1072571782351639,-1.2512815238127624e-07,-3.9218157213248485e-05,0.0466599392730696,1.4877731725295662,0.0,0.0466599402084196,1e-05,-0.0001080008855989,0.0,-0.0342957201195726,0.0,0.0,0.0,2.808349639999672e-07,-3.1788466794528535e-07,28.61111111111111,-4850.897164652041,1e-05,2.808349639999672e-07,0.0,0.0,1e-05,0.0
0.0084803266374004,-0.0006030459982721,-0.0005803651418275,0.2399640016199652,4564.0183271195,1.8496504524269235,-0.0071726992989191,-0.0002758141952947,-0.0007722126776018,1.0821492862600806,0.0,6.898517053658372,0.0,1538.6319089146716,5.691584911514616,1547.781042113167,0.0512574097733815,-2.8295318894235186e-05,-7.268271119580988e-05,-47.79490148057706,-0.0662153214831475,-0.0002269429815789,-45.75853934436751,1.0843085104833043,-0.0049169070171574,0.0,-0.0342957798154886,0.0002429550595765,0.0,-0.0008659359744629,0.0126572463008556,-2.501513631808599e-06,11.037685901995946,-4850.897164546333,0.013959558540463,0.0125048836592421,0.0,17.234463926003237,0.0135077235372194,19.28668992787782
0.029948431608553,-0.0007883273147062,-0.0008115126330158,0.4797120518355567,4564.018524940726,2.5068722554189065,-0.0177176592202564,-0.000189873102941,-0.0035728718253729,1.6178782327934649,0.0,22.3406198275947,0.0,2160.194660847929,22.925147714078676,2188.904238464928,0.226238497566293,-9.870035038110624e-05,-0.0002007637381622,-142.67254785076796,-0.0529532694205198,-0.0003460450087117,-143.0097308411693,1.6597031312282764,-0.0084076174639042,0.0,-0.0342953813980694,0.0013421038778943,0.0,-0.0038202869473151,0.0155116229479329,8.652054617366271e-05,4.550038640783461,-4850.8971641373855,0.0903487521819541,0.0151775112400291,0.0,130.04028188356273,0.0875826896486228,141.68891405228186
0.0585818407665621,-0.0009892976383768,-0.0009771130165446,0.7190283935840883,4564.018975598172,3.365574223914715,-0.0303478719267782,0.0045398710449359,-0.0060462942861637,2.22799165023222,0.0,-105.17060895902068,0.0,2852.7343781518143,-66.09192863373893,2866.258436408024,0.3036920741805654,-0.0001896500698494,-0.0004456339924699,-135.0452454907042,-0.0621409015719837,0.0032844182443548,-133.7160448131883,2.3213083074582053,-0.0094237940251302,0.0,-0.0342942282855102,0.0040595536858499,0.0,-0.0061654399758784,0.021505028245282,9.938846600590508e-05,2.149958863850242,-4850.897152129177,0.1919924840802111,0.0212438014522375,0.0,316.0594297066287,0.1902302754082313,325.59850928723023
0.0969583089040398,-0.000990561343961,-0.0009944288494215,0.9576976583113548,4564.019764776292,4.45499847458934,-0.0450726348741584,0.0126884860808265,-0.0102461527971049,2.81166106631985,0.0,-515.9087609877957,0.0,3755.628312343691,-444.1584232271037,3757.2159839564847,0.0762114284338026,-0.0002914964417351,-0.000828483721826,-151.66794221286358,-0.0571598930855985,0.0113929374904914,-150.21951475229534,2.9138070389199364,-0.0111916400883152,0.0,-0.0342944842242507,0.0061987708933125,0.0,-0.011639642195456,0.0315159869383478,-0.0001333848364594,1.2488708200979688,-4850.8971250859295,0.3347454140030965,0.0314722210419008,0.0,531.9159332351235,0.3312386550137135,564.7974085227373
0.1452858379350361,-0.0012010390708071,-0.0011799821264279,1.195505059788794,4564.02099535637,5.1771633517541655,-0.0609570761663828,0.021444123885024,-0.0221051854661572,3.403262325175763,0.0,-1028.0339068923834,0.0,4392.76054140308,-981.4667956376728,4324.51624608081,0.1315388389204494,-0.0004189032466366,-0.001366484019769,-163.85721808339295,-0.0051466643477735,0.0203322553342891,-163.47614139625531,3.4606692565441173,-0.0136919351189203,0.0,-0.0342960872757087,0.0069950791965576,0.0,-0.0241228334971465,0.0467153979648707,-0.0001428369331682,0.8982054029291195,-4850.897100993288,0.5034964942044569,0.0463015100668931,0.0,1038.903789663617,0.5000687008405579,1138.311584409519
0.1981961953409183,-0.0013537363560331,-0.0014263154803774,1.4322365874065934,4564.022739513064,5.289456771430332,-0.0754330550059561,0.0366530121814729,-0.0345737947603808,4.256328259453742,0.0,-1745.0991533134593,0.0,4472.418390467437,-1644.6094583439876,4409.300933537993,0.0087432411352877,-0.0005583769325177,-0.0020580048460959,-159.2302724537182,0.0306638697541604,0.0352646094025115,-154.85798433586368,4.157999471340729,-0.0141496341147816,0.0,-0.0342969440599885,0.0078726152329555,0.0,-0.0337926601336476,0.071203093080832,-3.821819067969876e-05,0.7587568027458399,-4850.897085230942,0.6863404211666281,0.0680500041735552,0.0,1628.482825116211,0.6804206558450336,1776.5577337282891
0.2506233342473819,-0.0014001916203895,-0.0014236249360763,1.6676791987687969,4564.025012438425,5.195570207419947,-0.0865793921672377,0.0341846795822355,-0.0458137606712132,5.327847296202337,0.0,-2131.3432646107635,0.0,4381.527636232963,-2058.2322788694346,4299.931853785508,-0.0390218901080629,-0.0007036980618844,-0.0028762660022976,-155.4166585181633,-0.026866747229203,0.0439372230219106,-156.63158298360847,5.072480135250983,-0.0147536752270872,0.0,-0.0342969344629907,0.0076544662026166,0.0,-0.0345149593288569,0.1063987129806631,6.158535821087616e-05,0.7057423730634971,-4850.897085279425,0.8649082417422195,0.0988720171561836,0.0,1985.542087117458,0.8607659466288113,2152.8667666835445
0.3038662116540255,-0.001459057615749,-0.0015370333834798,1.9016210114170768,4564.027810333211,5.471090870705977,-0.0955178412718141,0.0354442533886266,-0.0474437142343211,6.328902185539264,0.0,-2184.5460531572835,0.0,4595.021289626769,-1913.381520823537,4489.907382336999,-0.0268613198320135,-0.0008510410616263,-0.0037924313329536,-152.65050004450453,-0.1127586159684054,0.0427417745736452,-148.9651587923396,5.8776284548804085,-0.0146532211598599,0.0,-0.034294556221996,0.0073974385965151,0.0,-0.0337338252807853,0.147058304369387,0.0003706782748485,0.6824348882745072,-4850.897106132803,1.0396404178740777,0.1325412987510721,0.0,1838.076751416845,1.0354027918649138,2209.06003716701
0.3596457571950621,-0.0014990906398094,-0.0015847385795919,2.133851493510649,4564.031154833392,5.675741799744487,-0.1031847600365273,0.0363889285647431,-0.0495495088693704,7.118776415650279,0.0,-2209.763773572751,0.0,4760.837713459,-1621.4995118917009,4647.358279770207,-0.0488783823279415,-0.0009960236003147,-0.0047907757562576,-154.23654505997084,-0.1780860803248529,0.0437329467615221,-152.52273891062117,6.433964651152958,-0.0143370033759979,0.0,-0.034289976813994,0.0069622538973903,0.0,-0.0344058606239685,0.1883258078578041,0.0005011012371957,0.6669398885962085,-4850.8971491186885,1.220627832355929,0.1642658350086818,0.0,1547.5421616550152,1.2168150890768852,2203.1633137994845
