longslipRR,signal,FyFL,FyFR,slip1,y,x,longslipFR,RL,FxFR,FyRR,sideslipFL,ay,longslipFL,ax,sideslipRR,sideslipFR,gas,slip,az,vx,RR,steeringangel,FyRL,rollrate,vy,FxRR,FxRL,pitchrate,FR,FL,signal,yaw,FxFL,pitch,yawrate,longslipRL,brake,roll,sideslipRL
2.808349639999672e-07,0.0,0.0,0.0,0.0,-4850.897164652041,4564.018298359632,2.808349639999672e-07,1e-05,0.0466599402084196,0.0,0.0,-0.1072571782351639,2.808349639999672e-07,-0.3431306652622903,0.0,0.0,17.881944444444446,0.0,1.4877731725295662,0.0,1e-05,0.0,0.0,-0.0001080008855989,0.0,0.0466828417996954,0.0466828441670549,-2.3775753347224906e-08,1e-05,1e-05,0.0,-0.0342957201195726,0.0466599392730696,-3.9218157213248485e-05,-3.1788466794528535e-07,2.808349639999672e-07,0.0,-1.2512815238127624e-07,0.0
0.0126572463008556,0.0,19.28668992787782,6.898517053658372,0.0,-4850.897164546333,4564.0183271195,-0.0005803651418275,1.0843085104833043,-45.75853934436751,17.234463926003237,-0.0008659359744629,0.0512574097733815,-0.0006030459982721,1.8496504524269235,-0.0007722126776018,-0.0002758141952947,6.893108378077063,0.0,-0.0662153214831475,0.0084803266374004,1.0821492862600806,0.0,5.691584911514616,-0.0049169070171574,0.0002429550595765,1547.781042113167,1538.6319089146716,-0.0071726992989191,0.0135077235372194,0.013959558540463,0.0199996666683333,-0.0342957798154886,-47.79490148057706,-7.268271119580988e-05,-2.501513631808599e-06,0.0125048836592421,0.0,-2.8295318894235186e-05,-0.0002269429815789
0.0155116229479329,0.0,141.68891405228186,22.3406198275947,0.0,-4850.8971641373855,4564.018524940726,-0.0008115126330158,1.6597031312282764,-143.0097308411693,130.04028188356273,-0.0038202869473151,0.226238497566293,-0.0007883273147062,2.5068722554189065,-0.0035728718253729,-0.000189873102941,2.827796098125428,0.0,-0.0529532694205198,0.029948431608553,1.6178782327934649,0.0,22.925147714078676,-0.0084076174639042,0.0013421038778943,2188.904238464928,2160.194660847929,-0.0177176592202564,0.0875826896486228,0.0903487521819541,0.0399973333866661,-0.0342953813980694,-142.67254785076796,-0.0002007637381622,8.652054617366271e-05,0.0151775112400291,0.0,-9.870035038110624e-05,-0.0003460450087117
0.021505028245282,0.0,325.59850928723023,-105.17060895902068,0.0,-4850.897152129177,4564.018975598172,-0.0009771130165446,2.3213083074582053,-133.7160448131883,316.0594297066287,-0.0061654399758784,0.3036920741805654,-0.0009892976383768,3.365574223914715,-0.0060462942861637,0.0045398710449359,1.318843563357175,0.0,-0.0621409015719837,0.0585818407665621,2.22799165023222,0.0,-66.09192863373893,-0.0094237940251302,0.0040595536858499,2866.258436408024,2852.7343781518143,-0.0303478719267782,0.1902302754082313,0.1919924840802111,0.0599910004049913,-0.0342942282855102,-135.0452454907042,-0.0004456339924699,9.938846600590508e-05,0.0212438014522375,0.0,-0.0001896500698494,0.0032844182443548
0.0313727188634734,0.0,561.1818485748834,-519.1555627498512,0.0,-4850.897125116358,4564.019764773972,-0.0009945298415308,2.8995449255018606,-150.17896496418996,528.6111851371196,-0.0113591847820563,0.0745265102260067,-0.0009878178403816,4.448311970752907,-0.0099916849042346,0.0129409253281787,0.7455834938470991,0.0,-0.0368283221478734,0.0969572441704344,2.797116455521747,0.0,-447.22519762523314,-0.0107616553063725,0.0061814498074644,3755.945514431152,3752.1654024531103,-0.0450209882307372,0.3312348650291082,0.3347360258252048,0.0799786683732683,-0.0342944804297905,-151.6003368492619,-0.0008283837225108,-0.0001315330488066,0.0313669654645053,0.0,-0.0002904935934713,0.0116187943477184
0.0428165131503575,0.0,1082.682254678016,-1063.674606696087,0.0,-4850.8971034313545,4564.020994637624,-0.0011734189338503,3.213743320906501,-162.10111813696167,999.6332701312832,-0.022600127688751,0.0137170742950593,-0.0011627006267104,5.128497411170493,-0.0208808414093436,0.0220941657861137,0.5158083791784259,0.0,0.0210970156994636,0.1451099784665042,3.116967851766735,0.0,-1020.268184098712,-0.0117650081020554,0.0064097477137972,4303.973251445716,4333.440755414991,-0.0600838489401101,0.498904936747293,0.5025106479325748,0.0999583385413566,-0.0342958813819349,-162.52026344231513,-0.0013622910042373,-9.993888588489354e-05,0.0432298014075718,0.0,-0.0004048197562549,0.0208448715301204
0.0561980182035473,0.0,1713.0517417044605,-1718.3785008809905,0.0,-4850.897098854512,4564.022733356619,-0.0013593840388617,3.41877150088303,-153.39659989913844,1667.7705355526994,-0.0326132638884148,-0.0323830648474427,-0.0013149034502351,5.242896476285592,-0.0330565886518726,0.0347726159726763,0.4216704330128521,0.0,0.0471566504290566,0.1973856299084977,3.431041126648274,0.0,-1705.7344524780283,-0.0112714226442219,0.0063937108030407,4370.597530644909,4422.299539756335,-0.072921593800422,0.6763538913078737,0.6805650508701301,0.1199280129588891,-0.0342964322999714,-156.80726719787236,-0.0020363926579172,-3.1063907069177416e-05,0.0552195364752625,0.0,-0.0005203234882915,0.0337752257865446
0.0728813407134896,0.0,2068.660619514821,-2098.400255628449,0.0,-4850.897115260277,4564.024995358698,-0.0013852237682256,3.725276488568368,-154.16602982298153,2230.331178758151,-0.0324530833647125,-0.0809167795567759,-0.0013144782458413,5.126278638934604,-0.0417837150414452,0.0334717433315499,0.3850217803537313,0.0,0.0343618976043716,0.2493629927515989,3.842804698193128,0.0,-2320.3180978628225,-0.0107277006447012,0.0058143075567128,4255.307884679054,4303.942875253243,-0.082180597573471,0.8512138595232144,0.8557196785097938,0.1398856946750655,-0.0342964138545461,-153.6584904585684,-0.0028194635734309,5.094577957415124e-05,0.0695199947420759,0.0,-0.0006300557097402,0.0417295429717431
0.0899167173924752,0.0,2117.482921229644,-2131.7406922752057,0.0,-4850.897156451447,4564.027775737589,-0.0014386117777793,3.914178342768198,-146.75509500367968,2306.679539468129,-0.0320501642020913,-0.06666408531638,-0.0013913453929466,5.365816174227774,-0.0412284689529147,0.033488044384854,0.3683505748918981,0.0,-0.0129111252030991,0.3017990355498758,4.1991374112842985,0.0,-2393.2220209114807,-0.0097855764623105,0.0051165458591376,4393.111473055474,4510.229427989207,-0.0889222515663791,1.0208813261857408,1.0238637369943868,0.1598293879383454,-0.0342949962030224,-149.72685621099373,-0.0036797174788067,0.0001931060226723,0.0816486064685573,0.0,-0.000732544049847,0.0389324547240626
0.1052789839983526,0.0,2112.481225445825,-2124.421769035401,0.0,-4850.897223268141,4564.03109197915,-0.0014583791414593,3.878853312514778,-149.35719403709504,2180.380951186701,-0.032428180455798,-0.1079580172697677,-0.0013899188503927,5.526784778073525,-0.0423648364280852,0.0336964785154236,0.3561703317273392,0.0,-0.0555208788474311,0.3562921332648794,4.447726110609687,0.0,-2321.7508152311684,-0.0088885596704034,0.004299967580203,4506.103472424356,4645.31739883702,-0.094208256805823,1.1949929181894647,1.197685213769054,0.179757098396022,-0.0342923487325788,-150.08844618223125,-0.0045990635937731,0.0003630534880879,0.0871831790122518,0.0,-0.0008252073038688,0.0382191924519167
