longslipFL,rollrate,slip,vx,FyRR,sideslipRL,ay,x,roll,FyFL,signal,longslipRR,pitch,FxRR,FyFR,ax,FxRL,FL,RR,y,vy,RL,yawrate,slip1,sideslipFR,FxFR,sideslipRR,brake,pitchrate,signal,yaw,FR,gas,sideslipFL,longslipRL,longslipFR,FyRL,FxFL,az,steeringangel
-0.0015987610740274,-0.0179481374572608,0.0,0.4181500095421108,1097.7704786823554,0.0464434120482852,-0.0128047534720533,4564.035084867618,-0.0012542113886969,2254.8683167405384,0.0,0.3006795235897572,-0.0059763720138589,4761.852025437248,-2235.263341111661,5.827002144507197,4891.751090595472,1.417233924025024,9.718432300026612,-4850.897166732383,0.0085877010948783,8.64261677493989,0.0005095318322639,0.0,0.0375618638561624,-153.18873813324177,-0.0522639385965617,0.0,-0.1152696394412529,0.935562163387038,-0.0342838619276924,1.4124839550313093,0.9677251486016782,-0.0360225888721794,0.2572797588387641,-0.0016867066697443,-1138.0652426900008,-155.96401220517876,-0.2479784921882331,0.0
-0.0016056075121072,-0.0172826794107213,0.0,0.4768826641048814,859.9007428765889,0.04488037602564,-0.0261346197584436,4564.03958979806,-0.0014304246907359,2209.652709949388,0.0,0.3739074604560308,-0.0071639560984388,4817.985848897063,-2194.151968862645,5.90970449132838,4960.5891459825,1.608654351441394,10.764990437981536,-4850.897236454934,0.0083839088984565,9.402045607807173,0.0005219474577174,0.0,0.0370742032532329,-154.28138938878354,-0.0495666885050115,0.0,-0.1213735863380005,1.0264004096510335,-0.0342787207706025,1.6038005191938218,0.95885725118884,-0.0350146524274231,0.3139093893451872,-0.0017198528688674,-916.6542197448156,-157.17414190769682,-0.2686291674715185,0.0
-0.0015654973798019,-0.0162275016654243,0.0,0.5364379877562403,666.9098814223411,0.042179665219273,-0.0431628103349876,4564.044686464731,-0.001597698813213,2126.944738273603,0.0,0.4544675823186986,-0.0084038620481476,4872.07859658432,-2124.878840764469,5.99640965952865,5032.946092508719,1.8012398203695554,11.735682787990294,-4850.897329441599,0.0080141170530678,10.052195395132962,0.0005152930919817,0.0,0.0360373832504178,-151.83162059512077,-0.0457390338451763,0.0,-0.1258818792009543,1.116351119881859,-0.0342734934950951,1.7968113192658073,0.9513872093992432,-0.0335248129274985,0.3733939357589431,-0.0016907794069667,-736.191164313174,-154.9516050609388,-0.2662689751487513,0.0
-0.0015342830950011,-0.0148610502370685,0.0,0.5968906158480713,516.239409260976,0.0392916804960258,-0.0559284776728081,4564.05038350406,-0.0017527354927945,2025.7776786716547,0.0,0.5394462447597225,-0.0096800375086121,4934.188460386107,-2032.9308110233003,6.09279878757746,5114.642186616239,1.9932242678525944,12.612119799094916,-4850.897447665664,0.0074895543197914,10.56746624280132,0.0004524637869934,0.0,0.0345922926898741,-150.95206765664938,-0.0415762780451593,0.0,-0.1288212929385613,1.2053154444739722,-0.0342686434590461,1.9890048496199293,0.9442661786894172,-0.0319437544421679,0.4323489965309072,-0.0016687472754385,-594.2624038320308,-154.2844354471999,-0.2548711659229707,0.0
-0.0015116076402607,-0.0131548439011236,0.0,0.6583337536882798,401.4668429149649,0.036696043514122,-0.0659700767473945,4564.056690400453,-0.0018922346780551,1916.4696459270008,0.0,0.629351149721799,-0.010977968283271,5004.870023900652,-1929.7316835319195,6.197152104905053,5203.06030878241,2.1853344215905315,13.43933103516981,-4850.897592735941,0.0068565210147241,10.993460429727111,0.000346118429502,0.0,0.0330586375768694,-150.17064133996655,-0.0374945789939816,0.0,-0.1303914274955812,1.2931946825454308,-0.0342646715873297,2.1812003807566724,0.9370689525267976,-0.0302662904207891,0.4904041584189972,-0.0016514546048347,-486.8353062277488,-153.83326027672038,-0.2267215686014261,0.0
-0.0014884926035753,-0.0111486202924141,0.0,0.7208350872312947,314.5367250910566,0.0344181434292978,-0.0760821371448495,4564.063617465967,-0.0020129721696106,1803.1336846279376,0.0,0.7241975157323849,-0.012284527389421,5081.163195125215,-1823.5281754842808,6.306018888523459,5293.948591751994,2.378151607044616,14.23061034422834,-4850.897766005122,0.0061267029189444,11.348800645898285,0.0001985608807385,0.0,0.0314496506470564,-149.59768365453584,-0.0336506478231893,0.0,-0.1306856618152962,1.3798903954081716,-0.034261987988885,2.3740363204660606,0.929678272740302,-0.028563903904029,0.5472350481593251,-0.0016282780814457,-406.4314226402134,-153.44539542312273,-0.1874697837192893,0.0
-0.0014678556828943,-0.0088922658522419,0.0,0.7844268805509386,248.349344932496,0.0323521230246697,-0.0841847646883326,4564.071175462923,-0.0021122386404,1690.1123219176334,0.0,0.8237196337543309,-0.0135872917042672,5160.409177947573,-1715.8950633416346,6.41630136339156,5384.608933699748,2.5718547830602025,14.98851361124378,-4850.89796877866,0.0053096476491096,11.643316523157209,1.5496194259426574e-05,0.0,0.0297565017991954,-149.265213397235,-0.0300486676853471,0.0,-0.1297634242447476,1.4653045215288636,-0.0342609843039712,2.5676537171284477,0.922109291267296,-0.0268717222867786,0.6024026218656977,-0.0016052808076141,-345.5792510982381,-153.21926311084678,-0.1406509913361479,0.0
-0.0014510502459271,-0.0064309933481868,0.0,0.8491099477676372,197.23233744528528,0.0304038261491827,-0.0903938993256829,4564.079375278766,-0.0021877713398609,1578.4984733696765,0.0,0.9276648356068168,-0.0148744115121167,5239.506897394807,-1608.470447048435,6.524744075856822,5472.719086623904,2.7665336973972057,15.71410154064811,-4850.898202189453,0.004426267955003,11.8836042345987,-0.0001956640297831,0.0,0.0280172322935158,-149.06703549882613,-0.0266360815007545,0.0,-0.1276822257226517,1.5493394928626347,-0.0342619690962126,2.762181940720597,0.9144205038925436,-0.0251887513285344,0.6554427362454296,-0.0015827357074338,-298.35609045539525,-153.06929218403366,-0.088734610116254,0.0
-0.0014380196783346,-0.003816734848514,0.0,0.914856060608709,157.84773131805923,0.0285112457712637,-0.0935717364894706,4564.088227614672,-0.0022378105240295,1469.3443162634935,0.0,1.0357453038414297,-0.0161346260559519,5316.963431949423,-1502.1923859797107,6.629315149838275,5556.42453824089,2.9622220930682355,16.407905894577734,-4850.898467168741,0.0034959844442666,12.075763216962384,-0.000430737088146,0.0,0.026245954475803,-148.9482816443844,-0.0233731366517118,0.0,-0.1245028953306148,1.631898352437603,-0.0342651990339073,2.957650239881274,0.9066839913498236,-0.0235211804792534,0.7059390403952127,-0.0015613221567112,-260.5566469849895,-152.99371391901892,-0.0340030557951035,0.0
-0.001428857858412,-0.001089199690231,0.0,0.9816230186807082,131.81095070779145,0.0266935805655176,-0.0925709618243458,4564.097742780299,-0.0022610417612901,1362.838486493336,0.0,1.14800130343355,-0.017357378148731,5392.91001826628,-1398.0499403511456,6.729667808266492,5634.9396957209465,3.158974007984804,17.07496717999548,-4850.89876436853,0.0025550683209719,12.231300105743204,-0.0007027428594352,0.0,0.0244623765769327,-148.94223022541988,-0.0201936455384659,0.0,-0.1203112734819123,1.7128848730638475,-0.0342709640008082,3.1540370044002883,0.8989523386673954,-0.0218805857708315,0.7539955103788267,-0.00154227181166,-229.47808183657384,-153.01640424179632,0.0207721473989387,0.0
