RL,signal,ax,gas,FxRL,longslipFR,FyRR,steeringangel,slip1,FR,x,sideslipFR,pitchrate,az,brake,RR,FL,FxFR,yawrate,sideslipFL,y,vx,slip,sideslipRL,sideslipRR,FyFL,rollrate,longslipFL,ay,longslipRR,vy,yaw,pitch,longslipRL,FxRR,FyRL,FxFL,signal,roll,FyFR
1e-05,0.0,-0.3431306652622903,39.340277777777786,0.0466828441670549,2.808349639999672e-07,0.0,0.0,0.0,1e-05,4564.018298359632,0.0,-2.3775753347224906e-08,1.4877731725295662,0.0,1e-05,1e-05,0.0466599402084196,-3.1788466794528535e-07,0.0,-4850.897164652041,0.0,0.0,0.0,0.0,0.0,-0.0001080008855989,2.808349639999672e-07,-0.1072571782351639,2.808349639999672e-07,0.0,-0.0342957201195726,-3.9218157213248485e-05,2.808349639999672e-07,0.0466828417996954,0.0,0.0466599392730696,0.0,-1.2512815238127624e-07,0.0
1.0843085104833043,0.0,1.8496504524269235,15.182263426219505,1538.6319089146716,-0.0005803651418275,17.234463926003237,0.0,0.0,0.0135077235372194,4564.0183271195,-0.0002758141952947,-0.0071726992989191,-0.0662153214831475,0.0,1.0821492862600806,0.013959558540463,-45.75853934436751,-2.501513631808599e-06,-0.0008659359744629,-4850.897164546333,0.0084803266374004,0.0,-0.0002269429815789,-0.0007722126776018,19.28668992787782,-0.0049169070171574,-0.0006030459982721,0.0512574097733815,0.0126572463008556,0.0002429550595765,-0.0342957798154886,-7.268271119580988e-05,0.0125048836592421,1547.781042113167,5.691584911514616,-47.79490148057706,0.0599910004049913,-2.8295318894235186e-05,6.898517053658372
1.6597031312282764,0.0,2.5068722554189065,6.272281183553568,2160.194660847929,-0.0008115126330158,130.04028188356273,0.0,0.0,0.0875826896486228,4564.018524940726,-0.000189873102941,-0.0177176592202564,-0.0529532694205198,0.0,1.6178782327934649,0.0903487521819541,-143.0097308411693,8.652054617366271e-05,-0.0038202869473151,-4850.8971641373855,0.029948431608553,0.0,-0.0003460450087117,-0.0035728718253729,141.68891405228186,-0.0084076174639042,-0.0007883273147062,0.226238497566293,0.0155116229479329,0.0013421038778943,-0.0342953813980694,-0.0002007637381622,0.0151775112400291,2188.904238464928,22.925147714078676,-142.67254785076796,0.1199280129588891,-9.870035038110624e-05,22.3406198275947
2.3213083074582053,0.0,3.365574223914715,2.981074164384533,2852.7343781518143,-0.0009771130165446,316.0594297066287,0.0,0.0,0.1902302754082313,4564.018975598172,0.0045398710449359,-0.0303478719267782,-0.0621409015719837,0.0,2.22799165023222,0.1919924840802111,-133.7160448131883,9.938846600590508e-05,-0.0061654399758784,-4850.897152129177,0.0585818407665621,0.0,0.0032844182443548,-0.0060462942861637,325.59850928723023,-0.0094237940251302,-0.0009892976383768,0.3036920741805654,0.021505028245282,0.0040595536858499,-0.0342942282855102,-0.0004456339924699,0.0212438014522375,2866.258436408024,-66.09192863373893,-135.0452454907042,0.179757098396022,-0.0001896500698494,-105.17060895902068
2.9138070389199364,0.0,4.45499847458934,1.7521587276685076,3755.628312343691,-0.0009944288494215,531.9159332351235,0.0,0.0,0.3312386550137135,4564.019764776292,0.0126884860808265,-0.0450726348741584,-0.0571598930855985,0.0,2.81166106631985,0.3347454140030965,-150.21951475229534,-0.0001333848364594,-0.011639642195456,-4850.8971250859295,0.0969583089040398,0.0,0.0113929374904914,-0.0102461527971049,564.7974085227373,-0.0111916400883152,-0.000990561343961,0.0762114284338026,0.0315159869383478,0.0061987708933125,-0.0342944842242507,-0.000828483721826,0.0314722210419008,3757.2159839564847,-444.1584232271037,-151.66794221286358,0.2394244145778387,-0.0002914964417351,-515.9087609877957
3.46327104875588,0.0,5.178920820751954,1.2808924250103706,4393.39900034095,-0.0011798270208603,1039.486036217684,0.0,0.0,0.5000697709348905,4564.020995356358,0.0213687864665752,-0.0609672993093753,-0.0131890766471641,0.0,3.405921460542518,0.503495608713931,-163.4980920660197,-0.0001434581480277,-0.0242042113844486,-4850.89710098988,0.1452857373913867,0.0,0.0202644246861872,-0.0221796552554078,1139.003829387609,-0.0138022911314341,-0.0012015930279786,0.1266553319044624,0.0467536471596229,0.0069977213080826,-0.0342960881859726,-0.001366499290462,0.0463311179332331,4324.111866946578,-980.840723581199,-163.84016655637785,0.2988762649471985,-0.0004190908637137,-1027.3916377865942
4.261325267536617,0.0,5.289151197040251,1.0970841678581504,4485.222985782345,-0.001415329121164,1637.213674024706,0.0,0.0,0.6810193940389563,4564.02273953736,0.0361494056212147,-0.0757845222746017,0.0130109794452453,0.0,4.387170998807951,0.6861686570138249,-155.31949486756545,-6.083429364514564e-05,-0.0347299776339619,-4850.897084316071,0.1981898695824135,0.0,0.0348862568164247,-0.035326442737789,1803.553339320423,-0.0150456744798396,-0.0013820665370675,0.0569885053924851,0.0735981361711798,0.0081129720963427,-0.0342970575648906,-0.0020595364115576,0.0697849413618393,4394.548107186161,-1621.3906166854097,-159.34526711001055,0.3580591468516483,-0.0005639067169827,-1726.8962934186875
5.474660706748972,0.0,5.22016495810103,1.027747183547561,4406.746061088123,-0.0014497446508742,1937.0912567608336,0.0,0.0,0.8617924392507458,4564.025012505535,0.0344885797809724,-0.0878689512354917,-0.0562965161287765,0.0,5.801179865333233,0.8663823099023078,-157.2131348006164,7.978380119403962e-05,-0.0352233758915762,-4850.897079050247,0.2506266915809633,0.0,0.0443563595626502,-0.0472288314642452,2188.012077424933,-0.0165868489527141,-0.0014280380966343,0.0035704827526915,0.1171326250971855,0.0084119816345176,-0.0342971261723923,-0.0028859610482278,0.1074538951086181,4317.482839834702,-1988.0111473083837,-156.5387629415766,0.4169197996921991,-0.0007230128323127,-2125.7090765958715
6.710425226649892,0.0,5.513129852495052,0.9978555033757156,4640.510043550532,-0.0015647153725511,1717.000447209092,0.0,0.0,1.0398972897147305,4564.027812469872,0.0359212647704343,-0.0982426585895953,-0.1478258910720301,0.0,7.254414356270356,1.0438195914631307,-150.74967652383538,0.0004404922017803,-0.0349893442000525,-4850.897090093038,0.3042071031899576,0.0,0.0434692232028009,-0.0504152496472653,2259.08988533986,-0.0175895119391139,-0.0015157968566283,0.0317356138517409,0.1721026131838714,0.0085820477049069,-0.0342942305434392,-0.0038226438477648,0.1538386841884503,4521.766624111161,-1759.124073102417,-154.36612063637256,0.4754052528542691,-0.0008949228924171,-2191.5909707853643
7.760606513624928,0.0,5.710123114243622,0.9798121108228884,4802.63091638495,-0.0016442377829971,1384.0430267412764,0.0,0.0,1.2243696676382918,4564.031163117379,0.0375246533847722,-0.1075258822424136,-0.2034815250611622,0.0,8.566319179448858,1.2290820017065072,-153.78446453200328,0.0005389757603771,-0.035746368620374,-4850.897118527541,0.360382427052287,0.0,0.045746328792232,-0.0526846229877727,2263.486902574612,-0.0180540569574122,-0.0015552358204425,0.0062831504234607,0.2337280630240693,0.0086713117904619,-0.0342890790431027,-0.0048571301542138,0.203942851541476,4676.863110016474,-1416.6901207675294,-156.10186023321762,0.5334628733776623,-0.0010737379377231,-2235.8772017978185
