yaw,ax,sideslipRL,signal,sideslipFL,pitch,FxFL,FxRL,FyFL,x,yawrate,longslipRL,FyRL,FyFR,RR,FxRR,ay,longslipRR,FR,sideslipRR,rollrate,pitchrate,az,brake,slip1,y,FxFR,gas,steeringangel,FyRR,RL,signal,longslipFL,longslipFR,FL,roll,sideslipFR,vx,vy,slip
-0.0342957201195726,-0.3431306652622903,0.0,0.0,0.0,-3.9218157213248485e-05,0.0466599392730696,0.0466828441670549,0.0,4564.018298359632,-3.1788466794528535e-07,2.808349639999672e-07,0.0,0.0,1e-05,0.0466828417996954,-0.1072571782351639,2.808349639999672e-07,1e-05,0.0,-0.0001080008855989,-2.3775753347224906e-08,1.4877731725295662,0.0,0.0,-4850.897164652041,0.0466599402084196,21.458333333333336,0.0,0.0,1e-05,0.0,2.808349639999672e-07,2.808349639999672e-07,1e-05,-1.2512815238127624e-07,0.0,0.0,0.0,0.0
-0.0342957798154886,1.8496504524269235,-0.0002269429815789,0.0999583385413566,-0.0008659359744629,-7.268271119580988e-05,-47.79490148057706,1538.6319089146716,19.28668992787782,4564.0183271195,-2.501513631808599e-06,0.0125048836592421,5.691584911514616,6.898517053658372,1.0821492862600806,1547.781042113167,0.0512574097733815,0.0126572463008556,0.0135077235372194,-0.0007722126776018,-0.0049169070171574,-0.0071726992989191,-0.0662153214831475,0.0,0.0,-4850.897164546333,-45.75853934436751,8.27463421933996,0.0,17.234463926003237,1.0843085104833043,0.0,-0.0006030459982721,-0.0005803651418275,0.013959558540463,-2.8295318894235186e-05,-0.0002758141952947,0.0084803266374004,0.0002429550595765,0.0
-0.0342953813980694,2.5068722554189065,-0.0003460450087117,0.1996668332936563,-0.0038202869473151,-0.0002007637381622,-142.67254785076796,2160.194660847929,141.68891405228186,4564.018524940726,8.652054617366271e-05,0.0151775112400291,22.925147714078676,22.3406198275947,1.6178782327934649,2188.904238464928,0.226238497566293,0.0155116229479329,0.0875826896486228,-0.0035728718253729,-0.0084076174639042,-0.0177176592202564,-0.0529532694205198,0.0,0.0,-4850.8971641373855,-143.0097308411693,3.4018769456621465,0.0,130.04028188356273,1.6597031312282764,0.0,-0.0007883273147062,-0.0008115126330158,0.0903487521819541,-9.870035038110624e-05,-0.000189873102941,0.029948431608553,0.0013421038778943,0.0
-0.0342942282855102,3.365574223914715,0.0032844182443548,0.2988762649471984,-0.0061654399758784,-0.0004456339924699,-135.0452454907042,2852.7343781518143,325.59850928723023,4564.018975598172,9.938846600590508e-05,0.0212438014522375,-66.09192863373893,-105.17060895902068,2.22799165023222,2866.258436408024,0.3036920741805654,0.021505028245282,0.1902302754082313,-0.0060462942861637,-0.0094237940251302,-0.0303478719267782,-0.0621409015719837,0.0,0.0,-4850.897152129177,-133.7160448131883,1.5958819968489946,0.0,316.0594297066287,2.3213083074582053,0.0,-0.0009892976383768,-0.0009771130165446,0.1919924840802111,-0.0001896500698494,0.0045398710449359,0.0585818407665621,0.0040595536858499,0.0
-0.0342944841351589,4.454168671534273,0.0113929374904914,0.3973386615901224,-0.011639642195456,-0.0008284823043604,-151.66794221286358,3755.605533223142,564.7974085227373,4564.019764776292,-0.0001332957446442,0.0314701343154939,-444.1589982545115,-515.9087609877957,2.8114124764126958,3757.192643286356,0.0932431886868312,0.0315137817194294,0.3312386550137135,-0.0102461527971049,-0.0111610911158699,-0.0450712174086301,-0.0534503892097848,0.0,0.0,-4850.8971250859295,-150.21951475229534,0.9133455483922291,0.0,531.9164924523759,2.9135584490127813,0.0,-0.000990561343961,-0.0009944288494215,0.3347454140030965,-0.0002914658927626,0.0126884860808265,0.0969583089040398,0.0061987708933125,0.0
-0.0342959999065667,5.160643523690912,0.0209525162222961,0.4948079185090459,-0.0230164747033051,-0.0013651296429115,-163.5216038659691,4365.856461451918,1108.82890962666,4564.020995247212,-0.0001181557910009,0.0450330250294437,-1004.2800262949568,-1050.7479119433565,3.2814918205636845,4326.343062849377,0.0563552564888004,0.0450485727264627,0.499705952568938,-0.0211934274889734,-0.0125846701903795,-0.0605955530124083,0.0141122638372347,0.0,0.0,-4850.897101693635,-162.81130107175215,0.6431306944605265,0.0,1016.7347931307444,3.356792918512044,0.0,-0.0011798596939791,-0.0011802041024813,0.5033579879711515,-0.0004128637552885,0.0221967115804668,0.1452540627965003,0.006774310199914,0.0
-0.0342965882938937,5.2853327135203765,0.0343666522069032,0.5910404133226791,-0.0332990901540438,-0.0020480081981098,-157.68464713312073,4460.059607527929,1737.3252677557928,4564.022737799672,-2.7356869422401223e-05,0.0611762659782333,-1683.4230477238827,-1740.1939533667098,3.788850754358295,4407.4783015822695,-0.0208523084460967,0.0627157140351647,0.678804863984352,-0.0339446113001248,-0.0124852558958521,-0.0741123621612005,0.0412420059705987,0.0,0.0,-4850.897091892092,-154.6160443503414,0.5335898782670878,0.0,1649.8510569766938,3.759318762863889,0.0,-0.0013337469792499,-0.0013969121139555,0.6838505204617669,-0.0005383833470648,0.0355448113780457,0.1979655099910519,0.0069981337125778,0.0
-0.0342966712873191,5.175645851633068,0.0428310844988538,0.6857956149109028,-0.033188736198389,-0.0028467797900708,-154.85209780868828,4354.957309904564,2105.305328588082,4564.025007625053,4.462718724350079e-05,0.0815659768960332,-2213.6124456074203,-2112.4516305844863,4.434043405190375,4287.277895255042,-0.0641999331825105,0.0862511717098,0.8566725464482007,-0.0431972402640357,-0.0122479179083891,-0.0840743489929324,0.0100677117134701,0.0,0.0,-4850.89710190928,-154.75994228357413,0.491433758684125,0.0,2128.5384274038747,4.273877255062635,0.0,-0.0013508030536595,-0.0013955690044126,0.8608640014066761,-0.0006622185757984,0.0338239135430153,0.2502815003786569,0.0065538871780951,0.0
-0.0342949984230305,5.378856890010109,0.0405353453230095,0.778836684617301,-0.0327148575534945,-0.0037302698382427,-150.07639624155257,4512.882937617543,2152.7879022725747,4564.027799376795,0.0002610509472763,0.1016102524881229,-2187.963833189895,-2154.41474564033,5.036713614007326,4415.638295001832,-0.0583191601994314,0.1123606988675665,1.028135506881262,-0.0436894236421805,-0.0116046165181569,-0.0915980701473976,-0.0523132124159674,0.0,0.0,-4850.897135340884,-147.4409246127101,0.4728303634840587,0.0,2099.840924062293,4.680046377889634,0.0,-0.0014044402612932,-0.0014684755467416,1.031755306753115,-0.0007814256409268,0.0342569665697822,0.3029903360134601,0.0059746998923762,0.0
-0.0342912616538497,5.586212688425959,0.0403944818215302,0.8699310682224604,-0.0330052700903569,-0.004681069982298,-151.8345476382872,4672.676429716091,2143.038711561859,4564.031129402,0.0004694376340685,0.1180618860932491,-2001.6996483591524,-2162.791608018388,5.4570383358116805,4579.913410307601,-0.0832628398152712,0.1365534898306734,1.204198921083786,-0.0454771546032867,-0.0108705022894657,-0.0977598512980884,-0.1125637743156168,0.0,0.0,-4850.897193437528,-150.4341383550416,0.4597947383560534,0.0,1894.1189678423257,4.900960230742437,0.0,-0.0014329484494512,-0.0015178473148567,1.2072769569033517,-0.0008933814125547,0.0349430075901849,0.3578362413900714,0.0052829466780625,0.0
