signal,FyFR,yawrate,gas,ay,longslipFR,longslipRL,x,FR,sideslipFL,RR,steeringangel,sideslipFR,pitchrate,yaw,ax,FxRR,FxFR,sideslipRL,pitch,vy,longslipRR,brake,FL,y,FyRR,FxFL,FyFL,FyRL,vx,rollrate,RL,az,roll,FxRL,slip1,signal,longslipFL,sideslipRR,slip
0.0,0.0,-3.1788466794528535e-07,10.729166666666668,-0.1072571782351639,2.808349639999672e-07,2.808349639999672e-07,4564.018298359632,1e-05,0.0,1e-05,0.0,0.0,-2.3775753347224906e-08,-0.0342957201195726,-0.3431306652622903,0.0466828417996954,0.0466599402084196,0.0,-3.9218157213248485e-05,0.0,2.808349639999672e-07,0.0,1e-05,-4850.897164652041,0.0,0.0466599392730696,0.0,0.0,0.0,-0.0001080008855989,1e-05,1.4877731725295662,-1.2512815238127624e-07,0.0466828441670549,0.0,0.0,2.808349639999672e-07,0.0,0.0
0.0,6.898517053658372,-2.501513631808599e-06,4.130056695718488,0.0512574097733815,-0.0005803651418275,0.0125048836592421,4564.0183271195,0.0135077235372194,-0.0008659359744629,1.0821492862600806,0.0,-0.0002758141952947,-0.0071726992989191,-0.0342957798154886,1.8496504524269235,1547.781042113167,-45.75853934436751,-0.0002269429815789,-7.268271119580988e-05,0.0002429550595765,0.0126572463008556,0.0,0.013959558540463,-4850.897164546333,17.234463926003237,-47.79490148057706,19.28668992787782,5.691584911514616,0.0084803266374004,-0.0049169070171574,1.0843085104833043,-0.0662153214831475,-2.8295318894235186e-05,1538.6319089146716,0.0,0.1398856946750655,-0.0006030459982721,-0.0007722126776018,0.0
0.0,22.3406198275947,8.652054617366271e-05,1.6796344031135293,0.226238497566293,-0.0008115126330158,0.0151775112400291,4564.018524940726,0.0875826896486228,-0.0038202869473151,1.6178782327934649,0.0,-0.000189873102941,-0.0177176592202564,-0.0342953813980694,2.5068722554189065,2188.904238464928,-143.0097308411693,-0.0003460450087117,-0.0002007637381622,0.0013421038778943,0.0155116229479329,0.0,0.0903487521819541,-4850.8971641373855,130.04028188356273,-142.67254785076796,141.68891405228186,22.925147714078676,0.029948431608553,-0.0084076174639042,1.6597031312282764,-0.0529532694205198,-9.870035038110624e-05,2160.194660847929,0.0,0.279086229288473,-0.0007883273147062,-0.0035728718253729,0.0
0.0,-105.75819185142664,9.995918491569584e-05,0.7647666403130308,0.3224341418400767,-0.0009773627983195,0.0212282431668227,4564.018975598024,0.1902306729443641,-0.0060975561531356,2.223940064325695,0.0,0.0046036178311028,-0.0303316135561764,-0.0342942273200913,3.361943890883912,2865.686406096276,-133.72238714837374,0.0033392817365363,-0.0004456105324928,0.0040549573380319,0.0214785338725182,0.0,0.1919915853766773,-4850.897152135001,315.4747262864767,-135.0250892964108,324.97427505272964,-66.61009955363218,0.0585818711491727,-0.0091940642406626,2.31725100037802,-0.0474474378241585,-0.0001892787548239,2852.267351903569,0.0,0.4169197996921991,-0.0009885059132936,-0.0059832830366227,0.0
0.0,-552.9383654703685,-0.0001231970878208,0.4103647269575901,-0.045037395190847,-0.000977766851403,0.0296705575010627,4564.019764174598,0.3305096360570046,-0.0099716357739959,2.583381138376185,0.0,0.013800962956841,-0.0442890685274765,-0.0342944488671571,4.366674516174997,3696.053804249832,-148.6289605222845,0.0124683417145433,-0.0008252880664133,0.0057672444822454,0.0293621687012852,0.0,0.3336851541982196,-4850.897126613312,486.8143073220624,-149.8900848480249,515.433359379784,-481.3801100742485,0.0967604222221885,-0.0087568992032545,2.6915540331342576,-0.0093798302394875,-0.0002773008951593,3680.243665605236,0.0,0.5527112971282275,-0.0009612080959415,-0.0087206482464553,0.0
0.0,-1042.0668649222268,-9.161450434770856e-05,0.2633681416857769,-0.0253141504851766,-0.0011127202561653,0.0354932150262315,4564.02098478894,0.4922255689860259,-0.0219784524758686,2.508830674431159,0.0,0.0201773286311259,-0.0576784744296204,-0.0342956836036143,4.889169999908769,4088.220076979823,-157.87390484639403,0.0193211972845109,-0.0013431985167925,0.0049836670327118,0.0345548992884666,0.0,0.4947509602132795,-4850.897114662762,963.8773073019084,-157.57621301324772,1025.4032897297202,-1025.6394616293992,0.1434022043900301,-0.0093432639489465,2.6155611493539355,0.0366546298549591,-0.0003694561058041,4149.057841436133,0.0,0.6857956149109028,-0.0011114535376599,-0.0202224389652087,0.0
0.0,-1625.2815681050802,1.643686252326076e-05,0.2023663417965258,-0.0754448456716174,-0.0012359542915654,0.0372344602984298,4564.022690556871,0.658628414748017,-0.029057276592643,2.4414792654157846,0.0,0.0325396152585084,-0.0684211024945757,-0.0342961694311461,4.847821642675905,4062.3332094485872,-147.0781091634994,0.0313054846103677,-0.0019819610520664,0.0047534765558674,0.0382294391831611,0.0,0.6622132431210027,-4850.897124647967,1655.3576685651944,-151.32128188251343,1602.575685340145,-1722.3383103775434,0.1926538052644346,-0.0078920813291562,2.397616481781905,0.0723197634045517,-0.0004551521430203,4076.427545996229,0.0,0.8155209061191403,-0.0011819987415199,-0.0295855276225357,0.0
0.0,-2032.0798037512172,3.70945819612128e-05,0.1803656037994823,-0.0892561991468808,-0.0012727582101792,0.0403146677116159,4564.024881285111,0.8157315716025099,-0.0312372813365065,2.457201717472081,0.0,0.0318716607231625,-0.0753212572938563,-0.0342955487809315,4.627373710906177,3855.8136979723454,-145.58053115302414,0.0388075434368219,-0.0027072974620908,0.0038215470921536,0.0416348502463497,0.0,0.8187769079405789,-4850.897157125595,2390.52401196432,-143.47759528329632,1963.8259807485772,-2451.216133969232,0.240265166384879,-0.0069732540798925,2.4026130728097965,0.0837046576963892,-0.000529240219147,3877.967843247403,0.0,0.9412517763423162,-0.0012185528257687,-0.0391023001066916,0.0
0.0,-2061.826839586008,0.000139786234281,0.1705562210976717,-0.072513279025936,-0.0012928317213952,0.0404785942309099,4564.027542149839,0.966237883962388,-0.029663798250765,2.42348388588772,0.0,0.0318384149134986,-0.0794457265493021,-0.0342948049849034,4.863970880680864,4037.5307610271375,-137.64348453697323,0.0356738346779875,-0.0034846441112713,0.0031008069225901,0.0426102266753205,0.0,0.9687556904195206,-4850.89721428793,2699.993986898345,-140.8996627290905,2018.981988326444,-2765.9098418352323,0.2876342035330554,-0.0054620951474737,2.3412040064791,0.065956176167441,-0.0005908609202956,4032.895387286167,0.0,1.0623723958417668,-0.0012342536685168,-0.0357880824523262,0.0
0.0,-2061.209751753387,0.0001660551557395,0.1617283970075777,-0.081924691640658,-0.0012638634184967,0.0348519554701299,4564.0306872970805,1.119969189178098,-0.029611374944674,2.20419600132902,0.0,0.031664421541963,-0.0818624939987385,-0.0342930777352283,4.869079913690072,4040.887523964888,-139.41477416763854,0.0342428441649977,-0.0042939104944029,0.002279656899256,0.0368033618721431,0.0,1.1217955487820004,-4850.897295586438,2820.864328520869,-139.7791995872706,1988.368405014012,-2872.740457481585,0.3366934772658626,-0.0040092043009191,2.1350997589860925,0.084758156574656,-0.0006374643462421,4030.4447889777352,0.0,1.178289515884539,-0.001206722278883,-0.0347072126461815,0.0
