ay,signal,signal,longslipRL,vx,roll,RR,FyFL,sideslipFR,gas,slip1,FxRL,x,sideslipFL,sideslipRL,pitch,FR,slip,FxFR,sideslipRR,FL,FyRL,longslipFR,RL,FxFL,FxRR,yawrate,longslipRR,FyRR,ax,brake,az,steeringangel,yaw,rollrate,longslipFL,vy,FyFR,pitchrate,y
-0.1072571782351639,0.0,0.0,2.808349639999672e-07,0.0,-1.2512815238127624e-07,1e-05,0.0,0.0,82.25694444444444,0.0,0.0466828441670549,4564.018298359632,0.0,0.0,-3.9218157213248485e-05,1e-05,0.0,0.0466599402084196,0.0,1e-05,0.0,2.808349639999672e-07,1e-05,0.0466599392730696,0.0466828417996954,-3.1788466794528535e-07,2.808349639999672e-07,0.0,-0.3431306652622903,0.0,1.4877731725295662,0.0,-0.0342957201195726,-0.0001080008855989,2.808349639999672e-07,0.0,0.0,-2.3775753347224906e-08,-4850.897164652041
0.0512574097733815,0.0,0.1398856946750655,0.0125048836592421,0.0084803266374004,-2.8295318894235186e-05,1.0821492862600806,19.28668992787782,-0.0002758141952947,31.76057351942934,0.0,1538.6319089146716,4564.0183271195,-0.0008659359744629,-0.0002269429815789,-7.268271119580988e-05,0.0135077235372194,0.0,-45.75853934436751,-0.0007722126776018,0.013959558540463,5.691584911514616,-0.0005803651418275,1.0843085104833043,-47.79490148057706,1547.781042113167,-2.501513631808599e-06,0.0126572463008556,17.234463926003237,1.8496504524269235,0.0,-0.0662153214831475,0.0,-0.0342957798154886,-0.0049169070171574,-0.0006030459982721,0.0002429550595765,6.898517053658372,-0.0071726992989191,-4850.897164546333
0.226238497566293,0.0,0.279086229288473,0.0151775112400291,0.029948431608553,-9.870035038110624e-05,1.6178782327934649,141.68891405228186,-0.000189873102941,13.161251353278578,0.0,2160.194660847929,4564.018524940726,-0.0038202869473151,-0.0003460450087117,-0.0002007637381622,0.0875826896486228,0.0,-143.0097308411693,-0.0035728718253729,0.0903487521819541,22.925147714078676,-0.0008115126330158,1.6597031312282764,-142.67254785076796,2188.904238464928,8.652054617366271e-05,0.0155116229479329,130.04028188356273,2.5068722554189065,0.0,-0.0529532694205198,0.0,-0.0342953813980694,-0.0084076174639042,-0.0007883273147062,0.0013421038778943,22.3406198275947,-0.0177176592202564,-4850.8971641373855
0.3036920741805654,0.0,0.4169197996921991,0.0212438014522375,0.0585818407665621,-0.0001896500698494,2.22799165023222,325.59850928723023,0.0045398710449359,6.305535366023095,0.0,2852.7343781518143,4564.018975598172,-0.0061654399758784,0.0032844182443548,-0.0004456339924699,0.1902302754082313,0.0,-133.7160448131883,-0.0060462942861637,0.1919924840802111,-66.09192863373893,-0.0009771130165446,2.3213083074582053,-135.0452454907042,2866.258436408024,9.938846600590508e-05,0.021505028245282,316.0594297066287,3.365574223914715,0.0,-0.0621409015719837,0.0,-0.0342942282855102,-0.0094237940251302,-0.0009892976383768,0.0040595536858499,-105.17060895902068,-0.0303478719267782,-4850.897152129177
0.0762114284338026,0.0,0.5527112971282275,0.0314722210419008,0.0969583089040398,-0.0002914964417351,2.81166106631985,564.7974085227373,0.0126884860808265,3.76531035776722,0.0,3755.628312343691,4564.019764776292,-0.011639642195456,0.0113929374904914,-0.000828483721826,0.3312386550137135,0.0,-150.21951475229534,-0.0102461527971049,0.3347454140030965,-444.1584232271037,-0.0009944288494215,2.9138070389199364,-151.66794221286358,3757.2159839564847,-0.0001333848364594,0.0315159869383478,531.9159332351235,4.45499847458934,0.0,-0.0571598930855985,0.0,-0.0342944842242507,-0.0111916400883152,-0.000990561343961,0.0061987708933125,-515.9087609877957,-0.0450726348741584,-4850.8971250859295
0.1266553319044624,0.0,0.6857956149109028,0.0463311179332331,0.1452857373913867,-0.0004190908637137,3.405921460542518,1139.003829387609,0.0213687864665752,2.811640221142834,0.0,4393.39900034095,4564.020995356358,-0.0242042113844486,0.0202644246861872,-0.001366499290462,0.5000697709348905,0.0,-163.4980920660197,-0.0221796552554078,0.503495608713931,-980.840723581199,-0.0011798270208603,3.46327104875588,-163.84016655637785,4324.111866946578,-0.0001434581480277,0.0467536471596229,1039.486036217684,5.178920820751954,0.0,-0.0131890766471641,0.0,-0.0342960881859726,-0.0138022911314341,-0.0012015930279786,0.0069977213080826,-1027.3916377865942,-0.0609672993093753,-4850.89710098988
0.0569885053924851,0.0,0.8155209061191403,0.0697849413618393,0.1981898695824135,-0.0005639067169827,4.387170998807951,1803.553339320423,0.0361494056212147,2.450365510548915,0.0,4485.222985782345,4564.02273953736,-0.0347299776339619,0.0348862568164247,-0.0020595364115576,0.6810193940389563,0.0,-155.31949486756545,-0.035326442737789,0.6861686570138249,-1621.3906166854097,-0.001415329121164,4.261325267536617,-159.34526711001055,4394.548107186161,-6.083429364514564e-05,0.0735981361711798,1637.213674024706,5.289151197040251,0.0,0.0130109794452453,0.0,-0.0342970575648906,-0.0150456744798396,-0.0013820665370675,0.0081129720963427,-1726.8962934186875,-0.0757845222746017,-4850.897084316071
0.0035704827526915,0.0,0.9412517763423162,0.1074538951086181,0.2506266915809633,-0.0007230128323127,5.801179865333233,2188.012077424933,0.0344885797809724,2.315742266304936,0.0,4406.746061088123,4564.025012505535,-0.0352233758915762,0.0443563595626502,-0.0028859610482278,0.8617924392507458,0.0,-157.2131348006164,-0.0472288314642452,0.8663823099023078,-1988.0111473083837,-0.0014497446508742,5.474660706748972,-156.5387629415766,4317.482839834702,7.978380119403962e-05,0.1171326250971855,1937.0912567608336,5.22016495810103,0.0,-0.0562965161287765,0.0,-0.0342971261723923,-0.0165868489527141,-0.0014280380966343,0.0084119816345176,-2125.7090765958715,-0.0878689512354917,-4850.897079050247
0.0317356138517409,0.0,1.0623723958417668,0.1538386841884503,0.3042071031899576,-0.0008949228924171,7.254414356270356,2259.08988533986,0.0359212647704343,2.2618331132337004,0.0,4640.510043550532,4564.027812469872,-0.0349893442000525,0.0434692232028009,-0.0038226438477648,1.0398972897147305,0.0,-150.74967652383538,-0.0504152496472653,1.0438195914631307,-1759.124073102417,-0.0015647153725511,6.710425226649892,-154.36612063637256,4521.766624111161,0.0004404922017803,0.1721026131838714,1717.000447209092,5.513129852495052,0.0,-0.1478258910720301,0.0,-0.0342942305434392,-0.0175895119391139,-0.0015157968566283,0.0085820477049069,-2191.5909707853643,-0.0982426585895953,-4850.897090093038
0.0078676366144475,0.0,1.178289515884539,0.2040986980112509,0.36038209181274,-0.0010740240866353,8.571935375889217,2264.4533560511863,0.037482572764491,2.2349547519261788,0.0,4802.86597705507,4564.031163116904,-0.0358007937891003,0.04569025586153,-0.0048571887553162,1.2243960532179452,0.0,-153.82500863331447,-0.0527519775715283,1.2290691066814206,-1416.016701615168,-0.0016437019417013,7.76604327456742,-156.09403132118544,4676.787051686755,0.0005398783351947,0.2339113525460871,1384.2488910089232,5.710508760375754,0.0,-0.2055774291558514,0.0,-0.0342890767983681,-0.0181201516412713,-0.0015568820307516,0.0086775547417052,-2235.1141591158857,-0.1075432663789498,-4850.897118508463
-0.0078575685972322,0.0,1.2884353744753825,0.2582881676669564,0.4181489734914455,-0.0012557739440649,9.749645437176538,2257.8375564234298,0.0375313725904534,2.219618263065649,0.0,4892.449896656616,4564.035084867576,-0.0361108464018693,0.0463545857379567,-0.0059769587409868,1.412606177177754,0.0,-153.24249284130582,-0.0524206072609591,1.4172924439133825,-1135.3717907518082,-0.0016865729959238,8.67257859741691,-156.04296626084815,4761.853960221517,0.0005163817995849,0.3018200693216339,1097.7945357695742,5.827299885074897,0.0,-0.2497813638710165,0.0,-0.0342838211044211,-0.0181293771284812,-0.0016023999950237,0.0086290734758801,-2233.65949814759,-0.1153599049920448,-4850.897166483646
-0.0198814906578981,0.0,1.3922704772547134,0.3167299644727446,0.4768818230752742,-0.0014345252052966,10.840870969981196,2213.924002437909,0.0370843077690711,2.2095534285256067,0.0,4961.580368277314,4564.039589813538,-0.0351254147379315,0.0448102688404224,-0.007166085518928,1.6040847532764644,0.0,-154.38097865870228,-0.0497885665274794,1.6089129785188847,-911.616554520456,-0.0017216434622891,9.475089811544937,-157.28635210754047,4818.156666789017,0.0005340633042409,0.3770194959734061,858.8209187576059,5.90998723526948,0.0,-0.2705705972595679,0.0,-0.0342785792885599,-0.0175986408102507,-0.0016102543943519,0.0084821604758098,-2193.2707422313047,-0.1215865119213329,-4850.89723548992
-0.0361122022533547,0.0,1.4892862399417186,0.3789230346371114,0.5364383598646808,-0.0016057824895724,11.86709992717376,2132.757995497343,0.0360769062991226,2.201641250556115,0.0,5034.145096257717,4564.0446865257045,-0.0336716025885451,0.0421389190314035,-0.0084089143112741,1.7973248550700025,0.0,-151.91671313186998,-0.046011574005438,1.8017614046549244,-729.1512061298083,-0.0016934982060627,10.178907245275314,-155.06618015978012,4872.263597043457,0.0005299504955512,0.4604894921474063,664.534561012948,5.996758560887867,0.0,-0.2685660987039318,0.0,-0.0342732162856292,-0.0166956030342306,-0.0015708976726635,0.0081785720625377,-2124.98460746789,-0.1262394490259854,-4850.897327137911
-0.0481608270361126,0.0,1.579007479379901,0.4415943316598956,0.5968930102913481,-0.0017663785994868,12.80886153211975,2033.1140346696327,0.034671921579356,2.194356164644607,0.0,5116.179641194993,4564.050383655092,-0.032122033202248,0.0392830401007122,-0.0096895361308754,1.9897610316371528,0.0,-151.03648782222538,-0.0418852602276347,1.9940356236742471,-585.7643566154129,-0.001673273277769,10.756993093645772,-154.41695506617316,4934.273992502406,0.000469367135927,0.54943392311776,512.8937449678723,6.0931634976714975,0.0,-0.2573945610390313,0.0,-0.0342682067589994,-0.0154896718725551,-0.0015407671705111,0.0077282054386118,-2034.011466288548,-0.1293395868005964,-4850.8974433174335
-0.0577116540801878,0.0,1.660994740983941,0.5045045772647576,0.6583399671103305,-0.0019130721024462,13.711375588009188,1925.3731457632537,0.0331828345698299,2.1870954451443128,0.0,5205.20638746401,4564.056690700757,-0.030476593443284,0.0367242955153278,-0.0109935921544523,2.182227495244072,0.0,-150.23479717942055,-0.0378260358254392,2.1864725206238,-477.26433706301975,-0.0016577587532039,11.254595222102868,-153.97832075020207,5004.871687065522,0.0003634738058577,0.6445318416679006,397.4833734777375,6.197798829526505,0.0,-0.2296460602946861,0.0,-0.0342640616003413,-0.0139490965820414,-0.0015190654505014,0.0071747176309661,-1932.0924229428872,-0.1310822991935783,-4850.897585572616
-0.0673753199921092,0.0,1.734846451188034,0.5674074687861196,0.720849260196554,-0.002042673098241,14.587214572422036,1813.526803416584,0.0316194410659425,2.1796741454974486,0.0,5297.000620788342,4564.063618009096,-0.0288051640297231,0.0344897679917313,-0.0123080406626897,2.3753572458800507,0.0,-149.64771233141082,-0.0339903562350442,2.379658719436476,-396.0683186740368,-0.0016363549561916,11.689109161691771,-153.59292138899494,5081.160370590915,0.0002137256367666,0.7459178140543963,310.19537595161387,6.307216494154471,0.0,-0.190806771472992,0.0,-0.0342612138024811,-0.0121104106954392,-0.001496393072408,0.0065290009212912,-1827.158872910398,-0.1315555822983539,-4850.897755210249
-0.0750854083945441,0.0,1.8002008843530102,0.629974338450123,0.7844558397805889,-0.0021524766550227,15.438952660622856,1702.089662693867,0.0299700543546517,2.1720818150505248,0.0,5388.905653601449,4564.071176401833,-0.0271441610740302,0.0324747397552784,-0.0136205071959916,2.5692949826828047,0.0,-149.29615739478334,-0.0303828808946757,2.573766092744146,-334.63294505418924,-0.0016149046917067,12.069900118687295,-153.38197572019783,5160.50456180469,2.4726121484867285e-05,0.853485902620763,243.8551750073716,6.418330463723212,0.0,-0.1443719315493413,0.0,-0.0342600880265558,-0.0100206890868518,-0.0014764235240142,0.0057998198112513,-1720.907256155661,-0.1308160665406567,-4850.897953497941
-0.0809113798330288,0.0,1.8567379344983332,0.6918676706273872,0.849162973750222,-0.0022401867180254,16.267834228713845,1591.9032475886718,0.0282745847248033,2.164367735408285,0.0,5478.487834451277,4564.079376852273,-0.0254890069321627,0.0305855491991539,-0.0149191660442521,2.7641684157722843,0.0,-149.08037974268677,-0.0269510465455393,2.768899615263237,-286.9846484317804,-0.0015940192945018,12.403359816362286,-153.24912883602028,5239.793594219746,-0.0001962664430317,0.9671648328984238,192.7292180180815,6.527811044056454,0.0,-0.0927445633152812,0.0,-0.0342610309653754,-0.007720800384852,-0.0014596714479775,0.0050082398554038,-1614.7457913453582,-0.1289190618421648,-4850.89818153428
-0.0818987979963557,0.0,1.9041806831810315,0.7536030830284662,0.9149431387150372,-0.0023040269628064,17.085156513019456,1484.3811555717075,0.0265456574748487,2.156603513777477,0.0,5563.899654216959,4564.088230165244,-0.0238606636211384,0.0287690630762082,-0.0161928736056888,2.960039301190823,0.0,-148.97497549237187,-0.0236541025671414,2.96512051646434,-248.84225914543248,-0.0015741281253363,12.70599735318147,-153.23718041879016,5317.4550642195845,-0.0004508008639039,1.0876687869801058,155.9095200661452,6.633621182269296,0.0,-0.0395251045897494,0.0,-0.0342643578409502,-0.0052735333992064,-0.0014480767935275,0.0041773118667324,-1509.8931068033833,-0.1259547800717333,-4850.898440210467
-0.0791678772879679,0.0,1.9422967558420887,0.8159908148936809,0.9817556649034872,-0.0023428023347828,17.90088317221173,1379.964188310553,0.024806096231857,2.148840289600588,0.0,5644.401941512677,4564.097746758824,-0.022268071077777,0.027068187649012,-0.0174315237974583,3.1568996040240536,0.0,-148.92755753176277,-0.0204034455884285,3.162570601159401,-217.4392160891993,-0.0015560024661756,12.994002557629903,-153.29582664197935,5393.960570128907,-0.0007589143957566,1.2158035852246565,131.87120856748302,6.735182805243088,0.0,0.0167881282575246,0.0,-0.034270513386682,-0.0027222306040593,-0.0014391814317292,0.0033597727860299,-1407.0933937841698,-0.1220116012804285,-4850.898730005513
-0.0761060238781442,0.0,1.9708994599769205,0.8786562211087139,1.0495618233276236,-0.0023557019104782,18.705492852072528,1279.2982881262149,0.023053528626015,2.1410953648928763,0.0023758405933256,5719.483429391247,4564.107936648578,-0.0207131012781091,0.0254682549170718,-0.01862560961658,3.3547235308483856,0.0023758405933256,-148.96994011705965,-0.0172045519521326,3.361259500932815,-191.18392843796613,-0.0015396792088383,13.266372032648682,-153.37881088325136,5468.896036089715,-0.0011158311050817,1.3508290837858947,112.74238747908416,6.832382223094877,0.0,0.0718452674168124,0.0,-0.0342800346276401,-0.0001144179520866,-0.0014326447547868,0.0025821035993091,-1306.618897071151,-0.1171462773629276,-4850.899050969583
-0.0734598606414811,0.0,1.9898486995551616,0.941581052770407,1.1183110398505829,-0.0023425398664698,19.495184903083743,1181.9446965276315,0.0213199211424118,2.133397134159576,0.001573779083717,5788.517740668569,4564.118809382738,-0.0191835170803568,0.0239133184415487,-0.0197663471047965,3.55355343953342,0.001573779083717,-149.15512133010105,-0.0141327191637139,3.5611224770644854,-168.81373832323433,-0.0015266804978239,13.526697267175036,-153.46193860377414,5540.902198246998,-0.001499686781818,1.4922926588026824,95.51755487495409,6.9237570952356,0.0,0.1248268563880497,0.0,-0.0342932896522442,0.0024781299262013,-0.001428197697309,0.0018483597496606,-1208.8671223701313,-0.1114403494012588,-4850.899403022979
-0.0712665518998528,0.0,1.999051661210958,1.004884586415986,1.1879404669063445,-0.0023039153909854,20.268252826867048,1088.2961290836158,0.0196017300215475,2.125779686785209,0.0008977807781205,5850.905354009897,4564.130373913991,-0.0176974030727506,0.022356400496077,-0.0208458182936497,3.753428978643548,0.0008977807781205,-149.41953445271125,-0.0112537687412027,3.762098180317296,-149.36318667865606,-0.0015151504596342,13.779337185518193,-153.5736483849419,5608.860966941083,-0.0018913417430894,1.6398444781828514,79.3096444232453,7.008187944497293,0.0,0.1746559173555689,0.0,-0.0343104428853746,0.0049756331749334,-0.0014251653264421,0.0011525144170597,-1114.0211756034782,-0.1049832790363238,-4850.899786104494
-0.0713797187858085,0.0,1.998463268842781,1.0687759819682234,1.2583767778295358,-0.0022411995358418,21.02368548762061,998.3333858448318,0.0179069924403616,2.1182768432001824,0.0003218497886309,5905.952116757982,4564.142638491855,-0.0162625649678119,0.0207539110347554,-0.0218570188643115,3.95434757131866,0.0003218497886309,-149.76098982283574,-0.0086227426317122,3.9640915713713194,-135.19422279966693,-0.0015054634380894,14.028598268762106,-153.65604093636003,5671.959922549381,-0.0022649006380746,1.7931559120082463,64.00972391665726,7.084696974703982,0.0,0.2207986302123911,0.0,-0.0343314399402889,0.0072987160780731,-0.0014227919221732,0.0004865719267785,-1022.1691620396756,-0.0978672632839465,-4850.900200196111
