pitchrate,pitch,ay,sideslipFR,vx,FyRL,gas,yaw,vy,brake,FxFR,RL,longslipFL,longslipFR,signal,signal,FR,FL,slip,FyFL,FxFL,longslipRR,sideslipRR,FyFR,ax,roll,steeringangel,sideslipFL,RR,FyRR,sideslipRL,FxRL,FxRR,az,rollrate,yawrate,longslipRL,slip1,x,y
-2.3775753347015152e-08,-3.921815721326774e-05,-0.1072571782351647,0.0,0.0,0.0,35.76388888888889,-0.0130201565377619,0.0,0.0,0.0466599402084195,1e-05,2.808349639999672e-07,2.808349639999672e-07,0.0,0.0,1e-05,1e-05,0.0,0.0,0.0466599392730695,2.808349639999672e-07,0.0,0.0,-0.3431306652622907,-1.2512815238071413e-07,0.0,0.0,1e-05,0.0,0.0,0.0466828441670547,0.0466828417996951,1.4877731725295706,-0.0001080008855989,-3.1788466794521145e-07,2.808349639999672e-07,0.0,9975.981220894291,-138.6472273329127
-0.0071726978455913,-7.268270544982817e-05,0.0512574088933185,-0.0002758147553805,0.0084803266415314,5.691582182708809,13.800737584776838,-0.013020216233568,0.0002429550209704,0.0,-45.75854227491614,1.0843085102226775,-0.0006030460266187,-0.0005803651754477,0.0,0.0,0.0135077245638275,0.0139595587173891,0.0,19.28667828772842,-47.794902615775214,0.0126572462534902,-0.0007722125224862,6.898529018625194,1.849650456251019,-2.829531021062481e-05,8.315864276690332e-12,-0.0008659353392535,1.0821492871471718,17.23445923968894,-0.0002269429029785,1538.6319078758793,1547.7810389653669,-0.0662155617865713,-0.0049169062123139,-2.501495390054726e-06,0.0125048836359712,0.0,9975.981249645403,-138.6472266153935
-0.0177176579778921,-0.0002007637183987,0.2262384761736892,-0.00018987288258,0.0299484315939139,22.92514364574704,5.698200335979802,-0.0130198178159173,0.0013421037123822,0.0,-143.0097267377067,1.6597031338777015,-0.0007883273215758,-0.0008115126378487,0.0,0.0,0.0875826872970673,0.0903487500213525,0.0,141.68886754824734,-142.67254486668344,0.0155116228959405,-0.0035728716879911,22.340638009453773,2.506872249945797,-9.870033572941896e-05,-7.556367305484527e-08,-0.0038202863058845,1.6178782395776128,130.0402713417425,-0.0003460449907474,2160.194654011575,2188.9042315080733,-0.0529532388447757,-0.0084076170302595,8.652055991586223e-05,0.0151775111913369,0.0,9975.981447413158,-138.6472219980998
-0.0303478707367062,-0.0004456339607162,0.3036920225900856,0.004539873623637,0.0585818406946271,-66.09191975655382,2.7040357309791747,-0.0130186647044879,0.0040595531143336,0.0,-133.71604421716137,2.3213083152545844,-0.0009892976355168,-0.0009771129991156,0.0,0.0,0.190230272153429,0.1919924822090661,0.0,325.5984335580948,-135.04524636774855,0.0215050281980636,-0.0060462945127431,-105.17067768146,3.3655742192379297,-0.0001896500543841,-4.0598920562991953e-07,-0.0061654380239162,2.227991660958341,316.05942907372986,0.003284417866587,2852.73437131276,2866.258429106189,-0.0621409049365074,-0.0094237943665125,9.938814077122172e-05,0.0212438014128299,0.0,9975.981897713153,-138.64720040534385
-0.0450726336811087,-0.0008284836781348,0.0762113832027341,0.0126884809694882,0.0969583087880346,-444.1583899627471,1.5843960919316429,-0.0130189206524596,0.0061987694703599,0.0,-150.21951631865193,2.913807040424216,-0.0009905613417022,-0.0009944288692431,0.0,0.0,0.3312386492155473,0.3347454136622581,0.0,564.7974043562868,-151.66794242135873,0.0315159868992353,-0.0102461530673105,-515.9087844380061,4.45499846982819,-0.0002914964377145,-1.0865396895121087e-07,-0.0116396474733788,2.8116610850352077,531.915952595467,0.0113929369828039,3755.62831677272,3757.215973166128,-0.0571598961065557,-0.0111916416445016,-0.0001333862050289,0.031472221025398,0.0,9975.982686137351,-138.64715657928463
-0.0609672970424611,-0.0013664992261251,0.126655439512974,0.0213688068501837,0.1452857371659729,-980.8407558639474,1.1533301089510446,-0.0130205246211511,0.0069977214846822,0.0,-163.49805101356296,3.4632710642462494,-0.0012015926696697,-0.0011798263049943,0.0,0.0,0.5000697922561507,0.5034956156301291,0.0,1139.003557655221,-163.8401621211159,0.0467536467566296,-0.0221796530149318,-1027.391518008704,5.178920855760084,-0.0004190908600789,-4.364647493180969e-07,-0.0242041801457266,3.405921455042486,1039.485967856971,0.0202644260696753,4393.398963770239,4324.111914461011,-0.0131889753621849,-0.0138022902986999,-0.0001434581404718,0.0463311179342785,0.0,9975.9839159263,-138.6471063093849
-0.0757843306649185,-0.0020595361387928,0.0589887587986674,0.0361496195830397,0.1981898696396046,-1621.3912562445105,0.9843107222819656,-0.0130214940712483,0.0081129530104173,0.0,-155.31934630567457,4.261291666319832,-0.0013820641373885,-0.0014153316342721,0.0,0.0,0.6810192588943584,0.6861687806459417,0.0,1803.5485140169524,-159.34542792497746,0.0735975377348071,-0.0353264647808426,-1726.9007240589426,5.289043485934543,-0.0005639032504329,-5.942649878528655e-06,-0.0347297621727033,4.387137613586643,1637.2150206130416,0.0348862352283812,4485.2231641244325,4394.547422061105,0.01350851621775,-0.0150421186308952,-6.08474106044618e-05,0.0697843613907663,0.0,9975.985659357846,-138.64705253378014
-0.0877856938730443,-0.0028856611528353,-0.0087091066980006,0.0346910804249643,0.250626465846322,-1994.1807717201243,0.9204139095845824,-0.0130215528939989,0.0083663310873427,0.0,-157.040239465295,5.450344199650719,-0.0014189584662375,-0.0014535858567756,0.0,0.0,0.8616194072419934,0.8664825569793467,0.0,2181.88356254957,-156.54203547937388,0.116477426520888,-0.0469235553626857,-2130.612704667572,5.217905268054205,-0.0007217117992253,-1.9667949752460925e-05,-0.0349493685648476,5.772967146590059,1935.5925990377336,0.0445714479183262,4403.03174881141,4318.578618199495,-0.0494062900979678,-0.0163205005085837,8.142821830113226e-05,0.1069478779172351,0.0,9975.987931700438,-138.64699905962328
-0.0978592300635788,-0.0038200360394357,0.0129308415078138,0.0358993340748052,0.3041869932456508,-1778.3752016515775,0.8925574673433503,-0.0130186993359966,0.0083668289175052,0.0,-150.54638010598885,6.592983867888849,-0.0015048718731976,-0.0015601749945761,0.0,0.0,1.0394492021468842,1.0433916568705277,0.0,2247.558666074297,-153.9637529803618,0.1685106424368648,-0.0499348094536278,-2196.168073854395,5.50872179755502,-0.0008891331903754,-4.964629466383297e-05,-0.034726109537227,7.122928197068521,1724.345769160408,0.043505159542107,4634.385362110985,4519.611228204712,-0.1400965329792115,-0.0169824735994111,0.000430869058024,0.1508669699545418,0.0,9975.990731156866,-138.6469518669069
-0.1066931267819561,-0.0048482640320386,-0.0119319290636104,0.0373501751779111,0.3603207872170267,-1449.1122372512632,0.87530152541283,-0.0130136712257712,0.0082776334656247,0.0,-153.37511392353264,7.494599019951854,-0.0015395723180775,-0.0016338972458993,0.0,0.0,1.223200101957291,1.2278333715279384,0.0,2249.0010633813,-155.6791616718551,0.2246858126944032,-0.0520169008798448,-2234.2072461844823,5.707813657493737,-0.0010599638494282,-9.431696879015396e-05,-0.0353947984765884,8.279472058290718,1402.691535438691,0.0455276085965277,4795.465223678428,4672.434062180503,-0.2096758894001972,-0.0171114103756413,0.0005284425132594,0.1960424822632267,0.0,9975.99408119106,-138.64691215293016
