FyFL,slip1,FxRR,vx,sideslipFR,RR,longslipRR,signal,longslipFL,yawrate,sideslipRL,gas,roll,FxRL,longslipRL,signal,FR,az,x,RL,ax,FyRR,sideslipRR,longslipFR,FyRL,yaw,steeringangel,FxFR,y,brake,FxFL,slip,vy,pitchrate,FyFR,FL,sideslipFL,rollrate,ay,pitch
0.0,0.0,0.0466828417996951,0.0,0.0,1e-05,2.808349639999672e-07,0.0,2.808349639999672e-07,-3.1788466794521145e-07,0.0,14.305555555555555,-1.2512815238071413e-07,0.0466828441670547,2.808349639999672e-07,0.0,1e-05,1.4877731725295706,9975.981220894291,1e-05,-0.3431306652622907,0.0,0.0,2.808349639999672e-07,0.0,-0.0130201565377619,0.0,0.0466599402084195,-138.6472273329127,0.0,0.0466599392730695,0.0,0.0,-2.3775753347015152e-08,0.0,1e-05,0.0,-0.0001080008855989,-0.1072571782351647,-3.921815721326774e-05
19.28667828772842,0.0,1547.7810389653669,0.0084803266415314,-0.0002758147553805,1.0821492871471718,0.0126572462534902,0.0,-0.0006030460266187,-2.501495390054726e-06,-0.0002269429029785,5.511582536854456,-2.829531021062481e-05,1538.6319078758793,0.0125048836359712,0.0,0.0135077245638275,-0.0662155617865713,9975.981249645403,1.0843085102226775,1.849650456251019,17.23445923968894,-0.0007722125224862,-0.0005803651754477,5.691582182708809,-0.013020216233568,8.315864276690332e-12,-45.75854227491614,-138.6472266153935,0.0,-47.794902615775214,0.0,0.0002429550209704,-0.0071726978455913,6.898529018625194,0.0139595587173891,-0.0008659353392535,-0.0049169062123139,0.0512574088933185,-7.268270544982817e-05
141.68886754824734,0.0,2188.9042315080733,0.0299484315939139,-0.00018987288258,1.6178782395776128,0.0155116228959405,0.0,-0.0007883273215758,8.652055991586223e-05,-0.0003460449907474,2.253715250632618,-9.870033572941896e-05,2160.194654011575,0.0151775111913369,0.0,0.0875826872970673,-0.0529532388447757,9975.981447413158,1.6597031338777015,2.506872249945797,130.0402713417425,-0.0035728716879911,-0.0008115126378487,22.92514364574704,-0.0130198178159173,-7.556367305484527e-08,-143.0097267377067,-138.6472219980998,0.0,-142.67254486668344,0.0,0.0013421037123822,-0.0177176579778921,22.340638009453773,0.0903487500213525,-0.0038202863058845,-0.0084076170302595,0.2262384761736892,-0.0002007637183987
325.5984335580948,0.0,2866.258429106189,0.0585818406946271,0.004539873623637,2.227991660958341,0.0215050281980636,0.0,-0.0009892976355168,9.938814077122172e-05,0.003284417866587,1.0418051299815896,-0.0001896500543841,2852.73437131276,0.0212438014128299,0.0,0.190230272153429,-0.0621409049365074,9975.981897713153,2.3213083152545844,3.3655742192379297,316.05942907372986,-0.0060462945127431,-0.0009771129991156,-66.09191975655382,-0.0130186647044879,-4.0598920562991953e-07,-133.71604421716137,-138.64720040534385,0.0,-135.04524636774855,0.0,0.0040595531143336,-0.0303478707367062,-105.17067768146,0.1919924822090661,-0.0061654380239162,-0.0094237943665125,0.3036920225900856,-0.0004456339607162
545.8790040096804,0.0,3744.150057383591,0.0969309450646786,0.0134386278392731,2.735357079071321,0.0307856301170402,0.0,-0.0009787639025791,-0.0001271574958624,0.0120761704403958,0.5778564172826592,-0.0002866980597998,3734.1292540308273,0.0308970556492958,0.0,0.3311452317938246,-0.0225823754978908,9975.98268607933,2.839972507029601,4.4287430126526655,514.7396663841663,-0.0094161983764371,-0.0009908694346891,-459.42488815850896,-0.0130189022968713,-1.1765516338308932e-07,-149.82744223102335,-138.6471568828672,0.0,-151.1695352596334,0.0,0.0060821956456105,-0.0448171423137407,-531.8103102858968,0.3345697612624788,-0.0107212992889338,-0.0099506516493507,0.0274864101253482,-0.0008277345911593
1055.2322321195825,0.0,4238.291474287665,0.1446537328895173,0.0214203280969707,2.8657506719816843,0.0394052066781929,0.0,-0.0011428156075338,-8.998176663042226e-05,0.0202991579877152,0.3889875015955594,-0.0003914646862239,4274.785858740702,0.0402159755700849,0.0,0.4969573602221395,0.0275058089615582,9975.98391301489,2.9788648900771517,5.054838882795423,983.002376153834,-0.0206585067604297,-0.0011538602170181,-1030.1219527629746,-0.0130201907012779,-6.547506714239639e-07,-160.74878345217684,-138.64711263326794,0.0,-160.73360635485486,0.0,0.0058217171676106,-0.0591990138362984,-1064.3866334989696,0.5001802406277703,-0.0223574222683636,-0.0107331475103944,-0.0145371337617747,-0.0013561092255234
1673.8878636520478,0.0,4270.884096785017,0.1959719209684234,0.0338989065612996,2.9896140265336366,0.0481492249896521,0.0,-0.0012691840298667,-2.2614162490772957e-05,0.0329346126957615,0.3108315945498237,-0.0004940443471044,4313.8108209494585,0.0473223908957373,0.0,0.6708421166676816,0.0576783017805391,9975.985641788153,2.9706123562727145,5.1181448951582205,1676.0983760933198,-0.0316310769351506,-0.0013089269569327,-1725.4720999091244,-0.0130207505283503,-5.782963581505227e-06,-151.0877189593445,-138.6470778539412,0.0,-155.17057038504976,0.0,0.0056666601115465,-0.0711701037553341,-1682.8440042189047,0.6745562460002983,-0.0312857881703827,-0.009754530100411,-0.0511429111080743,-0.0020166948603604
2023.1963157317152,0.0,4176.98622429158,0.2468289326970972,0.0328429861643077,3.1711899188587784,0.0576652520863782,0.0,-0.0012865319850184,5.6974903667103577e-05,0.0402351892226796,0.2803983275680254,-0.000587405132038,4213.564057127157,0.055449139154228,0.0,0.8398690225988216,0.056047879651683,9975.987882939406,3.089428915740488,5.026321283330141,2333.913824635314,-0.0404741777103576,-0.0013644011153458,-2417.0878015725943,-0.0130204611684821,-1.6524081452589424e-05,-152.47962343076406,-138.64705409748964,0.0,-150.9101922829067,0.0,0.0049076837474499,-0.0795182536797044,-2075.0640086546687,0.8440674096312809,-0.0318048664284325,-0.0090006165951591,-0.0857763910973579,-0.0027772402602051
2077.7701938335604,0.0,4353.3236063656095,0.2984107751869811,0.0326619473226535,3.29291572210877,0.0656169100326568,0.0,-0.0013521693846522,0.0001263808019142,0.0374253189991899,0.2656273151201144,-0.0006708389530064,4442.843968161155,0.0594337888144201,0.0,1.0058558657583687,0.0320156304322615,9975.990633091422,3.0679619105024902,5.303107337966052,2540.118699493325,-0.0383344195248744,-0.0013930455212357,-2623.1834024723967,-0.0130195224648196,-3.237891641266438e-05,-145.03325141504592,-138.64704507836257,0.0,-148.4779741166077,0.0,0.0041716332110745,-0.0853544188571404,-2100.359357379031,1.0084916455894353,-0.0311568339967134,-0.0077248390761854,-0.0762326362890808,-0.0036058762758432
2061.8783364870696,0.0,4490.428213764557,0.3524647805625717,0.0327579467323244,3.2684007044413628,0.0688534329068506,0.0,-0.0013511456057046,0.0002843051607861,0.0357997182274815,0.2534602038991959,-0.0007413332874462,4599.310213256005,0.0557050087762056,0.0,1.176815099112744,0.0144093602748194,9975.99391326793,2.8402890447943587,5.4911453035474285,2565.4975924725336,-0.0386047463532709,-0.0014227023056697,-2690.1099125914734,-0.0130174692962539,-5.329660177470087e-05,-149.02218667894425,-138.64705065210288,0.0,-149.16118156294166,0.0,0.0032883806480442,-0.0897291386884773,-2094.758182164076,1.1792633511433657,-0.0312606082046679,-0.006561827095178,-0.1044473200101574,-0.0044845945873692
