gas,longslipRL,pitch,sideslipFL,FL,yaw,FyFL,yawrate,vx,pitchrate,FxRL,FyRL,rollrate,sideslipFR,FyRR,longslipRR,FyFR,FxFR,vy,FxRR,ax,sideslipRL,x,longslipFR,az,RL,RR,sideslipRR,slip1,y,signal,signal,slip,roll,brake,FR,longslipFL,FxFL,ay,steeringangel
25.034722222222225,2.808349639999672e-07,-3.9218157213248485e-05,0.0,1e-05,-0.0342957201195726,0.0,-3.1788466794528535e-07,0.0,-2.3775753347224906e-08,0.0466828441670549,0.0,-0.0001080008855989,0.0,0.0,2.808349639999672e-07,0.0,0.0466599402084196,0.0,0.0466828417996954,-0.3431306652622903,0.0,4564.018298359632,2.808349639999672e-07,1.4877731725295662,1e-05,1e-05,0.0,0.0,-4850.897164652041,0.0,0.0,0.0,-1.2512815238127624e-07,0.0,1e-05,2.808349639999672e-07,0.0466599392730696,-0.1072571782351639,0.0
9.656160060648183,0.0125048836592421,-7.268271119580988e-05,-0.0008659359744629,0.013959558540463,-0.0342957798154886,19.28668992787782,-2.501513631808599e-06,0.0084803266374004,-0.0071726992989191,1538.6319089146716,5.691584911514616,-0.0049169070171574,-0.0002758141952947,17.234463926003237,0.0126572463008556,6.898517053658372,-45.75853934436751,0.0002429550595765,1547.781042113167,1.8496504524269235,-0.0002269429815789,4564.0183271195,-0.0005803651418275,-0.0662153214831475,1.0843085104833043,1.0821492862600806,-0.0007722126776018,0.0,-4850.897164546333,0.0,0.0599910004049913,0.0,-2.8295318894235186e-05,0.0,0.0135077235372194,-0.0006030459982721,-47.79490148057706,0.0512574097733815,0.0
3.9759577932155263,0.0151775112400291,-0.0002007637381622,-0.0038202869473151,0.0903487521819541,-0.0342953813980694,141.68891405228186,8.652054617366271e-05,0.029948431608553,-0.0177176592202564,2160.194660847929,22.925147714078676,-0.0084076174639042,-0.000189873102941,130.04028188356273,0.0155116229479329,22.3406198275947,-143.0097308411693,0.0013421038778943,2188.904238464928,2.5068722554189065,-0.0003460450087117,4564.018524940726,-0.0008115126330158,-0.0529532694205198,1.6597031312282764,1.6178782327934649,-0.0035728718253729,0.0,-4850.8971641373855,0.0,0.1199280129588891,0.0,-9.870035038110624e-05,0.0,0.0875826896486228,-0.0007883273147062,-142.67254785076796,0.226238497566293,0.0
1.87292043034694,0.0212438014522375,-0.0004456339924699,-0.0061654399758784,0.1919924840802111,-0.0342942282855102,325.59850928723023,9.938846600590508e-05,0.0585818407665621,-0.0303478719267782,2852.7343781518143,-66.09192863373893,-0.0094237940251302,0.0045398710449359,316.0594297066287,0.021505028245282,-105.17060895902068,-133.7160448131883,0.0040595536858499,2866.258436408024,3.365574223914715,0.0032844182443548,4564.018975598172,-0.0009771130165446,-0.0621409015719837,2.3213083074582053,2.22799165023222,-0.0060462942861637,0.0,-4850.897152129177,0.0,0.179757098396022,0.0,-0.0001896500698494,0.0,0.1902302754082313,-0.0009892976383768,-135.0452454907042,0.3036920741805654,0.0
1.0811081842441164,0.0314722210419008,-0.000828483721826,-0.011639642195456,0.3347454140030965,-0.0342944842242507,564.7974085227373,-0.0001333848364594,0.0969583089040398,-0.0450726348741584,3755.628312343691,-444.1584232271037,-0.0111916400883152,0.0126884860808265,531.9159332351235,0.0315159869383478,-515.9087609877957,-150.21951475229534,0.0061987708933125,3757.2159839564847,4.45499847458934,0.0113929374904914,4564.019764776292,-0.0009944288494215,-0.0571598930855985,2.9138070389199364,2.81166106631985,-0.0102461527971049,0.0,-4850.8971250859295,0.0,0.2394244145778387,0.0,-0.0002914964417351,0.0,0.3312386550137135,-0.000990561343961,-151.66794221286358,0.0762114284338026,0.0
0.770644944812476,0.0459637192494131,-0.001366214488407,-0.0236156562239666,0.5035174364788415,-0.0342960681483069,1129.0513997921337,-0.0001352281610353,0.1452840525338716,-0.0608587400101279,4384.695305468389,-989.2098621136448,-0.0132419385374401,0.0218594866180233,1031.5078624684834,0.0462689655680193,-1035.9552657348013,-163.242720109033,0.0069475746042185,4327.820700585036,5.172904983998276,0.0206900231095357,4564.020995349983,-0.0011807720696475,0.0057524181270075,3.432328713633866,3.371064901763171,-0.0216675374903171,0.0,-4850.897101103787,0.0,0.2988762649471985,0.0,-0.0004172035472204,0.0,0.4999995754605292,-0.0011939743352613,-163.89542237726826,0.1014441891085154,0.0
0.64605413688989,0.0653720899844506,-0.0020546063553719,-0.0335777550826143,0.6856336754856203,-0.0342967745266403,1756.5240556741967,-2.721915665248607e-05,0.1981578018865079,-0.0749163469201882,4468.495271568582,-1663.4210502252156,-0.0134271106296769,0.036238215441751,1634.2953875839446,0.0677165106425213,-1749.0788655829986,-154.94301185350457,0.0074978956740912,4414.335059229709,5.291945510038666,0.0348941352711806,4564.022739195045,-0.0014203335670501,0.0363468322786251,4.001647180461046,4.064169630107933,-0.0343661680086872,0.0,-4850.897087546605,0.0,0.3580591468516483,0.0,-0.0005505529040946,0.0,0.679838028982341,-0.0013414589585078,-158.43855260027627,-0.0106145947122723,0.0
0.59845700019256,0.091323042393546,-0.0028647268495125,-0.0339433287157366,0.8633580460260899,-0.0342968252985617,2133.3001179271405,4.365714982543813e-05,0.2505712379429182,-0.0855006802998061,4373.468780076935,-2123.088134236324,-0.0135930714102226,0.0339959358115617,2045.7535061657736,0.0974944436624197,-2122.6694476319285,-155.621002803302,0.0071548755903011,4286.425768454796,5.183983845090611,0.0435162223161168,4564.025011559051,-0.0014054544045197,-0.0089114951459136,4.722353558098448,4.932636100088918,-0.0445985683543392,0.0,-4850.897092148636,0.0,0.4169197996921991,0.0,-0.0006862734781303,0.0,0.8594715708451103,-0.0013831859772619,-155.39137353265298,-0.0506153242575159,0.0
0.5776122312755442,0.118715584897421,-0.0037664094618861,-0.0331863531206659,1.0363642354681886,-0.0342947935944838,2181.7074427743546,0.0003242037693586,0.3035268918410629,-0.0937556456650407,4557.899897429241,-2031.5745527791485,-0.0132064762937799,0.0349855159780955,1948.525431483387,0.1312675506016157,-2173.237354925334,-148.22659168102777,0.0067450305658079,4460.612446227661,5.432918776271156,0.0418451862199777,4564.027807385395,-0.0015118129839448,-0.0889594813909123,5.341022618124863,5.741660894225966,-0.0457060923087479,0.0,-4850.897118729065,0.0,0.4754052528542691,0.0,-0.0008203142897882,0.0,1.0321761526873832,-0.0014303211197627,-151.22509026802356,-0.0432700396072509,0.0
0.5631734485218473,0.1431702007822235,-0.0047433574619435,-0.0338219401780958,1.214872938404424,-0.0342905260798132,2175.575556218193,0.0004993432482061,0.3589459822877825,-0.1007453682579663,4729.16142276486,-1777.417061610604,-0.0127173307255468,0.0356794331823848,1684.7008802649416,0.1643509462367847,-2188.680137257185,-151.76587364732444,0.0061421108565594,4622.362094322157,5.643561633570191,0.0421291847659733,4564.031146189717,-0.0015527264353905,-0.1511412102369529,5.732991560212374,6.350296991458754,-0.0479074008839377,0.0,-4850.897168946101,0.0,0.5334628733776623,0.0,-0.0009497786919623,0.0,1.211574222961639,-0.0014716625650293,-153.31832040895316,-0.0644231760222142,0.0
